6:10:001:1	Ámor dine'é bik'eh hodeesdlį́į́'
6:10:001:0	Ákódzaago Jerúsalem kin haal' áádóó aláahgo naat'áanii Adónai-zíídek wolyéii díí yaa hodiizts'ą́ą́' : Jáshowa éí Éí'ai kin haal'áii yik'eh deesdlį́į'go ts'ídá ałtso íísdįįdígíí áádóó Jériko kin haal'áii aláahgo binanit'a'í t'áá bił áyííł'įįdígi át'éego Éí'ai kin haal'áii áádóó aláahgo binanit'a'í ákónááyiidlaaígíí índa Gíbiyan dine'é éí Ízrel dine'é yił k'é da'ahó'níigo áyiilaa áádóó bił kééhojit'į́į́ nít'éé' .
6:10:002:0	Áko hadine'é t'áá bił ayóó át'éego hoł yéé' dahazlį́į́' , háálá Gíbiyan kin haal'áii éí ayóó át'éego nahat'á kin haal'áii nahalin , áádóó Éí'ai biláahgo kin yíl'áá nít'éé' , índa diné danilíinii t'áá ałtso dahayóí nít'éé' .
6:10:003:0	Ákohgo Jerúsalem dine'é aláahgo binanit'a'í Adónai-zíídek wolyéii éí Hííbran kin haal'áádóó aláahgo naat'áanii Hóham wolyéii áádóó Jármath kin haal'áádóó aláahgo naat'áanii Páíram wolyéii áádóó Léíkish kin haal'áádóó aláahgo naat'áanii Jafáíya wolyéii índa Églan kin haal'áádóó aláahgo naat'áanii Dííber wolyéii yich'į' i'iis'a'go kóní ,
6:10:004:0	Hágo shaa nohkáahgo shíká oohjeeh ; Gíbiyan kin haal'áii atídadiilnííł , háálá éí Jáshowa índa Ízrel dine'é yił k'é da'ahó'ní .
6:10:005:0	Éí bąą Ámor dine'é aláahgo bindanit'a'í ashdlalt'éego , éí Jerúsalem dine'é aláahgo binanit'a'í áádóó Hííbran dine'é aláahgo binanit'a'í áádóó Jármath dine'é aláahgo binanit'a'í áádóó Léíkish dine'é aláahgo binanit'a'í índa Églan dine'é aláahgo binanit'a'í , díí t'áá ła' bizhi'ee áłah silį́į́' , índa bisiláo t'áá ałtso yił dah diikaigo t'áá dah oonééł nít'éé' ; Gíbiyan kin haal'áii yik'iijeehgo anaa' dahasłį́į́' .
6:10:006:0	Áko Gíbiyan dine'é éí Gílgaldi dah deínééhgóó Jáshowa bich'į' ada'dziis'a'go ádabijiní , Ninaal'a'í niidlį́įgo ádandii'ní t'áadoo na'áhodílziidí ; ts'ídá tsį́įłgo nihaa nohkáahgo yisdádanihohnííł . Nihíká oohjeeh , háálá Ámor dine'é aláahgo binanit'a'í danilíinii t'áá ałtso dziłgo nahaz'ánígóó kéédahat'į́įgo áłah daazlį́į'go nihik'iijeeh .
6:10:007:0	Áko Jáshowa éí Gílgaldóó dashdiiyá ; diné anaa' da'ał'íinii t'áá ałtso bił índa diné ayóó át'éego nidaabaahígíí bił dashdiikai .
6:10:008:0	Áko Bóhólníihii éí Jáshowa áyidííniid , T'áadoo bik'ee nił yé'í , háálá éí nílák'ee dahodíí'ą́ągo doo ł a'da nik'eh didoodleeł da .
6:10:009:0	Éí bąą Jáshowa éí Gílgaldóó ch'í'ní'eezhgo tł'éé' bíighah jookahgo yiską́ , áko t'áadoo kót'é ílíní ana'í bik'ijį' hajizhjéé' .
6:10:010:0	Áko Bóhólníihii éí Ízrel dine'é bidáahgi Ámor dine'é yił hóółąądgo Gíbiyan kin haal'áagi t'óó ahayóí nidadzistseed ; t'áá Beth-hóran kin shijaa' bich'į'go honít'i' góde nidi haa adaazhjéé' índa Azííkah kin shijaa' áádóó Makíídah kin haal'áajį' dazníłtseed .
