6:6:001:1	Jériko kin haal'áii bik'eh hodeesdlį́į́'
6:6:001:0	Íídą́ą́' Ízrel dine'é biniinaa Jériko kin haal'áhígíí yéego dá'deelkaal ; doo ła'da ch'ígháhí da , doo ła'da yah iigháhí da .
6:6:002:0	Bóhólníihii éí Jáshowa áyidííniid , Shoo , Jériko kin haal'áii áádóó aláahgo naat'áanii índa bisiláo dahayóii t'áá bił nílák'edíí'ą́ .
6:6:003:0	Diné anaa' da'ał'íinii danohłíinii t'áá ánółtso , díí kin haal'áhígíí t'ááłáhídi binínáhkah doo . Ákódaaht'į́įgo hastą́ą́h jį́ adooleeł .
6:6:004:0	Áko nááda'iiłniihii tsosts'id yilt'éego éí deenásts'aa' bidee' bee í'dílzoołí éí tsits'aa' dílzinii yilą́ąjį' deíjáah dooleeł , áko tsosts'id jį́ aleeh góne' kin haal'áhígíí tsosts'idi binídoohkah , áádóó nááda'iiłniihii éí deenásts'aa' bidee' yee ádadidooniił .
6:6:005:0	Áko kót'ée dooleeł : deenásts'aa' bidee' bee í'dílzoołí nízaadgóó yee ádadidooniił , áko yee ádadidooniiłígíí éí dasidoots'ą́ą'go diné ts'ídá t'áá ałtso hahodidoołdlałgo ayóó át'éego hahóó'áa doo , áádóó kin haal'áhígíí ditą́ągo binaa ahéé'ítł'inígíí naa'ahiłdaasgo éí bitis gó'ąą Ízrel dine'é t'ááłá'í nítínígo t'áá k'éhézdon yah adoojah .
6:6:006:0	Áko Nan biye' Jáshowa éí nááda'iiłniihii hágo bizhdííniidgo ábizhdííniid , Tsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii nídadooh'aah áádóó háni' nááda'iiłniihii tsosts'id yilt'éego éí Bóhólníihii bitsits'aa' dílzinii bilą́ąjį' deenásts'aa' bidee' bee í'dílzoołí tsosts'idgo dayíjáah doo .
6:6:007:0	Áádóó Ízrel dine'é ábizhdííniid , Nihílááh , díí kin haal'áhígíí bináhkááh , áko diné nidaabaahii éí Bóhólníihii bitsits'aa' dílzinii yilą́ąjį' yikah doo .
6:6:008:0	Áko Jáshowa éí diné bich'į' hadzoodzíi'go nááda'iiłniihii tsosts'id yilt'éego éí deenásts'aa' bidee' bee í'dílzoołí tsosts'idgo dayíjáahgo Bóhólníihii binááł náásgóó yikahgo éí adee' bee í'dílzoołí yee ádaaní , áádóó Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii t'áá bikéé' yit'ááł .
6:6:009:0	Áko diné nidaabaahii éí nááda'iiłniihii adee' bee í'dílzoołí yee ádaanínígíí yilą́ąjį' yikah , índa akéé'dóó hada'ídíl'į́'ígíí éí tsits'aa' dílzinii yikéé'dóó yikahgo nááda'iił niihii náás yikahgo éí adee' bee í'dílzoołí t'ááłáhígi át'éego yee ádaaní .
6:6:010:0	Nidi Jáshowa éí diné bich'į' hadzoodzíi'go ájíní , T'áadoo dadołwoshí , doodaii' nihiinéé' t'áadoo dadoołts'a'í doo , doodaii' t'áadoo saad bee hadahohdziihí ; hadadołgháásh nihidideeshniiłjį' ayííłką́ągo índa hadadidoołwosh .
