6:15:001:1	Yáá'iilt'e' bik'ehgo Júdah dine'é kéyah baa deet'ą́
6:15:001:0	Júdah dine'é ahii' háá'ahiyoolchíiłii bik'ehgo shádi'áahjigo Íídam kéyah bihoodzojį' t'áá Zin honoojíígóó shádi'áahjigo haz'ánígíí bíighahgo bíí' dooleełgo baa deet'ą́ .
6:15:002:0	Áádóó shádi'ááhjí bihoodzo dooígíí éí Tónteel Dók'ǫ́ǫzhii nineel'ánídóó , táłts'á hiníyínídóó hodeesdzo ,
6:15:003:0	éí shádi'áahjigo hahoodzogo Akrábim báhátis , Zin honoojíígóó hodeesdzo áádóó Kéídesh-barníyají shádi'ááh góde índa Hézran kin shijaa' bíighahgóó , Ádar haz'áníjį' índa Kárka haz'áníjį' hodeesdzo ,
6:15:004:0	áádóó Ázmangóó nááhoodzooígíí éí Ííjip tooh níłts'ą'ígíí bíighahgóó áádóó tónteel siyíníjį' nihoodzo . Díí éí shádi'ááhjí nihihoodzo dooleeł .
6:15:005:0	Áádóó Tónteel Dók'ǫ́ǫzhii siyį́įgo bee hoodzooígíí éí Jórdan tooh biih yílíníjį' éí ha'a'aahjígo hoodzo dooígíí át'é . Áádóó náhookǫsjí hoodzo dooígíí éí Tónteel Dók'ǫ́ǫzhii táłts'á hiníyínígi Jórdan tooh biih yílínídóó hahoodzo .
6:15:006:0	Áádóó éí Beth-hágla haz'ánígóó hodeesdzo áádóó Beth-áraba kin shijaa' náhookǫsjí hodeesdzo índa Rúben biye' Bóhan bitsé si'ání góde hodeesdzo ,
6:15:007:0	áádóó Éíkor yíldzisdóó Dííber kin haal'áá góde hodeesdzo ; kodóó náhookǫsjígo Gílgal haz'ánígóó hodeesdzo , éí Adámim báhátis shádi'ááhjí yíldzis binaashiijí hodeesdzo , áádóó Enshíímesh tó háálínígóó hodeesdzo índa Enrógel tó háálíníjį' nihoodzo ,
6:15:008:0	áko Hínam biye' bikéyah yíldzis bíighah góde éí Jííbas kin haal'áhígíí shádi'ááhjígo hodeesdzo ; t'áá éí Jerúsalem hoolyé , áádóó e'e'aahjígo Hínam yíldzis binaashii dziłígíí bighą́ą́' góde hodeesdzo , éí náhookǫsjí yé'iitsoh biyíldzis nineel'ánídi át'é ,
6:15:009:0	áko dził bighą́ą́'dę́ę́' hoodzo dooígíí Neftówah tó nílíníjį' hodeesdzo , éí áádóó Dził Íífran kin hadaas'áajį' , áádóó Béíyala kin haal'áajį' hodeesdzo ; t'áá éí Kírjath-jíyarim hoolyé ,
6:15:010:0	áádóó éí hoodzo dooígíí Béíyala kin shijaa'dóó e'e'aahjí Dził Síyerjį' hodeesdzo áádóó Dził Jíyarim náhookǫsjí hodeesdzo ; t'áá éí Késalan hoolyé áádóó Beth-shíímesh kin shijaa' góyaa índa Tímnah kin shijaa' bíighahgóó hodeesdzo ;
6:15:011:0	éí Ékran kin haal'áii náhookǫsjí dah yisk'idíjį' hodeesdzo áádóó Shíkeran kin shijaa'jį' hodeesdzo áádóó Dził Béíyala kin haal'áajį' áádóó Jábniyel kin shijaa'góó hodeesdzo índa tónteel siyíníjį' hodeesdzo .
6:15:002:1	Kéíleb éí Hííbran áádóó Dííber kin haal'áii yisná
6:15:012:0	Áko e'e'aahjí hoodzo dooígíí éí ayóó át'é tónteel siyínígíí bibąąhgóó hodeesdzo . Díí éí Júdah dine'é ahii' háá'ahiyoolchíiłii bik'ehgo bináhásdzo .
6:15:013:0	Jiifáneh biye' Kéíleb éí Júdah dine'é bitahgi Jáshowa wolyéii kéyah ła' haidiní'ą́ ; Bóhólníihii éí Jáshowa yich'į' t'áá ákót'éego yee haadzíí' ; éí Éínak dine'é Árba wolyéii bizhé'é bikin haal'áii Hííbran hoolyéii yeidiní'ą́ .
6:15:014:0	Áko Kéíleb éí Éínak biye'ké tált'éhígíí Shííshai áádóó Aháíman índa Tálmai haa ch'éheezhjéé' ; díí Éínak ya'áłchíní danilį́ .
6:15:015:0	Áádóó dashdiiyáago Dííber kin haal'áagi kéédahat'íinii bich'į' anaa' hodzisłį́į́' ; kin haal'áii Dííber hoosye'ígíí bítséedidą́ą́' Kírjath-síífer hoolyéé nít'éé' .
6:15:016:0	Áko Kéíleb ání , T'áá háiida Kírjath-síífer yich'į' anaa' hasłį́į'go bik'eh dzideesdlį́'ígíí éí shitsi' Áksa hwe' asdzą́ą doo biniyé haa deeshtééł .
6:15:017:0	Áko Kéíleb bik'is Kíínez biye' nilíinii Áthniyel éí ak'eh deesdlį́į'go Kéíleb bitsi' Áksa éí Áthniyel be'asdzą́ą dooleeł biniyé hainíłtį́ .
6:15:018:0	Áádóó ákódzaago asdzání éí Áthniyel yaa níyáago náyookąąhgo ání , Shizhé'é kéyah ł a' bíídííkił . Áádóó éí asdzání bitélii yik'i nááyáago Kéíleb ábíłní , Ha'át'íísh nínízin ?
6:15:003:1	Júdah dine'é bikin hadaas'áii
6:15:019:0	Áko ábizhdííniid , Shik'ijiinídliih ; jó , shádi'ááhjí kéyah hóółtseii shaa dííní'ą́ ; tó hadaazlį́įgi ałdó' łahgo shaa nááhodidíí'ááł . Áko Kéíleb éí wódahdi áádóó wóyahdi tó hadaazlį́į́góóígíí haidiní'ą́ .
6:15:020:0	Díí íí' dooleełii Júdah dine'é ahii' háá'ahiyoolchíiłii bik'ehgo bíí' daazlį́į́' .
6:15:021:0	Wózhǫ́ shádi'ááhjígo Júdah dine'é bikin hadaas'áii éí Íídam kéyah hoodzo bich'į'goígíí éí kódahoolyé : Kábziyel , Ííder , Jéígar ,
6:15:022:0	Kíína , Daimóna , Adéída ,
6:15:023:0	Kíídesh , Héízar , Íthnan ,
6:15:024:0	Zif , Tíílem , Bíyalath ,
6:15:025:0	Héízor-hadátah áádóó Kííriyath-hézran , t'áá éí Héízar hoolyé ,
6:15:026:0	Éímam , Shííma , Móladah ,
6:15:027:0	Héízar-gáda , Héshman , Beth-péílet ,
6:15:028:0	Héízar-shúwal , Bíyer-shííba , Bizjáthjah ,
6:15:029:0	Béíyala , Áíyim , Íízem ,
6:15:030:0	Eltólad , Kíísil , Hórmah ,
6:15:031:0	Zíklag , Madmána , Sansána ,
6:15:032:0	Lebéíyath , Shílhim , Áyiin índa Ríman ; t'áá át'égo bikin dah naazhjaa'ígíí t'áá bił naadiin náhást'éigo kin hadaas'áii Júdah dine'é bíí' daazlį́į́' .
6:15:033:0	Áádóó dzígaigi kin hadaas'áii kódahoolyé : Éshteiyal , Zóriyah , Áshma ,
6:15:034:0	Zanówah , Engánim , Tapúwah , Íínam ,
6:15:035:0	Jármath , Adálam , Sóko , Azííka ,
6:15:036:0	Sharéíyim , Adithéíyim , Gedíírah índa Gedíírah-théíyim ; éí bikin dah naazhjaa'ígíí t'áá bił dį́į́'ts'áadahgo kin hadaas'áii ałdó' Júdah dine'é bíí' daazlį́į́' .
6:15:037:0	Áádóó Zíínan , Hadásha , Mígdal-géed ,
6:15:038:0	Díliyan , Mízpeh , Jákthiyel ,
6:15:039:0	Léíkish , Bázkath , Églan ,
6:15:040:0	Kában , Lámam , Kíthlish ,
