40:26:001:0	And it came to pass , when Jesus had finished all these sayings , he said unto his disciples ,
40:26:002:0	Ye know that after two days is the feast of the passover , and the Son of man is betrayed to be crucified .
40:26:003:0	Then assembled together the chief priests , and the scribes , and the elders of the people , unto the palace of the high priest , who was called Caiaphas ,
40:26:004:0	And consulted that they might take Jesus by subtilty , and kill him .
40:26:005:0	But they said , Not on the feast day , lest there be an uproar among the people .
40:26:006:0	Now when Jesus was in Bethany , in the house of Simon the leper ,
40:26:007:0	There came unto him a woman having an alabaster box of very precious ointment , and poured it on his head , as he sat at meat .
40:26:008:0	But when his disciples saw it , they had indignation , saying , To what purpose is this waste ?
40:26:009:0	For this ointment might have been sold for much , and given to the poor .
40:26:010:0	When Jesus understood it , he said unto them , Why trouble ye the woman ? for she hath wrought a good work upon me .
40:26:011:0	For ye have the poor always with you ; but me ye have not always .
40:26:012:0	For in that she hath poured this ointment on my body , she did it for my burial .
40:26:013:0	Verily I say unto you , Wheresoever this gospel shall be preached in the whole world , there shall also this , that this woman hath done , be told for a memorial of her .
40:26:014:0	Then one of the twelve , called Judas Iscariot , went unto the chief priests ,
40:26:015:0	And said unto them , What will ye give me , and I will deliver him unto you ? And they covenanted with him for thirty pieces of silver .
40:26:016:0	And from that time he sought opportunity to betray him .
40:26:017:0	Now the first day of the feast of unleavened bread the disciples came to Jesus , saying unto him , Where wilt thou that we prepare for thee to eat the passover ?
40:26:018:0	And he said , Go into the city to such a man , and say unto him , The Master saith , My time is at hand ; I will keep the passover at thy house with my disciples .
40:26:019:0	And the disciples did as Jesus had appointed them ; and they made ready the passover .
40:26:020:0	Now when the even was come , he sat down with the twelve .
40:26:021:0	And as they did eat , he said , Verily I say unto you , that one of you shall betray me .
40:26:022:0	And they were exceeding sorrowful , and began every one of them to say unto him , Lord , is it I ?
40:26:023:0	And he answered and said , He that dippeth his hand with me in the dish , the same shall betray me .
40:26:024:0	The Son of man goeth as it is written of him : but woe unto that man by whom the Son of man is betrayed ! it had been good for that man if he had not been born .
40:26:025:0	Then Judas , which betrayed him , answered and said , Master , is it I ? He said unto him , Thou hast said .
40:26:026:0	And as they were eating , Jesus took bread , and blessed it , and brake it , and gave it to the disciples , and said , Take , eat ; this is my body .
40:26:027:0	And he took the cup , and gave thanks , and gave it to them , saying , Drink ye all of it ;
40:26:028:0	For this is my blood of the new testament , which is shed for many for the remission of sins .
40:26:029:0	But I say unto you , I will not drink henceforth of this fruit of the vine , until that day when I drink it new with you in my Father's kingdom .
40:26:030:0	And when they had sung an hymn , they went out into the mount of Olives .
40:26:031:0	Then saith Jesus unto them , All ye shall be offended because of me this night : for it is written , I will smite the shepherd , and the sheep of the flock shall be scattered abroad .
40:26:032:0	But after I am risen again , I will go before you into Galilee .
40:26:033:0	Peter answered and said unto him , Though all men shall be offended because of thee , yet will I never be offended .
40:26:034:0	Jesus said unto him , Verily I say unto thee , That this night , before the cock crow , thou shalt deny me thrice .
40:26:035:0	Peter said unto him , Though I should die with thee , yet will I not deny thee . Likewise also said all the disciples .
40:26:036:0	Then cometh Jesus with them unto a place called Gethsemane , and saith unto the disciples , Sit ye here , while I go and pray yonder .
40:26:037:0	And he took with him Peter and the two sons of Zebedee , and began to be sorrowful and very heavy .
40:26:038:0	Then saith he unto them , My soul is exceeding sorrowful , even unto death : tarry ye here , and watch with me .
40:26:039:0	And he went a little further , and fell on his face , and prayed , saying , O my Father , if it be possible , let this cup pass from me : nevertheless not as I will , but as thou wilt .
40:26:040:0	And he cometh unto the disciples , and findeth them asleep , and saith unto Peter , What , could ye not watch with me one hour ?
