1:36:001:0	Now these are the generations of Esau , who is Edom .
1:36:002:0	Esau took his wives of the daughters of Canaan ; Adah the daughter of Elon the Hittite , and Aholibamah the daughter of Anah the daughter of Zibeon the Hivite ;
1:36:003:0	And Bashemath Ishmael 's daughter , sister of Nebaioth .
1:36:004:0	And Adah bare to Esau Eliphaz ; and Bashemath bare Reuel ;
1:36:005:0	And Aholibamah bare Jeush , and Jaalam , and Korah : these are the sons of Esau , which were born unto him in the land of Canaan .
1:36:006:0	And Esau took his wives , and his sons , and his daughters , and all the persons of his house , and his cattle , and all his beasts , and all his substance , which he had got in the land of Canaan ; and went into the country from the face of his brother Jacob .
1:36:007:0	For their riches were more than that they might dwell together ; and the land wherein they were strangers could not bear them because of their cattle .
1:36:008:0	Thus dwelt Esau in mount Seir : Esau is Edom .
1:36:009:0	And these are the generations of Esau the father of the Edomites in mount Seir :
1:36:010:0	These are the names of Esau 's sons ; Eliphaz the son of Adah the wife of Esau , Reuel the son of Bashemath the wife of Esau .
1:36:011:0	And the sons of Eliphaz were Teman , Omar , Zepho , and Gatam , and Kenaz .
1:36:012:0	And Timna was concubine to Eliphaz Esau 's son ; and she bare to Eliphaz Amalek : these were the sons of Adah Esau 's wife .
1:36:013:0	And these are the sons of Reuel ; Nahath , and Zerah , Shammah , and Mizzah : these were the sons of Bashemath Esau 's wife .
1:36:014:0	And these were the sons of Aholibamah , the daughter of Anah the daughter of Zibeon , Esau 's wife : and she bare to Esau Jeush , and Jaalam , and Korah .
1:36:015:0	These were dukes of the sons of Esau : the sons of Eliphaz the firstborn son of Esau ; duke Teman , duke Omar , duke Zepho , duke Kenaz ,
1:36:016:0	Duke Korah , duke Gatam , and duke Amalek : these are the dukes that came of Eliphaz in the land of Edom ; these were the sons of Adah .
1:36:017:0	And these are the sons of Reuel Esau 's son ; duke Nahath , duke Zerah , duke Shammah , duke Mizzah : these are the dukes that came of Reuel in the land of Edom ; these are the sons of Bashemath Esau 's wife .
1:36:018:0	And these are the sons of Aholibamah Esau 's wife ; duke Jeush , duke Jaalam , duke Korah : these were the dukes that came of Aholibamah the daughter of Anah , Esau 's wife .
1:36:019:0	These are the sons of Esau , who is Edom , and these are their dukes .
1:36:020:0	These are the sons of Seir the Horite , who inhabited the land ; Lotan , and Shobal , and Zibeon , and Anah ,
1:36:021:0	And Dishon , and Ezer , and Dishan : these are the dukes of the Horites , the children of Seir in the land of Edom .
1:36:022:0	And the children of Lotan were Hori and Hemam ; and Lotan 's sister was Timna .
1:36:023:0	And the children of Shobal were these ; Alvan , and Manahath , and Ebal , Shepho , and Onam .
1:36:024:0	And these are the children of Zibeon ; both Aiah , and Anah : this was that Anah that found the mules in the wilderness , as he fed the asses of Zibeon his father .
1:36:025:0	And the children of Anah were these ; Dishon , and Aholibamah the daughter of Anah .
1:36:026:0	And these are the children of Dishon ; Hemdan , and Eshban , and Ithran , and Cheran .
1:36:027:0	The children of Ezer are these ; Bilhan , and Zaavan , and Akan .
1:36:028:0	The children of Dishan are these ; Uz , and Aran .
1:36:029:0	These are the dukes that came of the Horites ; duke Lotan , duke Shobal , duke Zibeon , duke Anah ,
1:36:030:0	Duke Dishon , duke Ezer , duke Dishan : these are the dukes that came of Hori , among their dukes in the land of Seir .
1:36:031:0	And these are the kings that reigned in the land of Edom , before there reigned any king over the children of Israel .
1:36:032:0	And Bela the son of Beor reigned in Edom : and the name of his city was Dinhabah .
1:36:033:0	And Bela died , and Jobab the son of Zerah of Bozrah reigned in his stead .
1:36:034:0	And Jobab died , and Husham of the land of Temani reigned in his stead .
1:36:035:0	And Husham died , and Hadad the son of Bedad , who smote Midian in the field of Moab , reigned in his stead : and the name of his city was Avith .
1:36:036:0	And Hadad died , and Samlah of Masrekah reigned in his stead .
1:36:037:0	And Samlah died , and Saul of Rehoboth by the river reigned in his stead .
1:36:038:0	And Saul died , and Baal–hanan the son of Achbor reigned in his stead .
1:36:039:0	And Baal–hanan the son of Achbor died , and Hadar reigned in his stead : and the name of his city was Pau ; and his wife 's name was Mehetabel , the daughter of Matred , the daughter of Mezahab .
1:36:040:0	And these are the names of the dukes that came of Esau , according to their families , after their places , by their names ; duke Timnah , duke Alvah , duke Jetheth ,
1:36:041:0	Duke Aholibamah , duke Elah , duke Pinon ,
1:36:042:0	Duke Kenaz , duke Teman , duke Mibzar ,
1:36:043:0	Duke Magdiel , duke Iram : these be the dukes of Edom , according to their habitations in the land of their possession : he is Esau the father of the Edomites .
