1:11:001:0	And the whole earth was of one language , and of one speech .
1:11:002:0	And it came to pass , as they journeyed from the east , that they found a plain in the land of Shinar ; and they dwelt there .
1:11:003:0	And they said one to another , Go to , let us make brick , and burn them thoroughly . And they had brick for stone , and slime had they for mortar .
1:11:004:0	And they said , Go to , let us build us a city and a tower , whose top may reach unto heaven ; and let us make us a name , lest we be scattered abroad upon the face of the whole earth .
1:11:005:0	And the came down to see the city and the tower , which the children of men builded .
1:11:006:0	And the said , Behold , the people is one , and they have all one language ; and this they begin to do : and now nothing will be restrained from them , which they have imagined to do .
1:11:007:0	Go to , let us go down , and there confound their language , that they may not understand one another 's speech .
1:11:008:0	So the scattered them abroad from thence upon the face of all the earth : and they left off to build the city .
1:11:009:0	Therefore is the name of it called Babel ; because the did there confound the language of all the earth : and from thence did the scatter them abroad upon the face of all the earth .
1:11:010:0	These are the generations of Shem : Shem was an hundred years old , and begat Arphaxad two years after the flood :
1:11:011:0	And Shem lived after he begat Arphaxad five hundred years , and begat sons and daughters .
1:11:012:0	And Arphaxad lived five and thirty years , and begat Salah :
1:11:013:0	And Arphaxad lived after he begat Salah four hundred and three years , and begat sons and daughters .
1:11:014:0	And Salah lived thirty years , and begat Eber :
1:11:015:0	And Salah lived after he begat Eber four hundred and three years , and begat sons and daughters .
1:11:016:0	And Eber lived four and thirty years , and begat Peleg :
1:11:017:0	And Eber lived after he begat Peleg four hundred and thirty years , and begat sons and daughters .
1:11:018:0	And Peleg lived thirty years , and begat Reu :
1:11:019:0	And Peleg lived after he begat Reu two hundred and nine years , and begat sons and daughters .
1:11:020:0	And Reu lived two and thirty years , and begat Serug :
1:11:021:0	And Reu lived after he begat Serug two hundred and seven years , and begat sons and daughters .
1:11:022:0	And Serug lived thirty years , and begat Nahor :
1:11:023:0	And Serug lived after he begat Nahor two hundred years , and begat sons and daughters .
1:11:024:0	And Nahor lived nine and twenty years , and begat Terah :
1:11:025:0	And Nahor lived after he begat Terah an hundred and nineteen years , and begat sons and daughters .
1:11:026:0	And Terah lived seventy years , and begat Abram , Nahor , and Haran .
1:11:027:0	Now these are the generations of Terah : Terah begat Abram , Nahor , and Haran ; and Haran begat Lot .
1:11:028:0	And Haran died before his father Terah in the land of his nativity , in Ur of the Chaldeans .
1:11:029:0	And Abram and Nahor took them wives : the name of Abram 's wife was Sarai ; and the name of Nahor 's wife , Milcah , the daughter of Haran , the father of Milcah , and the father of Iscah .
1:11:030:0	But Sarai was barren ; she had no child .
1:11:031:0	And Terah took Abram his son , and Lot the son of Haran his son 's son , and Sarai his daughter in law , his son Abram 's wife ; and they went forth with them from Ur of the Chaldeans , to go into the land of Canaan ; and they came unto Haran , and dwelt there .
1:11:032:0	And the days of Terah were two hundred and five years : and Terah died in Haran .
