3:21:001:1	Nááda'iiłniihii dadiyin doo
3:21:001:0	Áádóó Bóhólníihii éí Mózes ííłní, Éran biye'ké nááda'iiłniihii danilíinii bich'į' handziihgo kóbidiní, Ła'da dadziztsą́ągo hadine'é bitahgi doo bee ádizhdoolchxǫǫł da. 
3:21:002:0	T'áá hazhó'ó áhánígo hak'éígíí éí hamáda, hazhé'éda, haye'da, hatsi'da áádóó bił hajíí'áazhda, 
3:21:003:0	índa halah t'ah ch'ikę́ę́h nilį́įgo áhánígo hak'éígíí éí t'ah doo bahastiin haleehígíí éí t'éí bee ázhdidoolchxǫǫł. 
3:21:004:0	Doo ni'ízhdiilchxǫǫh da doo; jó, hodine'é bitahgi aląąjį' sizíinii jílį́; doo ákójít'į́į́góó doo hodílzin náhoołba' doo. 
3:21:005:0	Hatsii' doo dazhdooshih da, doodaii' hadághaa' ałts'ą́ą́hjí doo dazhdooshih da, doodaii' hats'íís doo ahidajiigéesh da doo. 
3:21:006:0	HaDiyin God bich'į'go dazhdiyin doo, áádóó haDiyin God bízhi' doo dílzingóó doo ádadzósin da doo, háálá Bóhólníihii bich'į' didlidgo náádahaniihii éí haDiyin God bibááh át'éego náádajiiłniih; éí bąą dazhdiyin doo. 
3:21:007:0	Áádóó asdzání ałjiłnii doo hwe'asdzą́ą́ ázhdoolíił da, doodaii' doo hodílzin k'ehgo át'éii ałdó' dooda; bahastiin yóó'abidíí'áanii nidi doo bázh'dooyeh da, háálá hó éí haDiyin God bich'į' go jidiyin. 
3:21:008:0	Éí bąą jidiyingo áhodíílííł, háálá niDiyin God bibááh náájiiłniih; nihich'į'go jidiyin doo; jó, shí éí Bóhólníihii nishłį́įgo dadinohyingo ánihíínísinii dinishyin. 
3:21:009:0	Áádóó náá'iiłniihii ła'da bitsi' doo ádá hodílzinii ajił nábiiłba'go doo ádá hodílzinii bee bizhé'é náyiiłba' doo, áko ch'ikę́ę́h abidi'doolk'ą́ą́ł. 
3:21:010:0	Áko hak'isóó bitahgi aláahgo náá'iiłniihii jílínígíí hatsiit'áagi ak'ah ak'i yaadziidgo bee alzį́įhii áádóó diyingo bits'ąą hasti'ii áho'diilyaago éé' dílzinii biishdoogáłígíí éí doo hatsii' bik'izdi'doołtsos da, doodaii' ha'éé' doo azdoozǫ́ǫs da. 
3:21:011:0	Doodaii' ats'íís daaztsáanii doo bit'áahjį' jidoogáał da, azhą́ hazhé'é índa hamá nidi biniinaa doo ázhdidoolchxǫǫł da. 
3:21:012:0	Doodaii' hodiyingo haz'ą́ą́dóó doo ch'ízhdoogáał da, doodaii' t'ááká doo ádá hodílzinii bee haDiyin God bihodiyingo haz'ánígíí yółchxǫǫh lágo, háálá haDiyin God bits'ą́ą́dóó ak'ah hak'i yaadziidgo bee ho'doolzį́į́'; jó, shí Bóhólníihii nishłį́. 
3:21:013:0	Ch'ikę́ę́h t'ah doo diné bee haleehii éí hwe'asdzą́ą́ dooleeł. 
3:21:014:0	Asdzání bąąh áhásdįįdii, doodaii' bahastiin yóó'abidíí'áanii, doodaii' doo hodílzin k'ehgo át'éii, doodaii' ałjiłnii nilíinii éí doo hwe'asdzą́ą́ ázhdoolíił da, nidi t'áá hó hodine'é bitahdóó ch'ikę́ę́h t'ah doo diné bee haleehii éí hwe'asdzą́ą doo. 
3:21:015:0	Ákót'éego hadine'é bitahgóó ha'áłchíní éí doo hodílzin k'ehgo át'éii doo danilį́į́góó ahoolchíił doo; jó, shí Bóhólníihii nishłíinii jidiyingo áhwíínísin. 
3:21:016:0	Áádóó Bóhólníihii éí Mózes ííłní, 
3:21:017:0	Éran bich'į' handziihgo ábidiní, Nits'ą́ą́dóó náás ahoolchíłígíí bitahdóó t'áá háiida t'áá ha' át'éegoda bąąh dahaz'ą́ągo éí haDiyin God bibááh doo nááhizhdoołnih da. 
3:21:018:0	Diné hąąh dahaz'áanii, doodaii' doo ajoo'íinii, doodaii' nazh'niłhodii, doodaii' hatsiits'iin bąąh t'áá ha'át'éegida digizgo, doodaii' hats'íís t'áá ha'át'éhígida alááh níísą́ągo éí doo Diyin God bich'į' náázhdi'yoołnih da. 
3:21:019:0	Hakee', doodaii' hála' k'é'éltǫ'ii éí dooda. 
3:21:020:0	Doodaii' hwíígháán ask'idgo, doodaii' diné chilí jílį́įgo, doodaii' hanáá' bąąh dahaz'ą́ągo, doodaii' hakáá'góó łóodgo, doodaii' hakáá'góó sidgo, doodaii' hayęęzhii sits'ilgo. 
3:21:021:0	Náá'iiłniihii Éran bits'ą́ą́dóó náás oochíiłii bitahdóó diné ła' ákót'éego bąąh dahaz'ą́ągo éí Bóhólníihii bich'į' didlidgo nááhániihii doo nááhizhdoołnih da; éí hąąh dahaz'ánígíí biniinaa haDiyin God bibááh doo nááhizhdoołnih da. 
3:21:022:0	HaDiyin God bibááh níjídį́įh doo; aláahgo dadiyinígíí áádóó dadiyingoígíí t'áá áłah jiyą́ą doo. 
3:21:023:0	Nidi dáádiníbaal bine' góne', doodaii' bikáá' náá'iiniihí doo bich'į' nizhdoogáał da, háálá hąąh dahaz'ą́, áko éí shihodiyingo nahaz'ánígi doo nihozhdiyoołchxǫǫł da; jó, shí Bóhólníihii nishłį́įgo dazhdiyingo áhwíínísin. 
3:21:024:0	Áko Mózes éí Éran áádóó biye'ké índa Ízrel dine'é t'áá ałtso díí yee yił hoolne'.
