3:17:001:1	T'ááłáhígi t'éiyá náá'iiniih bá haz'ą́
3:17:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní, 
3:17:002:0	Éran áádóó biye'ké áádóó Ízrel dine'é t'áá ałtso bił hólne', Bóhólníihii díí yee haadzíi'go kóní, 
3:17:003:0	Ízrel dine'é bitahdóó ła'da éí béégashii, doodaii' dibé yázhí, doodaii' tł'ízída níbaal haal'áagi, doodaii' níbaal haal'á bits'áhwiiní'ą́ądi yiyiisxį́įgo, 
3:17:004:0	áko níbaal bii' dahozdísinii bich'é'étiingi náádi'yoołnihgo Bóhólníihii yich'į' néidiyoołnihii Bóhólníihii biníbaal bii' hodílzinii bich'éédą́ą'gi t'áadoo niyílósí; éí naaldlooshii bidił bits'ánílį́įgo áyiilaaígíí yee ádihodiilt'i' doo, áko bidine'é bits'ą́ąjį' bidi'yoolyééł. 
3:17:005:0	Díí biniyé Ízrel dine'é éí náádeidiyoołnihii halgaidi náádahiilniih doo danízin nidi; éí Bóhólníihii bich'į' níbaal bii' dahozdísinii bich'é'étiinjį' náá'iiłniihii baa dajii'éeshgo bee haz'ą́; éí náádayiiłniihii hózhǫ́ǫ́jí nááhániihii át'éego Bóhólníihii yich'į' náádayiiłniih doo. 
3:17:006:0	Áádóó náá'iiłniihii éí Bóhólníihii bibikáá' náá'iiniihí níbaal bii' dahozdísinii bich'é'étiingi si'ánígíí dił yik'ínéíłtah doo, áádóó ak'ahígíí yiidiłidgo Bóhólníihii bich'į' łikání halchin doo. 
3:17:007:0	T'ááká níłch'i bida'iiníziinii yich'į' nínááda'iiłniih le' lágo, jó, éí bił tł'éé' da'íldééh. Díí éí yee nihoní'áanii ahóyéel'áágóó bá át'éego náás da'ahílchíih doo. 
3:17:008:0	Áádóó kóbididííniił, Ízrel dine'é bitahdóó dinéhígíí ła', doodaii' dé'éyóní nihitahgi t'óó átsééd kéédahat'ínígíí ła' náádi'yoołnihgo didlidgo nááhániihii, doodaii' nááhidoonihii 
3:17:002:1	Dił ts'ídá doo yidą́ą da
3:17:009:0	éí níbaal bii' dahozdísinii bich'é'étiingi náádi'yoołnihgo Bóhólníihii bich'į' néidiyoołnihii t'áadoo niyílósí nááyiisnii'go éí bidine'é bits'ą́ąjį' bidi'yoolyééł. 
3:17:010:0	Ízrel dine'é bitahdóó dinéhígíí ła', doodaii' dé'éyóní nihitahgi t'óó átsééd kéédahat'íinii ła' t'áá ha'át'íhída bidił yiyííyą́ą'go éí dił jííyą́ą'ii hak'ijį' nishłį́į doo; éí hodine'é bits'ą́ąjį' hodiyeeshxééł. 
3:17:011:0	Háálá ats'íís éí dił yee hiná, áádóó éí nihaa diní'ą́ągo bikáá' náá'iiniihí bikáa'gi bee nihá k'ééhodoodǫǫł, háálá diłígíí bee iináago bee á k'ééhoodǫǫłii át'é. 
3:17:012:0	Éí bąą Ízrel dine'é ábidishní, Nihí doo ła' dił doohsį́įł da, doodaii' dé'éyóní nihitahgi t'óó átsééd kéédahat'íinii doo ła' dił yidooyį́įł da. 
3:17:013:0	Ízrel dine'é bitahdóó ła'da, doodaii' dé'éyóní nihitahgi t'óó átsééd kéédahat'íinii ła'da naalzheehgo naaldlooshii, doodaii' nidaat'a'ii daadánígíí ła' shóyoost'e'go łeeshtahjį' yizéididoogishgo bidiłígíí yik'i hwiidoogoł. 
3:17:014:0	Háálá ats'íís ádaat'éii t'áá ałtso dił yee dahiná; diłígíí t'éiyá be'iina' ádaat'éego yee dahiná; éí bąą Ízrel dine'é ábidishní, T'áá ha'át'íhída dabits'íís bidił doo dadoohsį́įł da, háálá ats'íís t'áá ałtso dił yee dahiná; t'áá háiida éí dił jííyą́ą'go hodine'é bits'ą́ąjį' hodi'yoolyééł. 
3:17:015:0	Áádóó t'ááłá'í jinítínígo naaldlooshii t'áá bíni'dii daaztsáanii, doodaii' naaldlooshii dahashkéii iisxį́įgo yiyiisxínígíí bitsį' jííyą́ą'go éí Ízrel dine'é jílíinii, doodaii' dé'éyóní jílíinii ákójiidzaago ha'éé' jidoogis áádóó nizhdoobeełgo i'íí'ą́ąjį' t'ah doo ho'didéeh da doo, ákódzaago índa ho'díídee' doo. 
3:17:016:0	Nidi t'áadoo ha'éé' dzizgisgóó índa t'áadoo nidzizbį́į́'góó éí t'áá hó doo ákwii ájíít'įįdígíí bee ádihozhdiilt'i'go nijigháa doo.
