3:7:001:0	Díí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii bee haz'áanii át'é: éí ts'ídá aláahgo dílzinii át'é. 
3:7:002:0	Didlidgo nááhániihii nidadziłtseedígi éí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii nidadziłtseed doo, áádóó bidiłígíí éí bikáá' náá'iiniihí bikáa'gi yik'ínídeiłka' doo. 
3:7:003:0	Áádóó bik'ah t'áá át'é néidiyoołnih; bitsee' neesk'ahígíí índa bitsą́ siláí ak'ah daabąąhígíí, 
3:7:004:0	bitsą́ áshk'azhí t'áá áłah áádóó bik'ah t'áá bąąhgo éí atságah bidiit'i'ígíí índa azid bíighahgi ak'ahígíí éí atsą́ áshk'azhí t'áá bił haidoonił. 
3:7:005:0	Áko náá'iiłniihii éí bikáá' náá'iiniihí yikáa'jį' didlidgo nááhániihii át'éego Bóhólníihii yich'į' néidiyoołnih; éí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii át'ée doo. 
3:7:006:0	Diné náá'iiłniihii danilínígíí t'áá ałtso éí atsį'ígíí nídeidį́įh doo; hodiyingo haz'ą́ągi nídeidį́įh doo; ts'ídá aláahgo dílzinii át'é. 
3:7:007:0	Ádił ni'iidzííhjí nááhániihiigi át'éii át'éego doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii nááyiiłniih doo. Éí t'áá áłah t'ááłá'í bee haz'áanii bá át'é. Náá'iiłniihii éí bee k'ééhoodǫǫłgo nááyiiłniihígíí éí t'áá bí doo. 
3:7:008:0	Áko náá'iiłniihii éí t'áá háiida bá didlidgo nááyiisnii'ígíí éí nááyiisnii'ígíí bikágí t'áá bí dooleeł. 
3:7:009:0	Áádóó ak'áán náádahaniihii t'áá ałtso éí bááh bighan góne' bááh ályaaígíí áádóó t'áá ałtso ásaa' ditání bee bááh ályaaígíí índa tsee'í bee łees'áán ályaaígíí éí náá'iiłniihii yi'oh náá'iisnii'ígíí t'áá bí dooleeł. 
3:7:010:0	Ak'áán náádahaniihii t'áá ałtso ak'ah bił ałtahgo, doodaii' ak'áán t'áá bízhání éí Éran biye'ké t'áá ałtso aheełt'éego daabí doo. 
3:7:011:0	Díí hózhǫ́ǫ́jí nááhidoonihii bee haz'áanii át'é: éí Bóhólníihii yich'į' nááyiiłniih doo. 
3:7:012:0	Ahééh nízingo náá'iiłniihgo éí ahééh nízingo nááhániihii díí yił néidiyoołnih: díík'ǫsh t'áágééd bááh éí ak'ah bił ałtahgo ályaii áádóó díík'ǫsh t'áágééd bááh dá'áka'í éí ak'ah bąąh ályaii índa ak'áán dibahí ak'ah bił ałtah bee bááh ályaago sit'éii. 
3:7:013:0	Díí bááh éí díík'ǫsh bił bááh ályaii óóltą'go nááhidoonihii ahééh hwiindzingo hózhǫ́ǫ́jí binááhániihii yił néidiyoołnih. 
3:7:014:0	Áádóó bááh náádahidoonihii bits'ą́ą́dóó t'áá daałá'ígo Bóhólníihii bich'į' bił dah nídi'diilnihgo nááhániihii náájiił'niih doo; náá'iiłniihii éí hózhǫ́ǫ́jí nááhaaznii'ii bidił ak'íistahígíí díí bááh bił dah nídi'diilnihígíí éí bíí' neheleeh. 
3:7:015:0	Atsį' náádahaniihii hózhǫ́ǫ́jí nááhaaznii'ii ahééh nízingo nááyiisnii'ígíí t'áá nááyiisnii' bijį́ doodį́į́ł; hoos'įįdjį' doo ła' t'áá áázdoohsįįł da. 
3:7:016:0	Nidi bí nááyiisnii'ígíí éí yee ádee haadzíi'ii át'éego, doodaii' t'áá bí ninéidiní'ą́ągo nááyiisnii'ii át'éego t'áá nááyiisnii' bijį́ doodį́į́ł, áádóó bíí'ohígíí biiskání ałdó' doodį́į́ł. 
3:7:017:0	Nidi táá' yiską́ągo atsį' didlidgo nááhaaznii'ii bi'oh nida'iisdą́'ígíí didoodlił. 
3:7:018:0	Atsį' náádahidoonihii hózhǫ́ǫ́jí há nááhániihii náájiisnii'ígíí ła' táá' yiską́ąjį' bíí'ohígíí t'áá dajiyą́ągo nááhaaz'nii'ii t'áá bił doo há dínóodzįįł da, doo nidi há bił íídóoltah da; éí doo haldinígi áhoodzaii át'ée doo; ła' jííyą́ą'go bee doo ákwii ájíít'įįdígíí bee hohodiit'i'go nijigháa doo. 
3:7:019:0	Áádóó atsį' ha'át'íhída baa'ihii yíhidéé'náa'go éí doo doodį́įł da; éí didoodlił, nidi t'áá ádzíłtso ádąąh dahojildéhígíí t'éí atsį' yá'át'éehii dajiyą́ą doo. 
3:7:020:0	Nidi ła' doo ho'díídee'ii éí atsį' nááhidoonihii hózhǫ́ǫ́jí nááhaaznii'ii Bóhólníihii bíhígíí jííyą́ą'go hodine'é bits'ą́ąjį' hodi'yoolyééł. 
