59:2:001:1	Neeshraahchy'aa Nąįį Hǫh'ee
59:2:001:0	Shachaa nąįį, datthak Diik'eegwaadhat, Jesus Christ vich'eegwąhndit zhit gwik'injiriighit, ąįį veh'an dinjii nats'ąą vigweech'in eenjit nihłehjuk vats'ą' dinjii ǫhłi' shrǫ'! 
59:2:002:0	Dinjii valaraa gwanlii gwach'aa nizįį naazhii ąįįts'ą' dinjii neeshraahchy'aa vagwach'aa ch'aa haa nakhwatr'igiinkhii zheh nihdeegiin'oo ji' yu'? 
59:2:003-004:0	Gaa ąįį dinjii valaraa gwanlii ąįį gwinzii heedyaa nąąhchįį ts'ą' dinjii neeshraahchy'aa chan, dachan chyah kat dhindii vaiinyąą ji' t'ee, dinjii neeshraahchy'aa, ąįįts'ą' dinjii valaraa gwanlii haa nihłehjuk goots'ą' dinjii inlii lee t'iinyąą? Jyąhts'ą' dinjii iinlii ji' t'ee tehk'ąą tr'agwah'in t'ini'yaa. 
59:2:005:0	Ch'oodǫǫhk'įį, shachaa nąįį nakhweet'ihthan! Dinjii neeshraahchy'aa nąįį t'ee K'eegwaadhat gwitee tr'agoovinlii gwik'injijii giheelyaa eenjit. Gooveet'iindhan geh'an, zhee kat Gweegwinii'ee gwizhit gwahąąh'yaa, goovaiinyą'. 
59:2:006:0	Gaa nakhwan, ąįį neeshraahchy'aa nąįį khadhoo'ee kwaa! Valaraa gwanlii nąįį t'ee khit nakhwach'itsigahaa'e' ts'ą' ch'aroahkat zheh nihdeenakhwagahahchyaa t'oonchy'aa. 
59:2:007:0	Ąįį nąįį t'ee Jesus t'injuuhchy'aa voozhri' iizųų gahtsii. 
59:2:008-009:0	Jii t'ee K'eegwaadhat Viginjik Dęhtły'aa Choh zhit gwadanakhwatł'oo, “Ideet'iindhan googwahtł'oo ch'izhii dinjii nąįį chan eet'iindhan.” Jyąhts'ą' t'akhwa'in ji' łyaa gweheezyaa. Gaa nakhwan ąįį dinjii nats'ąą vigweech'in eenjit nihłehjuk vats'ą' dinjii ǫhłįį ji' t'ee tr'agwaanduu gwahtsii ąįįts'ą' K'eegwaadhat Viginjik łeedǫhnaii t'oonchy'aa. 
59:2:010:0	Juu K'eegwaadhat Viginjik lat łahnaii t'ee K'eegwaadhat Viginjik datthak łaahnaii k'it t'igwiichy'aa. 
59:2:011:0	Jii t'ee K'eegwaadhat t'inyąą, “Juu veedhindii kwaa haa oiinchį' shrǫ'!” ąįįts'ą', “Dinjii chan ęhdaa tr'agoiin'aa shrǫ'!” Ch'aa'inchį' kwaa gaa dinjii ęhdaa tr'igwiin'ąįį ji' t'ee K'eegwaadhat Viginjik datthak łeedǫhnaii k'it t'igwiichy'aa. 
59:2:012:0	Dǫǫhnyąą ts'ą' deekhwa'in ąįį Gwandak Nizįį zhit Law tr'agwaanduu t'akhwa'in gwats'an tr'ineenakhwarahchįį k'it gǫhdaii. 
59:2:002:1	Nats'ahts'ą' Gwik'injigwiighit Tr'ihee'yaa Goo'aii.
59:2:013:0	Juu dinjii neeshraahchy'aa oonyąą kwaa t'ee duuyeh K'eegwaadhat neeshraahchy'aa yuunyąą. Ch'aroahkat Drin zhit ji' ąįį juu dinjii neeshraahchy'aa oiinyą' t'ee naajat gwat'aahchy'aa kwaa. 
59:2:014:0	Shachaa nąįį! K'eegwaadhat veenjit k'eegwiichy'aa t'ini'in kwaa gwiizhit zhyaa, “Gwik'injihkhit!” doiinyą' shrǫ'! Jyaa ni'in ji' t'ee nats'ąą neehįįnzhii yiindhan? Ąįį k'it t'iinchy'aa gwik'injiighit dii'įį ji' t'ee ąįį dinjii neeheezhii kwaa. 
59:2:015-016:0	Gwik'injijii nąįį gwach'aa chan ts'ą' giihee'aa haa gii'įį kwaa, gwiizhit goots'ihiinjyaa kwaa ji', “Nidiveegoozų' ts'ą' gwiindhaa oonitł'ii ts'ą' gwinzii adach'aan'aa,” zhyaa jyaa goovoiinyą' shrǫ'! 
59:2:017:0	Ąįįt'ee gwik'injiriighit haa nihk'it t'oonchy'aa. Dinjii gwik'injiighit gwiizhit K'eegwaadhat doo'ya' yuunyąą ąįį gwik'it t'ii'in kwaa ji' t'ee ąįį gwik'injiighit dii'įį ąįį iłchįį k'it t'inchy'aa, ąįįts'ą' duuyeh vit'ineegwaachy'aa. 
59:2:018:0	Gaa dinjii jyaanyąą ji' yu', “Dinjii ch'ihłak gwik'injiighit ąįįts'ą' ch'ihłak chan K'eegwaadhat eenjit k'eegwiichy'aa t'ii'in.” Ąįį dinjii jyaanyąą ji', jyaa vakhaihjyaa, “Nats'ąą K'eegwaadhat veenjit k'eegwiichy'aa t'ini'in kwaa gwiizhit vik'injinghit shaagwandak, shįį ąįį deeshi'in k'iighai' nats'ąą gwik'injiighit gwahąąh'yaa.” 
59:2:019:0	K'eegwaadhat ch'ihłak zhrįh gwanlii gwik'injinghit? Ąįįt'ee gwinzii! Ch'anky'aa iizųų nąįį gaa K'eegwaadhat ch'ihłak zhrįh gwanlii gwik'injigiighit ts'ą' naajat haa gaatrat. 
59:2:020:0	Tr'agǫhjik kwaa! K'eegwaadhat deenoo'ya' noonyąą gwik'it t'ini'in kwaa, ąįįt'ee gwik'injigwiighit iizųų t'inchy'aa, nijin ji' gwagwahan'ee? 
59:2:021:0	Yeenii diilak, Abraham, K'eegwaadhat k'eegwiłthat nijin didinji' Isaac ataiinjii tr'ahtsii deek'it kat yantł'ahchįį dąį'. Ąįį geh'an Abraham tr'agwaanduu tr'agwah'ya' kwaa k'it K'eegwaadhat yąąh'in. 
59:2:022:0	Nik'ee gwąąh'in? Vigwik'injigwiighit ąįįts'ą' dee'ya' haa nihłaa tr'agwah'in t'oonchy'aa, dee'ya' k'iighai' vigwik'injigwiighit nitsii dhidlit. 
59:2:023:0	Jii t'ee Dęhtły'aa Choh zhit jyaa deegwinyąą t'igwinyąą. “Abraham K'eegwaadhat k'injiighit geh'an tr'agwaanduu tr'agwah'ya' kwaa k'it K'eegwaadhat yąąh'in.” Ąįįt'ee Abraham K'eegwaadhat vijyaa varahnyąą. 
59:2:024:0	Jyąhts'ą' t'ee dinjii dee'in k'iighai' vatr'agwaanduu kwaa k'it K'eegwaadhat yąąh'in. Vigwik'injigwiighit zhrįh nakwaa. 
59:2:025:0	Yeenaa dąį' chan izhit gwik'it tr'injaa Rahab laraa t'įį dinjii nąįį haa dhichįį. Gaa dee'ya' k'iighai' vatr'agwaanduu kwaa k'it K'eegwaadhat yąąh'in. Ch'adanh nahkat gwats'an niveet'ah'in nąįį ts'inyą' geh'an. 
59:2:026:0	Jyąhts'ą' t'ee gwik'iinjigwiighit gwiizhit K'eegwaadhat veenjit tr'agwarah'in kwaa dąį', tr'iłchįį k'it nihk'it t'igwiichy'aa.
