59:3:001:1	Nighit Łeedeegwąhtin
59:3:001:0	Shachaa nąįį! Nakhwatee lęįį nąįį tr'igiinkhii zheh gwizhit geech'ohchya' shrǫ'! Izhit geh'an diikhwan geech'ǫąąhtan nąįį tr'inlii ts'ą' gwik'injiighit nąįį andaa ts'ą' Ch'aroohahkat Drin zhit ji' diiroohahkat. 
59:3:002:0	Datthak ts'ą' geetee hee yee'at k'ii'an tr'agwarah'in. Dinjii nizįį gwik'injiighit ąįįt'ee gwiizųų t'iheenjyaa gwits'į' khit ts'ą' dighit gwik'indeedąątii. 
59:3:003:0	Łąįį choh nitsii diik'eegwahahthat ts'ą' tły'ah tsal haa nijuk k'ii'an hoozhi' tr'oonyaa eenjit vighit neeraazhik ąįį gwik'it. 
59:3:004:0	Ąįįts'ą' chan tr'ihchoo nitsii, ahtr'aii haa neehiilak gaa tąą'ąįį tsal zhrįh haa vineerahąhdak. 
59:3:005:0	Diikyaa łyaa natsal gaa gwiizųų gwinlęįį t'inyąą.Gwąąh'in! Kǫ' tsal haa gwintsii gweheek'an ąįį gwik'it, 
59:3:006:0	diikyaa kǫ' k'it t'inchy'aa. Jyąhts'ą' t'ee dinjii nąįį digikyaa haa gwiizųų tthak t'iginyąą ts'ą' gootr'agwaanduu gwilii, ąįį kǫ' t'ee ch'anky'aa tr'aanduu yahaaky'aa. Diikyaa haa deegwinyąą k'iighai' gwarandaii datthak kǫ' zhit gwehee'aa. 
59:3:007:0	Dinjii nąįį nin datthak idigwigwił'e'. 
59:3:008:0	Gaa dinjii ch'ihłak gaa duuyeh dikyaa gwik'it t'ah'in. Iizųų ts'ą' chan deeheenjyaa datthak gwik'it t'inyąą, ch'oondaii iizųų k'it veegoo'aii. 
59:3:009-010:0	Diikyaa haa, Zheekat Gwiti' mahsį' varahnyąą ts'ą' chan dinjii Vit'eegwijyąhchy'aa k'it iltsąįį nąįį chan vaatr'eedeeraajyaa. Shachaa nąįį jii jyaa dakhwa'ya' shrǫ'! 
59:3:002:1	K'eegwaadhat Vigwizhi'
59:3:011-012:0	Nanzhit k'iizhaa chųų iizųų, chųų nizįį haa nihłaa khaiinlaii kwaa. Shachaa nąįį! Ąįį gwik'it Fig dachan nahshii duuyeh chan vakat Olives nahshii t'inchy'aa, akwat jak (grape) t'an nahshii duuyeh chan Figs vakat nahshii t'inchy'aa. 
59:3:013:0	Dinjii goonzhįį ji', khit ts'ą' gwinzii gwizhrįh t'ihee'yaa. Gwantł'oo ideech'iin'in kwaa ji' t'ee nigwizhi' gwanlii t'ihiinchy'aa. 
59:3:014:0	Gaa nidrii zhit dinjiriighit dha'aii ts'ą' chan ideenjit gwizhrįh ninjich'iindhat. Jyąhts'ą' K'eegwaadhat Viginjik oots'it tr'ahtsii k'it t'oonchy'aa. 
59:3:015:0	Jii k'it t'inchy'aa ch'igwizhi' yeedaa zheekat gwats'an kwaa t'oonchy'aa, jii nankat chan ts'ą' ch'anky'aa tr'aanduu haa zhrįh goots'an t'inchy'aa. 
59:3:016:0	Nijin gwats'ą' dinjiriighit ts'ą' chan ideenjit gwizhrįh niinjich'aradhat, izhit gwats'an dinjii nąįį tr'eedeenihłagaajyaa ts'ą' chan tr'agwaanduu gwigwitr'it gwanlii. 
59:3:017:0	Gaa K'eegwaadhat vigwizhi' t'ee shroodiinyąą, deegwaahnyąą, diishrooanjyaa, veeshroonchy'aa, ąįįts'ą' neeshraahchy'aa niindhan kwaii datthak nilii. Ąįįts'ą' vigwitr'it gwinzii kwaii chan lęįį. Dinjii nąįį inehts'į' t'inchy'aa kwaa, ąįįts'ą' dinjii gwik'injiighit kwaa gaa gwik'injiighit adaa'įį kwaii chan veenjit kwaa. 
59:3:018:0	Gwik'injiighit nąįį nihłit'iinjyaa'ee kwaa ts'ą' gwinzii tsinehdan zhit nihłaa tr'agwagwah'in ts'ą' izhit gwats'an K'eegwaadhat vigwitr'it gwinzii googwahtsii.
