59:1:001:1	Gwik'injigwiighit, Gwaroonzhįį Haa
59:1:001:0	Shįį James t'ihchy'aa, Gwiti', Diik'eegwaadhat Jesus Christ haa gootsyaa ihłįį. Jii dęhtły'aa t'ee jii nankat nihky'aa datthak gwik'injijii nąįį goodivee goozų'. 
59:1:002-003:0	Shachaa nąįį! Nakhwaa googwantrii dąį' gaa nihk'it shoo ǫhłįį, jii kwaii datthak geenjit gaayiich'adhohtsąįį ji' t'ee gwik'injigwiighit gweheent'aii. 
59:1:004:0	Nihk'it akhagoohnyąą kwaa ji', dinjii nizįį gwik'injijii hohłyaa t'oonchy'aa. 
59:1:005:0	Nakhwalat nąįį gaashoondaii niindhan ji', K'eegwaadhat ts'ą' khadigiinjii, juu khadigiinjii nąįį datthak ch'eegoonzhrįį ts'ą' shoo haa k'eegwahahthat. 
59:1:006:0	Khadagohjii dąį' K'eegwaadhat sheenjit jyaa deehee'yaa kwaa nǫhkhya' shrǫ'! Juu jyaa dinchy'aa ji' t'ee zhit chųų choh kat tit haa neehiitr'ak ąhtsii k'it t'iheechy'aa. 
59:1:002:1	Dinjii Neeshraahchy'aa chan ts'ą' Dinjii Valaraa Gwanlii Nąįį Haa
59:1:007-008:0	Juu sheenjit K'eegwaadhat jyaa dihee'yaa kwaa niindhan ąįį K'eegwaadhat ts'an gwahąąh'yaa kwaa. Datthak dee'in gwizhit gwinzii deegweheechy'aa gaandaii kwaa geh'an. 
59:1:009:0	Dinjii gwik'injiighit, neeshraahchy'aa ąįį K'eegwaadhat dąągineeyehiłchįį ji' geenjit shoo oolį'. 
59:1:010:0	Ąįį dinjii valaraa gwanlii gwik'injiighit chan K'eegwaadhat zhak gineeyehiłchįį ji' geenjit shoo oolį'. Ąįį dinjii valaraa gwanlii gwanzhįh gwinzii vigweech'in k'it khan viheekwaa. 
59:1:003:1	Juu Vaagogwantrii Gaa Nihk'it Gwik'injiighit Nąįį
59:1:011:0	Ąįį gwanzhįh shreedhaa an yahahtsyaa ts'ą' iizųų heelyaa. Ąįį gwik'it ąįį dinjii valaraa khan valaraa heekwaa ts'ą' an heelyaa. 
59:1:012:0	Ąįį juu dinjii vaagogwantrii gaa, nihk'it gwik'injiighit ji' t'ee shoo heelyaa, gwandaii ndaanąą'ąį' kwaa gaayiihaatsyaa. Ąįįt'ee K'eegwaadhat juu yeet'iindhan nąįį intł'eeyehee'aa t'oonchy'aa. 
59:1:013:0	Dinjii vaagogwantrii geh'an datr'agwaanduu gwiłtsąįį ji', “Jii gogwantrii kwaii K'eegwaadhat vats'an t'igwii'in.” doonyą' shrǫ'! Ąįįts'ą' K'eegwaadhat chan duuyeh vatr'agwaanduu gwanlii geh'an duuyeh dinjii atr'agwaanduu gwahtsii. 
59:1:014:0	Gaa ąįį dinjii tr'agwaanduu t'ooshi'ya' yiindhan geh'an gwizhrįh vatr'agwaanduu gwanlii. 
59:1:015:0	Jii gwiizųų t'ooshi'ya' yiindhan kwaii geh'an vatr'agwaanduu gweheelyaa. Ąįį tr'agwaanduu t'ii'in ts'an t'ee ch'ichį' heelyaa. 
59:1:016:0	Shalak nąįį neenakhwaroon'ee shrǫ'! 
59:1:017:0	Jii nankat jidii nizįį diitł'eeriin'ąįį t'ee zheekat gwats'an t'inchy'aa. K'eegwaadhat t'ee zheekat gwats'an ch'aadrii tthak chan gwiłtsąįį. Shree t'ee tǫǫ, drin haa neegwa'ak gwik'it K'eegwaadhat ch'ijuk needaatsik kwaa t'inchy'aa, ąįįts'ą' khit diits'ą' nizįį. 
59:1:004:1	K'eegwaadhat Viginjik Oodǫǫhk'įį ts'ą' Gwik'it T'akhwa'in.
59:1:018:0	K'eegwaadhat łyaa łi'didlii haa viginjik k'iighai' diiniłtsąįį. Izhit geh'an t'ee gwandaii datthak andaa tr'ihil'ee. 
59:1:019:0	Shachaa nąįį, nakhweet'ihthan Shoodǫǫhk'įį! Ch'oodǫǫhk'įį ts'ą' khagihinkhyaa ji' deehiinjyaa gininjich'ahthat. Khan nik'iigohohghii shrǫ'! 
59:1:020:0	Dinjii k'iigwahaadhak ąįįt'ee K'eegwaadhat ts'an gwitr'it t'oonchy'aa kwaa. 
59:1:021:0	Jidii nakhwatr'agwaanduu gwiizųų gwanlii datthak akhagoohnyąą. Gǫhdaii gwizhit ndak t'ohchy'aa kwaa haa K'eegwaadhat nakhwats'ą' t'ohthan. Viginjik ǫhjii ji', neenakhwahahshii t'inchy'aa. 
59:1:022:0	Zhyaa K'eegwaadhat viginjik ǫǫhk'i' shrǫ' gaa deenakhwarahnyąą gwik'it t'akhwa'in. 
59:1:023-024:0	Ąįį juu zhyaa K'eegwaadhat viginjik oołk'įį ts'ą' gwik'it t'ii'in kwaa, ąįįt'ee dinjii vizhit needaraa'in zhit needadąą'ya' tł'ęę nats'ąą viyiichy'a' ginildee k'it t'inchy'aa. 
59:1:025:0	Gaa ąįį juu K'eegwaadhat Viginjik shroodiinyąą zhrįh k'it ahaa t'ee dinjii gadahahchyaa. Ąįįts'ą' dee'in datthak ideenjit shoo heelyaa. Ch'oołk'įį ts'ą' gwik'it t'ii'in geh'an. 
59:1:026:0	Juu K'eegwaadhat haa ihłįį niindhan? Ąįį juu dighit gwik'indeedąątii kwaa t'ee K'eegwaadhat haa nilii kwaa ts'ą' yee'at k'ii'an hee niinjich'adhat. 
59:1:027:0	Łyaa Diiti' K'eegwaadhat vaa oihłi' niindhan ji', jii kwaii jyaa dini'in; Tr'iinin chiitee ąįįts'ą' tr'injaa vakai' niindhat goovaagogwantrii nąįį, ts'iinyąą ts'ą' tr'agwaanduu t'ini'yaa gwits'į' adak'ąąntii.
