48:6:001:1	Nakhwaa Googwantrii Dąį' Nihłats'ohnyąą
48:6:001:0	Shachaa nąįį , nakhwatee ch'ihłee tr'agwaanduu tr'agwah'in ji' , nakhwan ch'ihłee juu Vit'eegwijyąhchy'aa doo'ya' yuunyąą gwik'it t'inchy'aa nąįį yaa tr'agwah'in , gaa khai'gwidlii vaa tr'agahoh'yaa gwizhrįh , ąįįts'ą' łyaa gwinzii adak'ahoontyaa gwizhrįh , nakhwan chan vaa t'akhwa'yaa kwaa eenjit .
48:6:002:0	Nakhwaa gwiizųų dąį' nihłats'ohnyąą , jyąhts'ą' t'ee Christ va-law k'eegohthat t'oonchy'aa .
48:6:003:0	Nakhwatee ch'ihłee hool'ee niindhan ji' , hil'ee kwaa ts'ą' zhyaa adats'ą' oots'it t'inchy'aa .
48:6:004:0	Jii jyaa doonchy'aa t'oonchy'aa , nakhwatee gwagwaanchy'aa haa nats'ąą nakhwagwitr'it gwanlii gwik'iighai' idininjich'ohthat . Nakhwagwitr'it gwinzii ji' adashoo ǫhłįį , ts'ą' ch'izhii nąįį jyaa dii'in dohnyąą haa nihłandaa gwinzii t'ahoh'ya' shrǫ' .
48:6:005:0	Juu nąįį datthak ideenjit gwizhrįh ch'igiheeghwaa goo'aii geh'an .
48:6:006:0	Ąįį juu Vit'eegwijyąhchy'aa viginjik agwaa'ee t'ee zhit juu vats'anh gwigwil'ee ąįį k'eegwiichy'aa gwat'aahchy'aa ji' yits'iheenjyaa t'oonchy'aa .
48:6:007:0	Ideenjit zhyaa k'ii'an oonts'it shrǫ' , Vit'eegwijyąhchy'aa veentak gwakwaa t'inchy'aa . Dinjii jidii niłshįį khaihłan niheelyaa goo'aii , Dinjii nats'ąą dinjii inli' ky'aa ch'aroahkat drin ji' Vit'eegwijyąhchy'aa yuuhahkat t'oonchy'aa .
48:6:008:0	Tr'agwaanduu gwigwitr'it gwanlii gwizhrįh gwiiłshįį ji' , ch'ichį' zhrįh gwiiłshįį gwats'ąnh nooheendal . Ch'anky'aa Shroodiinyąą haa gwiilshįį ji' , gwandaii ndaanąą'ąį' kwaa ąįį nooheendal .
48:6:009:0	Gwinzii gwizhrįh diigwitr'it gwanlii ji' , geecheeroondak shrǫ' , akhagoiinyąą kwaa ji' , nijin gwanzhįh khaihłan niriinlii izhit drin nigweheedhaa .
48:6:002:1	Khaiinkǫǫ Akǫǫ Digwinyąą ts'ą' Nihłanli' Tr'oonjii
48:6:010:0	Ąįįts'ą' khit lęįį nąįį ts'ą' dinjii nizįį iinlii , zhit juu gwik'iinjigwiighit di'įį nąįį ch'andaa ts'ą' tr'iheezyaa .
48:6:011:0	Shanli' haa nakhwats'ą' ch'adįhtł'oo ts'ą' nitsii chan dhałtsąįį !
48:6:012:0	Zhit juu nakhwadhah gihłeerohoht'ii giindhan nąįį zhyaa gwik'injigiighit adagaa'įį ts'ą' zhit gwa'an t'igwii'in googwąąh'in izhit gwizhrįh geenigiitii t'igii'in . Christ va-cross kat gidiirohtsak shrǫ' giindhan geh'an jyąhts'ą' googwitr'it gwanlii .
48:6:013:0	Ąįįts'ą' juu vadhah gihłeerihiłt'uu nąįį Law k'eegwahthat kwaa , nakhwadhah gihłeerohoht'ii nakhwagoonyąą , zhyaa nakhwadhah gihłeehoht'ii nakhwagiłtsąįį geech'igehee'yaa geenjit t'igii'in
48:6:014:0	Shįį ąįį , ideech'ih'in ji' , Diik'eegwaadhat Jesus Christ cross kat diineenjit niindhat gwizhrįh geech'i'in t'ihnyąą . Ąįį cross eh'an dzaa nankat dinjii nąįį k'it gwįįhdaii kwaa ts'ą' jaghaii nats'ąą gwįįhdaii gwik'it gwįįhdaii t'ishi'in gaagiindaii kwaa .
48:6:015:0	Dinjii vadhah gihłeerihiłt'uu akwat vadhah gihłeerihiłt'uu kwaa gaa t'ohłii t'oonchy'aa kwaa t'oonchy'aa . Vit'eegwijyąhchy'aa k'iighai' ch'ijuk dinjii neerilii gwizhrįh gwandaa gwinzii .
48:6:016:0	Juu gwandaii gwizhit datthak jii kwaii gwik'eegwahthat nąįį , tsinehdan akwat neeshraahchy'aa niindhan goovaa oolį' geedan chan ąįįts'ą' Vit'eegwijyąhchy'aa vigii nąįį datthak chan !
48:6:017:0	It'ee jii zhrįh , chan ch'ihłee shaa gwiizųų gohtsyaa shrǫ' , Jesus vi-slave ihłii izhit geh'an shakat shat gwanlii .
48:6:018:0	Shijyaa nąįį , Diik'eegwaadhat Jesus Christ vich'eegoonzhrii datthak nakhwaa oolį' . Amen !
