48:5:001:1	Deegoo'ya' Gwiindhan Ąįį Gwik'it T'igwii'in Ąįį Gwaroontą'
48:5:001:0	Ideenjit k'eedeegwarahaadhat eenjit Christ diineenjit gwiłtsąįį . Chan Moses va-law ts'ą' slaves ǫhłį' shrǫ' !
48:5:002:0	Ch'oodǫǫhk'įį ! Shįį Paul t'ihchy'aa , jii nakhwaa gwahaldak : nakhwadhah gihłeerohoht'ii shrǫ' ! Gwik'it t'akhwazhik ji' , Christ vat'oohchy'aa kwaa k'it t'ohchy'aa .
48:5:003:0	Chan hee jyaa nakhwahaihjyaa , juu nakhwatee vadhah gihłeerihiłt'uu ji' , jidii Law datthak k'eegwahahthat gwizhrįh .
48:5:004:0	Juu Vit'eegwijyąhchy'aa eenjit gwinzii t'ii'in niindhan ts'ą' Vit'eegwijyąhchy'aa va-law k'eegwahthat ji' , ąįįt'ee Christ duuyeh neeyahshii , Vit'eegwijyąhchy'aa vich'eegoonzhrii eh'ok hee gwitr'it t'agwah'in t'ii'in .
48:5:005:0	Diikhwan ąįį , Vit'eegwijyąhchy'aa vaa tr'eedaa ji' eenjit gwizhrįh niinjich'aradhat , izhit t'ee geenjit nagwarool'in t'oonchy'aa , Ch'anky'aa Shroodiinyąą vat'aii zhit gwik'injigwiighit tr'ii'įį haa .
48:5:006:0	Christ Jesus vaa tr'iinlii ji' , diidhah gihłeerahaht'ii gwit'eegwaahchy'aa kwaa . Gwik'injigwiighit zhit ch'eet'igwiniindhan tr'ii'įį ąįį zhrįh gwit'eegwaahchy'aa .
48:5:007:0	Jesus vatąįį ohdaa łyaa gwinzii t'akhwa'in chy'aa ! Juu łi'didlii k'eegohthat kwaa nakhwiłtsąįį ? Nats'ąą gwik'it t'akhwa'in nakhwiłtsąįį ?
48:5:008:0	Vit'eegwijyąhchy'aa gwitee tr'anakhweiinlii ąįį t'iizhik kwaa .
48:5:009:0	“ Łųh vaaniituu tsal haa nahshii dąį' googaa vaa łųhchy'aa lęįį gwilik . ” Gwinyąą .
48:5:010:0	Gaa tth'aii hee K'eegwaadhat k'injohkhit nakhwaashandaii , nakhwan , shįį haa Diik'eegwaadhat vaa nareelzhii ts'ą' duuyeh ch'ijuk ts'ąįį gooh'in nakhwaashandaii ts'ą' ąįį juu veh'an t'akhwazhik ąįį Vit'eegwijyąhchy'aa yagwahąąhshii t'oonchy'aa .
48:5:011:0	Shachaa nąįį , diidhah gihłeerahaht'al eenjit geech'ǫąąłtan , geh'an jaghaii shats'ą' nich'itsigahthat t'igii'in ? Jyaa t'ishi'in ji' zhit Christ giriłtsak ts'ą' niindhat eech'oaałtan ąįį łi'didlii heelyaa kwaa .
48:5:012:0	Ąįį juu iizųų nakhwahtsii nąįį gwandaa t'igii'in ji' goovoihnyąą , castrate adagaatsii , ts'ą' seenjaa jyaa digii'in zhyaa goovoh'in !
48:5:013:0	Shachaa nąįį , nakhwan ąįį ( slaves ) hohłyaa kwaa eenjit gwitee tr'anakhwariinlii , gwiizųų vaa tr'agahoh'yaa eenjit kwaa gaa Vit'eegwijyąhchy'aa vich'eet'igwiniindhan haa ch'izhii nąįį haa gwitr'it t'agohoh'yaa eenjit t'inchy'aa .
48:5:014:0	Jii Law datthak jyaa nyąą t'inyąą : “ Deegwahtł'oo ideet'iindhan gwik'it ch'izhii nąįį chan eet'iindhan . ”
48:5:002:1	Ch'anky'aa Shroodiinyąą , ts'ą' Dinjii Haa
48:5:015:0	Gaa nin iizųų k'it t'akhwa'in ts'ą' ch'izhii nąįį ts'ahahthaa gwik'eegwiindaii ; ąįį łyaa gook'ǫǫhtii , datthak nakhwatee googwąąnchy'aa ts'ą' an nihłahootsyaa t'oonchy'aa .
48:5:016:0	Jii ąįį jyaa t'ihnyąą : Ch'anky'aa Shroodiinyąą deeni'in datthak naa oolį' , tr'ihkhit adats'ą' k'eegoodhat hohłyaa kwaa !
48:5:017:0	Dinjii tr'iinlii ts'ą' deegoo'ya' gwiindhan ąįį Ch'anky'aa Shroodiinyąą gitr'ii'ee , ts'ą' Ch'anky'aa Shroodiinyąą doo'ya' diinoonyąą ąįį dinjii tr'iinlii ts'ą' deegoo'ya' gwiindhan ąįį gitr'ii'ee . Jii neekwaii nąįį diizhit nihjyaa ginlii kwaa , ąįį geh'an adats'ą' k'eegwaraadhat kwaa t'oonchy'aa .
48:5:018:0	Ch'anky'aa Shroodiinyąą deekhwa'in datthak nakhwaa nilii ji' , Jews goo-law zhit ohdaa gwat'aahchy'aa kwaa .
48:5:019:0	Dinjii tr'iinlii ts'ą' deegwii'in datthak gwizhrįh gwigweech'in . Diitthąį' haa gwiizųų diigwitr'it gwanlii , nihts'ą' gwiizųų niinjich'aradhat , ginilih kwaa diigwitr'it gwanlii ,
48:5:020:0	ch'ik'itiltsį' ts'ą' khadigiriinjii , shan chan haanigwirii'aii , haa dinjii nąįį nihłitr'igii'ee ts'ą' nihłigiighan , gootr'eegwąhgąįį ts'ą' nankat gwik'eiich'ii lęįį giindhan . Nihłehts'į' t'igiichy'aa haa tthok nineegiidal .
48:5:021:0	Dinjii goovandaa nizįį nąįį itr'igii'ee , ch'anagahoonį' gwiizhit giinlęįį haa nihłaanigwigwii'ąįį ts'ą' nihts'ą' gwiizųų tr'agogwah'in . Gwehkįį dąį' jyaa nakhwaiinyą' gaa chan hee jyaa nakhwahaihjyaa : jii juu jyąhts'ą' googwitr'it gwanlii nąįį duuyeh Vit'eegwijyąhchy'aa Veegwinii'ee gwąąh'in t'oonchy'aa .
48:5:022-023:0	Gaa Ch'anky'aa Shroodiinyąą zhrįh eh'an jii kwaii gwanlii t'oonchy'aa : Ch'eet'igwiniindhan , shrigweheechy'aa , tsinehdan , khai' t'iichy'aa , veeshroonchy'aa , yit'injihaahchy'aa , vich'eegoonzhrii , nihts'ą' tr'iheezyaa ts'ą' idik'eerahaantyaa . Jii kwaii eenjit Law kwaa t'oonchy'aa .
48:5:024:0	Juu Christ Jesus vats'anh nilii nąįį dinjii ginlii gwizhit gwiizųų t'asho'ya' giindhan ąįį ęhdaa tr'igwigwehee'aa haa nihk'it t'oonchy'aa .
48:5:025:0	Ch'anky'aa Shroodiinyąą ąįį gwandaii diinantł'eiin'ąįį , diigwandaii ts'ą' k'eedeegwaadhat goo'aii .
48:5:026:0	Ch'it'injarahaa'aa kwaa goo'aii , nihts'ą' tr'iiheezųų kwaa goo'aii , ch'izhii dinjii jidii gwii'įį chan gwiheenghyaa kwaa goo'aii .
