48:3:001:1	Gwik'iinjigwiighit akwat Moses Va-law Haa
48:3:001:0	Galatians , łyaa nakhwagwizhi' kwaa ts'ą' tr'agǫhjik ! Tr'aanduu tee nakhwahaadlii ! Jesus Christ nihk'ataa'ee ( cross ) kat nakhweenjit giriłtsak gohtth'ak gaa nihk'it tr'agǫhjik .
48:3:002:0	Jii geeshaagwandak : Law zhit deegwinyąą gwik'it t'akhwa'in k'iighai' Ch'anky'aa Shroodiinyąą khwa'įį ? Goohtth'ak ts'ą' Gwandak Nizįį k'injuhkhit geh'an ? Jidii shrit ?
48:3:003:0	Nats'ąą zhyaa tr'agǫhjik ! Tr'ookit Ch'anky'aa Shroodiinyąą haa gwitr'it t'agoh'in gaa juk chan nakhwat'aii haa shragahohłyaa nohthan ?
48:3:004:0	Deekhwa'ya' datthak zhyaa lee t'akhwa'ya' ? Łyaa nakwaa gwizhrįh !
48:3:005:0	Vit'eegwijyąhchy'aa , Ch'anky'aa Shroodiinyąą nakhwantł'eiin'ąįį , ts'ą' geegwaroolii kwaa nakhwatee t'ii'in dąį' Law k'eegwahthat geh'an lee t'ii'in ? Akwat gohtth'ak akwat Gwandak Nizįį k'injuhkhit geh'an lee t'ii'in ?
48:3:006:0	Dęhtły'aa Choh kat Abraham jii jyaa varaiinyą' : “ Vit'eegwijyąhchy'aa k'injiighit , ąįįts'ą' vigwik'injigwiighit eh'an Vit'eegwijyąhchy'aa gwinzii yaanadhat k'it yąąh'in . ”
48:3:007:0	Ąįįts'ą' it'ee juu Jesus vik'injigwiighit di'įį nąįį łyaa łi'didlii haa yeenii Abraham valak giinlii gaagwiindaii t'oonchy'aa .
48:3:008:0	Vit'eegwijyąhchy'aa ąįį Israel gwich'in nilii kwaa nąįį googwik'injigwiighit eh'an giiyaat'iheechy'aa , ąįį ch'adąį' hee Dęhtły'aa Choh kat geenjit jyaa t'igwinyąą . Ąįįts'ą' izhit geh'an Dęhtły'aa Choh zhit Abraham tr'ookit Gwandak Nizįį jii eeyaagwildak , “ Nik'iighai' jii nankat gwidinjii nąįį datthak Vit'eegwijyąhchy'aa goots'ą' gwinzii t'ii'in . ”
48:3:009:0	Abraham izhit gwik'iinjindhat ts'ą' adan chan Vit'eegwijyąhchy'aa yats'ą' gwinzii t'ii'in , izhit gwik'it juu gwik'iinjiighit nąįį datthak Vit'eegwijyąhchy'aa goots'ą' gwinzii t'ii'in .
48:3:010:0	Juu Law zhit gwizhrįh ahaa ts'ą' Vit'eegwijyąhchy'aa haa ahaa kwaa ji' , Vit'eegwijyąhchy'aa yidivee gwiizųų gwahahtsyaa . Dęhtły'aa Choh kat jii jyaa t'igwinyąą , “ Juu Dęhtły'aa kat Law zhit deegwinyąą datthak gwik'eegwahthat kwaa ji' Ch'aroahkat Drin zhit ji' yidivee gwiizųų gwahahtsyaa . ”
