28:13:001:1	Íífreiyim dine'é t'áá át'é ábi'dooldįįłgo baa hóóne'
28:13:001:0	Íífreiyim yájíłti'go diné bitah dahoditłid nít'éé' ; Ízrel dine'é bitahgi t'áá bí ayóó át'éii í'díl'į́ , nidi Béíyal bich'į' nahojiłáago ádił adzisiihgo dadziztsą́ .
28:13:002:0	Áko k'ad t'óó tsé'édin ádił nááda'ílzíihgo béésh łigaii deidiłhį́į'go eda'alyaii ádá ádayiilaa . T'áá bí yik'ida'diitáanii bik'ehgo diné da'iichįįhii eda'alyaii t'áá ałtso ádayiilaa . Áko ádaaní , Diné nááda'iiłniihii éí béégashii yáázh bida'alyaii nídeints'ǫs doo .
28:13:003:0	Éí bąą áhí ałtso ádįįhígi át'éego , doodaii' dahtoo' ádįįhígi át'éego , doodaii' azhool bił yóó'ahiyółígi át'éego índa ch'íláyi'dóó łid bił yóó'ahiyółígi át'éego ádazhdoodįįł .
28:13:004:0	Nidi t'áá Ííjip kéyahgi kééhoht'į́ yę́ędóó wóshdę́ę́' nihiDiyin God Bóhólníihii nishłį́ . T'ááká náánáła' diyin ánádaohdle' lágo , háálá yisdá'iiníiłii doo ła' nááhódlǫ́ǫ da .
28:13:005:0	Honoojíidi t'áá íiyisí hóółtseiigi kééhoht'į́įgo nihééhasin nít'éé' .
28:13:006:0	Bikéyah hootsoígíí bik'ehgo hwiih daazlį́į́' áádóó bijéí yee ayóó át'éego ádaa dadzoosdli' ; éí bąą t'óó shaa dayooznah .
28:13:007:0	Áko bich'į' náshdóítsoh bitsiijį' ditł'ooígíí nahonishłin doo ; náshdóítsoh łikizhii nahonishłingo atiin bąąhgi baa hííníshtį́į doo .
28:13:008:0	Shash biyázhí bee jini'įįh nahonishłingo hak'i hwiideeshłeeł ; náshdóítsoh nahonishłingo hajéíts'iin ałk'ídadínéesǫ́ǫ́s ; naaldlooshii báhádzidii ni'iiníshígi át'éego ałtso dahodeeshdił .
28:13:009:0	Ízrel nílíinii , níká anáshwo'go shik'ijį' nílį́įgo t'áá ni ádini'nildįįdgo át'é .
28:13:010:0	Aláahgo ninanit'a'í yisdánídoołtéełiishą' háájí ? Áádóó nikin hadaas'áágóó ná dahwée'aahiishą' t'áá ałtso háájí adahaaskai ? Shą́ą́' , Aláahgo naat'áanii áádóó naat'áanii danilíinii shá ninínííł , dííníniid .
28:13:011:0	Sháhóóchįįdgo aláahgo naat'áanii ná niníłtį́ índa hashké niisdzį́į'go nahjį' kóshłaa .
28:13:012:0	Íífreiyim doo ákwii áát'įįdii áłah ályaa ; yee ádił ni'iiszíi'ii hasht'e'nii'nil .
28:13:013:0	Asdzání awéé' bídii'na' nahalingo yínííł hak'i hwiidooleeł ; aye' doo hóyáanii nilį́ ; bidi'doochíiłjį' ahoolzhiizhgo doo habíni' da .
28:13:014:0	Jishcháá' bibee adziildę́ę́' nááhodiyeeshnih . Aninéédę́ę́' nááhodiyeeshnih . Aniné nílíinii , bee nik'e'íyée'ii yę́ęshą' éí háájí ? Jishcháá' nílíinii , bee í'ííłdįįłii yę́ęshą' éí háájí ? Doo naa a'ááh nisin da .
28:13:015:0	Azhą́ bik'isóó bitahgóó t'óó ahayóí bineest'ą' nidi , ha'a'aahdę́ę́' dooyoł ; éí honoojíídę́ę́' Bóhólníihii níyolgo íidoolííł áádóó tó háálíinii náhodooltsih índa tó ha'niłhoshii náhooltseii doo áádóó naalye'é da'ílíinii ałtso hats'ą́ą́' néididoolééł .
28:13:016:0	Samériya ba'át'e' bee bohodidoot'ih , háálá biDiyin God yich'į' naalteeh nít'éé' . Bidine'é éí diltłish bee nidabidi'dootsił ; be'awéé' bits'ą́ą́' nihídahidiiltsxisgo kódaníshéhígo nihidadíl'áa dooleeł ; sáanii daaltsáanii yighá deidoogish .
