28:11:001:1	Diyin God bidine'é bits'ą́ą́' yóó'eekaii yídin nilį́
28:11:001:0	Ízrel áłchíní nilį́į́dą́ą́' ayóó'íínísh'níí nít'éé' . Shiye' Ííjip kéyahdę́ę́' wóshdę́ę́' ch'ínínááh , bidííniid .
28:11:002:0	Diyin God yá dahalne'ii bíká ádaaníigo t'ah yówehgo t'óó yits'ą́ąjį' dah dahidiikai ; Béíyal yich'į' nááda'iisnii' áádóó didlidgo náádahaniihii éí eda'alyaii yich'į' náádayiisnii' .
28:11:003:0	Shigaan bee Íífreiyim dine'é ádídeíníshtą'go yikah dooleełgóó bínabiníłtą́ą́' . Hadaałt'é áńdeishdlaa , nidi t'áadoo bił béédahoozin da .
28:11:004:0	Dinégi át'éego ayóó'ó'ó'ní bee át'ááh hweesh'nil . Ha'deestsoł biniyé hach'į' yaa ásdzaago hazáát'i'í haa diinil .
28:11:005:0	Ííjip kéyahgóó doo nídookah da , nidi doo shich'į' t'ą́ą́' níjíkáhígíí biniinaa Asíriya dine'é aláahgo hondant'áa doo .
28:11:006:0	T'áá bí kót'éego daaníinii biniinaa bikin hadaas'áágóó diltłish bee atíbidi'doolnííł áádóó bidáń'da'ditį́įhii bits'ą́ą́' ádooldįįł índa ádabidi'dooldįįł .
28:11:007:0	Shidine'é shits'ą́ą́' t'ą́ą́' honídoo'nííłjí ahodiyíí'ą́ . Azhą́ Diyin God yá dahalne'ii , Aláahgo Ayóó'át'éii bich'į' nináhóhkááh , dahałníi nidi , t'ááłá'í nidi doo ła' haa haniih da .
28:11:008:0	Íífreiyim nílíinii , haash yit'éego ninándideesh'ááł ? Ízrel nílíinii , haash yit'éego t'óó ni'deeshnih ? Haash yit'éego Ádmah hoolyéii atílyaa yę́ęgi át'éego atíndeeshłííł ? Haash yit'éego Ziibówim hoolyéii atílyaa yę́ęgi át'éego atíndeeshłííł ? Shijéí bee nihaa yíníí ł nishłį́įgo nihaa a'áhí néiniisdzįįh .
28:11:009:0	Yéego hashké néiniisdzįįhígíí doo bee atíhodeeshłíił da . Íífreiyim atíhodeeshłííł biniyé doo nááhodeeshłeeł da , háálá doo diné nishłį́į da , nidi Diyin God nishłį́ . T'ááłá'í Diyinii nishłį́įgo nihitahgóó honishłǫ́ áádóó doo atí'deeshłííł biniyé hodeeshłeeł da .
28:11:010:0	Bóhólníihii yikéé' dah didookah . Náshdóítsoh bitsiijį' ditł'ooígíí ání nahalingo yéego áníi doo ; t'áá aaníí , yéego áníigo e'e'aahdę́ę́' Ízrel dine'é bitah dahoditłidgo ninádahidookah .
28:11:002:1	Íífreiyim biyooch'íidgo áníinii áádóó ade áhósinii biniinaa bi'deesteh
28:11:011:0	Tsídii bitah hoditłid nahalingo Ííjip kéyahdę́ę́' nináhidookah áádóó hasbídí bitah hoditłid nahalingo Asíriya kéyahdę́ę́' nináhidookah índa dabighangi nináhideesh'ish , ní Diyin God .
28:11:012:0	Íífreiyim ayóogo shinó'ááh áádóó Ízrel dine'é doo chohoo'į́į́góó shinda'alo' , Júdah éí Diyin God ba'ahódlíii t'ahdii yits'ą́ąjį' yigááł .
