28:5:001:1	Ízrel dine'é éí t'áá aaníinii yits'ą́ą́' yóó'eekaii atídoolnííł
28:5:001:0	Nááda'iiłniihii danohłíinii , da'íísínółts'ą́ą́' ; Ízrel dine'é danohłíinii , da'doohts'į́į́h ; aláahgo naat'áanii ba'áłchíní danohłíinii , da'íísínółts'ą́ą́' : jó , nihá nihoot'aah , háálá Mízpah kin haal'áagi łohígi ádanoht'éé nít'éé' áádóó Dził Téíborgi tł'óół yistł'ónígi ádanoht'éé nít'éé' .
28:5:002:0	Nidaalteehii t'áá íiyisí doo yá'áshóonii yiih níídee' , áko t'áá ádzíłtso t'áá shí dadideeshteh .
28:5:003:0	Íífreiyim dine'é bééhasin índa Ízrel dine'é ts'ídá doo shits'ąą nízhdót'į́į́ł át'ée da . Íífreiyim nílíinii , k'ad ayóogo íłjił . Ízrel éí ádoolchxǫ' .
28:5:004:0	Ádaaníłígíí bąą doo biDiyin God yich'į' ninádahókááh át'ée da , háálá ajił t'éí bíni' dadineesdlį́į'go Bóhólníihii doo yéédahósin da .
28:5:005:0	Áádóó Ízrel bibee ádaa hodzódli' bidáahgi hólǫ́ǫgo baa halne' . Éí bąągo Ízrel áádóó Íífreiyim ba'át'e' yii' didoogoh , áádóó Júdah dine'é ałdó' ákódoonííł .
28:5:006:0	Bidibé áádóó bibéégashii nideiniłkaadgo Bóhólníihii hádaat'į́į doo biniyé dah didookah , nidi t'áadoo bik'ídazhdookah da ; jó , Bóhólníihii hats'áhoníle' .
28:5:007:0	Áko Bóhólníihii na'adlo' yindayiiłdeełgo dahináá nít'éé' ; jó , wótashki' nidajiishchį́ . Índa lą́ą dah néitį́įhgo dá'ák'ehgóó nidazhniłt'ą'ii t'áá bił hó ałdó' haa nahodidoodaał .
28:5:008:0	Gíbiyah kin haal'áagi deenásts'aa' bidee' bee í'dílzoołí bee ádadohniih áádóó Réímah kin haal'áagi béésh dilní bee í'dílzoołí bee ádadohní . Beth-éíven kin shijaa'gi hadadołgháásh , Bénjamin nílíinii , t'ą́ą́' nídínít'į́į́' .
28:5:009:0	Íífreiyim dine'é bi'deesteh bijį́įdi t'áadoo nídoodleełí da . T'áádóo nídí ádooníłígíí Ízrel dine'é danilíinii bitahgóó baa hashne' .
28:5:010:0	Júdah binanit'a'í danilíinii éí bee dahoodzoii nahjį' kódeile'ii nidahalin ; éí bąągo bee hashké nísdzinii tó adáálį́ nahalingo hak'i yeideeshkááł .
28:5:011:0	Íífreiyim bide áhólzin áádóó ánihwiit'aah bá ninázhnítłizh , háálá t'áádóo nídí diné bibee haz'áanii bee akéé' nizhníyá .
28:5:012:0	Éí bąągo Íífreiyim bich'į'go ch'osh ałchozhiigi ánísht'é áádóó Júdah dine'é , Éí dííłdzidii , dashó'ní .
28:5:013:0	Íífreiyim daatsaahgo ádaa ákoniidzį́į'go áádóó Júdah éí hadadeeznihgo ádaa ákoniidzį́į'go Íífreiyim éí Asíriya kéyahgóó ííyá ; aláahgo naat'áanii ayóó át'éii yich'į' i'ííł'a' ; ákondi nándidoołáłígíí doo yíneel'ą́ą da , áádóó hadadínínihę́ęgi doo náyółdziih át'ée da .
28:5:002:1	Ízrel dine'é t'óó ádaat'į́įgo łahgo át'éego tsíńdadeezkééz
28:5:014:0	Jó , Íífreiyim dine'é bich'į' náshdóítsoh bitsiijį' ditł'ooígíigi ánísht'ée doo áádóó Júdah dine'é bich'į' náshdóítsoh bitsiijį' ditł'ooígíí biyázhígi ánísht'ée doo . T'áá shí nihodiyeeshnishgo índa yisháał doo ; dahodideeshhéełgo doo ła' yisdáhodoołtéeł da .
28:5:015:0	Bee ádił nida'dziisíi'ii baa ákódazniizį́į'jį' áádóó shíká dazdéez'į́į́' dadzizlį́į'jį' hats'ą́ą́' dah dideesháałgo t'óó shighangóó nídeeshdááł . Hach'į' hodiiznáa'go haleebee shíká dazdéez'į́į' dooleeł .
