28:4:001:1	Bóhólníihii éí Ízrel dine'é yik'éhá'ááh
28:4:001:0	Ízrel dine'é danohłíinii , Bóhólníihii áníinii deínółts'ą́ą́' , háálá t'áá aaníinii áádóó ajooba'ii índa Diyin God yééhósinii ádinígíí biniinaa díí kéyahgi kéédahat'íinii Diyin God bik'éhá'ááh .
28:4:002:0	T'óó da'ahódziih , dabiyooch'ííd , t'óó nida'ałtseed , da'ni'įįh áádóó ahaa da'dilyéego t'óó tsé'édin áhooniił ; t'áá ałkéé' nida'ahiltseedgo bidił bits'ádaazlį́įgo ádaalne' .
28:4:003:0	Éí bąą kéyah chaał nidi'ni' áádóó yii' kéédahat'íinii t'áá ałtso naaldlooshii índa tsídii bida'niiná ; t'áá aaníí łóó' ałdó' daniné .
28:4:004:0	Ákondi diné náánáła' t'áadoo yináádiiltłi'í índa t'áadoo ła' yiditehí , háálá nihidine'é náá'iiłniihii yich'į' saad dahółónígi ádaat'é .
28:4:005:0	Jį́įgo áádóó tł'ée'go nihí áádóó áhodooníiłii yaa halne'ii ałdó' bił dadidohgoh áádóó nihimá ádeeshdįįł .
28:4:006:0	Shidine'é doo shéédahojísinígíí bąą ádzísdįįd ; doo t'áá k'ad shéédahoosįįdígíí biniinaa shí ałdó' shináá'iiłniihii danohłíinii doo nihidínéesįįł da áádóó łah Diyin God bibee haz'áanii baa deisoonahgo biniinaa shí ałdó' niha'áłchíní t'óó beidiyeeshnah .
28:4:007:0	Wózhǫ́ k'ee'ąą dínéest'ą́ągo t'ah biláhígo shich'į' ádił ninááda'iisíí' . Éí bąą bee baa daha'niihii t'óó baa yádahasingo ádeeshłííł .
28:4:008:0	Shidine'é ádił nida'iilzíhígíí yee hwiih danilį́ áádóó yee ádił nida'iilzíhígíí k'ad yidáahjį' bi'niiná .
28:4:009:0	Diné ádaat'éhígi át'éego náá'iiłniihii ákódajít'é . Áko ádajít'éii bąą atíhodeeshłííł áádóó baa nidajikaígíí biniinaa k'ééhodideeshdlííł .
28:4:010:0	Da'ayą́ą doo nidi , doo hwiih dadooleeł da . Adilyé yaa naakai doo nidi , ba'áłchíní ádaadin doo , háálá Diyin God dadzółts'ą́ą́' yę́ę doo dazniizį́į' da .
28:4:011:0	Ałjiłnii áádóó wáin índa wáin ániidíii biniinaa doo ak'idazhdootą́ą́' át'ée da .
28:4:012:0	Shidine'é bitsin dayókeed áádóó bigish éí t'áá aaníí át'éii nihaa deididoo'ááł danízin , háálá ałjiłniigi át'éego nitsídaakeesgo biniinaa biDiyin God yits'ą́ą́' yóó'adahaaskaigo ajił t'éí bił nidahodíłchiid .
28:4:013:0	Dziłghą́ą'di nááda'iiłniihgo dawók'ą́ą́góó chéch'il biyaagi , t'iists'óóz biyaagi índa t'iis biyaagi tsin bijeeh dilidgo łikání halchinii náádayiiłniih , háálá bichaha'ohgóó t'óó dahózhóní yee' . Éí bąągo danihich'é'éké ajił bił nidahodíłchiid áádóó danihizháá'áád t'óó da'dilé .
28:4:014:0	Danihich'é'éké ajił t'óó bił nidahodíłchiidgo áádóó danihizháá'áád da'diléego éí doo atídeeshłíił da , háálá diné danilínígíí t'áá bí ałjiłnii yich'į' ch'í'ídiyoo'nił áádóó ałjiłnii yił nidahałáago náá'iiniih yaa naakai ; éí bąą diné ts'ídá doo ak'ida'dootą́ą́' át'éégóó t'óó nida'ádiilchǫǫh .
28:4:015:0	Ízrel dine'é nohłíinii , azhą́ da'ołjił nidi , Júdah dine'é ádił da'oolziih lágo . Kin shijaa' Gílgal góyaa doo doohkah da índa Beth-éíven góde ałdó' dooda . Ts'ídá t'áá aaníí Bóhólníihii hiná ; doo t'áá ádzaagóó ádee hadidoohdzih da .
28:4:016:0	Háálá béégashiitsa'ii t'ą́ą́' sitínígi át'éego Ízrel dine'é daastee' . Ákoósh hootsogi dibé yázhí ałchozhígi át'éego Bóhólníihii bi'iisą́ą doo ?
28:4:017:0	Íífreiyim éí e'elyaii bich'į' nahadlá bił ayóó áhoot'é ; t'áadoo baa nánít'íní .
28:4:018:0	Tó tsi'na'iiłáii ałtso dayoodlą́ą'go t'áá áłahjį' bida'ajił yaa deíkááh ; binanit'a'í danilíinii baa yáhásinii t'éí bił ayóó ádahoot'é .
28:4:019:0	Bił yóó'ííyolii daazlį́į́' , áko nááda'jiiłniihgo biniinaa t'óó ádaa yá dazdínóodzįįł .
