28:9:001:1	Ízrel dine'é náásgóó doo bada'ahódlíii biniinaa atídoolnííł
28:9:001:0	Ízrel nílíinii , ał'ąą dine'é bił nidahoozhǫǫhígi át'éego t'áadoo nił nihoozhǫǫhí , háálá niDiyin God bits'éíníyáago íłjił nít'éé' ; da'oolch'ííhgóó t'áá át'é ałjiłnii nááyííłbįįhii nił ayóó áhoot'éé nít'éé' .
28:9:002:0	Oolch'íihgi índa wáin bąąh haha'níihgi t'áá bíni'ídi doo ha'doołtsoł da ; wáin ániidíii ałdó' bá ádin doo .
28:9:003:0	Díí Bóhólníihii bikéyahgi doo náádahojídlǫ́ǫ da dooleeł , nidi Íífreiyim dine'é éí Ííjip kéyahgóó nihéédookah índa Asíriya kéyahgi ch'iyáán dááchǫ'ii deiyą́ą doo .
28:9:004:0	Wáin éí Bóhólníihii bich'į' nááhániihígíí doo yadeidooził da índa náádayiiłniihígíí doo yaa bił hózhǫ́ǫ da doo . Náádayiiłniihígíí éí yínííł nidaakaii dabibááh nidahalin ; éí dayííyą́'ígíí t'áá ałtso nidabiiłchxǫǫh doo ; bááh náádeidiyoołnihii t'áá bí t'éí dabibááh át'ée doo , áko Bóhólníihii bikin góne' doo yah adookáał da .
28:9:005:0	Hodílzingo áłah ná'ádleeh néit'aah góne' haa daoht'į́į doo ? Bóhólníihii bá hodílzingo áłah ná'ádleeh bijį́į́ góne' haa daoht'į́į doo ?
28:9:006:0	Háálá ó'oodįįłii yik'ee aheeskaigo Ííjip dine'é éí áłah áhodoolííł áádóó Mémfis kin haal'áádóó dine'é yóó'ádahodoolííł , jó'akon ; béésh łigaii bá haz'ánígi ch'il ahoshí hadínóot'į́į́ł ; dabiníbaal góne' ch'il deeníní hadínóot'į́į́ł .
28:9:007:0	Atíbidi'doolníłígíí baa hoolzhiizh índa k'éébidi'doolnííł beiníłką́ . Ízrel dine'é bił bééhodoozįįł ; áhodooníiłii yaa halne'ii doo áhályą́ą da ; níłch'i k'ehgo diné yáłti'ii diigis silį́į́' , háálá t'óó ahayóígóó ádił nida'iyoołzíí' áádóó ayóó át'éego bik'ee dadinohniih .
28:9:008:0	Halne'ii éí shiDiyin God yił Íífreiyim yik'i ha'ídées'į́į́' nít'éé' , nidi t'áá hidighááhgóó tsídii bee wódleehí bá naaznil áádóó biDiyin God bikin bii' góne' bik'e' diniih hólǫ́ .
28:9:009:0	Ts'ídá t'áá Gíbiyah kin haal'áadi bídayééłkaah yę́ędą́ą́' át'éhígi át'éego díí diné ałdó' t'áá bí ádadoolchxǫ' ; Bóhólníihii éí doo ákwii ádáát'įįdii yénálniih doo ; ádi ł nida'dziiszíi'ii biniinaa atíhodoolííł .
28:9:010:0	Ízrel éí honoojíigi ch'il na'atł'o'ii bik'ízhníyáhígíí nahalingo bik'íníyá . Ts'ídá átséedi tsin fig bineest'ą' neest'ánígíí nidahojílingo dahazhé'é yę́ę daash'į́į́ nít'éé' , nidi Béíyal-píyor yaa haaskaigo baa yáhásinii yá ats'á'ádadeest'ą́ áádóó ayóó'ádayó'nínígíí yił ahidaałt'éego doo daaldinii daazlį́į́' .
28:9:011:0	Íífreiyim dine'é yee ayóó át'éii tsídii yóó'eet'a' nahalingo bił yóó'ahodoogááł , áko doo bá ni'iichíih da doo áádóó doo bá ootsą́ą da doo índa ts'ídá doo bá í'dí'nóotsąął da .
28:9:012:0	Azhą́ áłchíní bee hazlį́į' nidi , doo dahinaahgóó yąąh dabíni'go ádeeshłííł , áko diné doo ła' yidziih da doo . T'áá aaníí , bits'ą́ą́' dah diiyáago doo hojooba' ájíníi da .
28:9:013:0	Íífreiyim éí Táir ayóó áhonóolningi bił haz'ánígi át'éego yiiłtsą́ . Íífreiyim ba'áłchíní nidadootsiłjį' ayíí'eezh .
28:9:014:0	Bóhólníihii nílíinii , ha'át'íishą' baa didíí'ááł ? Bits'ą́ą́' atsą́ ha'ii'eełgo índa abe' atse' bii' abe' ádingo ádíílííł .
28:9:015:0	Doo yee yá'ádaashóonii t'áá ałtso Gílgal kin shijaa'gi hólǫ́ ; ákwii dahojooshłxáá nít'éé' . Doo yá'ádaashónígi ádaat'ínígíí biniinaa shighandóó ch'íhodínéeshkał , áko doo ayóó'ánááhwíínísh'níi da dooleeł ; binanit'a'í danilíinii t'áá ałtso shik'ijį' danilį́ .
28:9:016:0	Íífreiyim atíbi'diilyaa , behétł'óól danilíinii ałtso bił nídahooltsei . Bineest'ą' doo bąąh náhódle' át'ée da . Azhą́ ninááda'iiłchíih nidi , bada'áłchíní ayóó'ádayó'níinii t'óó naastseed dooleeł .
28:9:017:0	ShiDiyin God éí nahjį' kóhodoolííł , háálá doo dadzółts'ą́ą' da nít'éé' . Áko ał'ąą dine'é bitahgóó ałtso taizhdookah .
