28:8:001:1	Ízrel dine'é bi'eda'alyaii biniinaa bidi'deesteh
28:8:001:0	Deenásts'aa' bidee' bee í'dílzoołí ázanitsééh . Atsági át'éego ana'í éí Diyin God bikin bii' sohodizin yik'i hwiidooleeł , háálá shibee aha'deet'áanii k'ídeizti' áádóó shibee haz'áanii doo ákǫ́ǫ́ ádayííł'įįd da .
28:8:002:0	K'ad nídashookąąhgo ádashiłní , ShiDiyin God , Ízrel dine'é niidlíinii néédahoniilzin .
28:8:003:0	Ízrel dine'é éí yá'ádaat'éehii t'óó yóó'adayiiłkaad , áko ana'í nilíinii baatįįh doonééł .
28:8:004:0	Aláahgo naat'áanii ła' nideiznil , nidi éí doo shí shik'ehgo da ; naat'áanii nideiznil lá , nidi éí doo bee lą́ aséłį́į' da . Eda'alyaii béésh łigaii índa óola yee ádá ádayiilaa , áko t'áá éí biniinaa ádabidi'dooldįįł .
28:8:005:0	Samériya dine'é nohłíinii , béégashii yáázh be'elyaii ádaahłaaígíí doo nihá nisxin da ; t'áá íiyisí bik'ee sháháchį' ; haa nízáadishą' índa hasht'e'ninádoohkah ?
28:8:006:0	Ízrel dine'é yinaashnishgo áyiilaii éí doo Diyin God át'ée da ; Samériyagi béégashii yáázh be'elyaii éí kóníshéhígo didoolzéí .
28:8:007:0	Níyol k'edazdeezláago nááts'ó'oołdísii áłah áńdazhdoodlííł ; akaz t'áadoo bineest'ą' dahazlį́į'ii tł'oh naadą́ą́' bąąh ádin doo áádóó azhą́ tł'oh naadą́ą́' áłch'į́į́dí nidi , dé'éyóní éí yaa nahodikai doo .
28:8:008:0	Ízrel dine'é baa nahodeesdee' ; ał'ąą dine'é bitahgóó doo chonídaot'į́į́ át'éii daazlį́į́' .
28:8:009:0	Télii ałchinii t'áá sáhí yóó'eelwod nahalingo Asíriyagóó yóó'aheeskai . Íífreiyim éí adeenáago yił a łch'į' dah daalwo' dooleełii yooskan .
28:8:010:0	Azhą́ ał'ąą dine'é bitahdóó bíká adoojahii dayoozkan nidi , k'ad áłah áhodeeshłííł áádóó bídahólníihii binanit'a'í nilíinii hade ádahósingo biniinaa ájíłch'į́į́dí jooleeł .
28:8:011:0	Íífreiyim éí ádił ni'iilzííh biniyé bikáá' náá'iiniihí t'óó ahayóí áyiilaago éí bikáá' náá'iiniihí bee ádił ni'iilzíihii daazlį́į́' .
28:8:012:0	Shibee haz'áanii lą'í há bee ak'eshíłchį́į nidi , doo bééhózinii át'éego yaa nitsíkees .
28:8:013:0	Atsį' nááhániihii shich'į' náádayiiłniih yę́ę deiyą́ ; nidi Bóhólníihii doo yaa bił hózhǫ́ǫ da ; k'ad lą́ą doo ákwii ádajíít'įįdii yénálnii'go ádił nida'iisí'ígíí biniinaa atíhodi'doolníiłgo Ííjip kéyahgóó nihéézhdookah .
28:8:014:0	Háálá Ízrel Ábiilaii yaa yooznahgo kin ayóó át'éii ádayiilaa ; Júdah éí t'óó ahayóí kin hadaas'á binída'astł'ingo ádayiilaa . Nidi hakin hadaas'áii bik'ijį' kǫ' bidadideeshnoł , índa hakin ayóó ádaat'éii ałtso adahididook'ą́ą́ł .
