24:48:001:1	Mó'ab dine'é bich'į' náasdi áhodoonííł baa hane'
24:48:001:0	Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii éí Mó'ab dine'é yik'ijį' haadzíi'go kóní, Nííbo kin haal'áii doo hojooba' ájíníi da! Ni'doolchxǫ' Kíriyathéíyim t'óó baa yáhásinígi ábi'diilyaago bidis'nááh; Mísgab kin haal'á éí t'óó baa yáhásinígi ábi'diilyaago dahodeeshzhago áhoolyaa. 
24:48:002:0	Mó'ab dine'é doo baa nááhá'niih da doo, Héshban kin haal'áagi doo yá'áshóonii yee yindahazgiz; sołtį', dine'é doo náádajídlį́į́góó ádahodiilnííł. Nihí ałdó', diné tsihaohkaii nohłíinii, ánihidi'dooldįįł; diltłish nanihidínóołchééł. 
24:48:003:0	Ayóó át'éego atídoolníiłgo hodoolchǫǫłgo Horanéíyimdę́ę́' chaał hahóó'áago hodiits'a'. 
24:48:004:0	Mó'ab dine'é atílyaa; ha'áłchíní yázhí daacha áádóó nitséédaaltłi'go diists'ą́ą́'. 
24:48:005:0	Lóhith kin haal'áágóó niinah yikahgo doo ádahodiilzééhgóó daachago deíkáah doo; Horanéíyim hoolyéé góyaa abi'disdįįdii t'áá íiyisí yaa daachaaígíí éí ana'í deidiizts'ą́ą́'. 
24:48:006:0	Dah dadinóohchééh; yisdá'ádóh'níiłgo honoojíidi k'ai' łichíí' íí'áhígíí nidahonohłin le'. 
24:48:007:0	Baa nidasoohkaígíí índa nihiyódí baa dadzíínóhłíhígíí bąą nihí ałdó' nihidi'doolnééł; Kíímash diyin bidi'níinii éí bich'į' nááda'iiłniihii áádóó binanit'a'í danilíinii t'áá bił doolnééł. 
24:48:008:0	Ni'iiłchxǫǫhii éí kin hadaas'áii t'áá át'é yaatįįh doogáałgo kin hadaas'áii doo ła' yisdádoo'nił da; Bóhólníihii t'áá haadzíí' yę́ęgi át'éego honíts'aa' yę́ęgóó hodoołchǫǫł áádóó honíteel yę́ęgóó dahodeeshzhago ádahodoolííł. 
24:48:009:0	Mó'ab bit'a' áhóhłééh, áko yóó'adoot'a, háálá kin hadaas'áii naa'adahaaskaadgo ákwii t'áadoo kééhat'íní da doo. 
24:48:010:0	Hona'adlo'go Bóhólníihii binaanish baa nijigháii éí hóyée'go há ha'oodzíí'; hadiltłish bee hwe'ana'í bidił t'áadoo jideesasgóó t'áadoo nidi dziisxíinii éí Bóhólníihii hóyée'go há haadzíí'. 
24:48:011:0	Mó'ab éí t'áá tsíłkéí nilį́į́dą́ą́' t'óó ałk'i dahisłáago hoolzhiizh; t'áá hasht'edíít'e' nít'éé' t'áadoo nahaasghan da, índa t'áadoo yisnááhgóó naayáa da; éí bąą t'ahdii t'áá ákóhálniih, t'ahdii t'áá ákóhálchin. 
24:48:012:0	Bóhólníihii kóní, Éí bąą tóshjeeh nídeidiyeinilígíí bich'į' deesh'aałígíí bich'į' yoołkááł, jó'akon; éí naa'adahodoołmasgo hatóshjeeh ałtso yadeidiyooniłgo nideidoołtsił. 
24:48:013:0	Ízrel dine'é éí Béthel kin haal'á yaa dzólíii yaa yániizį́'ígi át'éego Mó'ab dine'é éí Kíímash diyin bidi'níinii yaa yádínóozįįł. 
24:48:014:0	Haash yit'éego, Diné dahayóii anaa' yiniyé hasht'edadiidzaii daniidlį́, dadohní? 
24:48:015:0	Mó'ab kéyahgi hóóchxǫ'go bikin hadaas'áádóó nahjį' hahaaskai; hatsíłkéí bitah haasdláa'ii nidadootsił góyaa adahaaskai, ní t'áá ałtsoní bee Bóhólníihii Aláahgo Naat'áanii nilíinii. 
24:48:016:0	Mó'ab dine'é ałtso atídoolníłígíí k'adę́ę baa hoolzhíísh; hach'į' nahodiyo'nałígíí tsį́įłgo bich'į' hoolzhish. 
24:48:017:0	Binaagóó kéédahoht'ínígíí baa yínííł danohłį́. T'áá ánółtso hwéédahonohsinígíí, Dooládó' gish bidziil yę́ę índa tsihał ayóó ánoolnin yę́ę k'é'éltǫ' da! dadohní. 
24:48:018:0	Ach'é'é nílíinii Dáíbangi kééhót'íinii, naa ha'niih yę́ędóó hadanináahgo dibáá' nílį́įgo sínídá; Mó'ab kéyahgi hóółchǫ'ígíí níyáago nik'iilwodgo bee dandziil yę́ęgóó atídayiilaa. 
24:48:019:0	Aró'er kin shijaa'di kééhót'íinii, atiin bąąhdóó sínízį́įgo ha'ísíidgo diné noochéełii índa asdzání yisdágháahii, Haa hóót'įįd, diníigo nidabídíłkid. 
24:48:020:0	Mó'ab dahóółchxǫ'go t'óó baa yáhásinígi ábi'diilyaa; dílwoshgo nicha. Mó'ab hóóchxǫ', diníigo tooh Árnandi baa hólne'. 
24:48:021:0	Bee até'él'íinii éí halgaidi Hólan kin haal'áadi, Jahéízah índa Méfeiyath kin shijaa'ídi, 
24:48:022:0	Dáíban kin haal'áadi, Nííbodi índa Beth-díblathéíyim kin shijaa'ídi, 
24:48:023:0	áádóó díí kin hadaas'áii: Kíriyathéíyimdi, Beth-géímaldi, Beth-míyondi, 
24:48:024:0	Kííriyathdi, Bázradi índa Mó'ab kéyahdi nízaadi kin hadaas'áii áádóó t'áá áyídígóó kin hadaas'áii éí t'áá ałtso bik'i dahwiizle'. 
24:48:025:0	Bóhólníihii ání, Mó'ab dine'é yee bidziilii k'élne' índa bigaan k'é'éltǫ'. 
