24:43:001:1	Ííjip kéyahgóó i'ííná
24:43:001:0	HaDiyin God Bóhólníihii éí Jeremáíyah hane' yił hainíł'a'ígíí t'áá át'é diné t'áá ałtso yee yich'į' haadzíi'go, 
24:43:002:0	Hosháíyah biye' Azaráíyah áádóó Karíyah biye' Johéínan áádóó diné ádaa dadzódlíii t'áá ałtso Jeremáíyah ádeidííniid, Niyooch'ííd. Ííjip kéyahgóó doo doohnéeł da áádóó áadi doo kéédahoht'į́į da doo, nihididííniił biniyé Bóhólníihii nihiDiyin God doo nihaa niníł'a' da. 
24:43:003:0	Nidi Niiráíyah biye' Bérak éí Kaldíya dine'é yaa nihididoo'áałgo nidanihidoołtsił, éí doodaii', yisnááh daniidlį́įgo Bábilan kéyahgóó anihidínóołkałgo biniyé nihik'ijį' nilį́įgo níni' ná áháł'į́. 
24:43:004:0	Áko Karíyah biye' Johéínan áádóó siláo binanit'a'í danilíinii t'áá ałtso índa diné t'áá ałtso t'áá Júdah kéyahgi kéédahojit'į́į dooleełgo Bóhólníihii hach'į' yee haadzí'ígíí t'áadoo yik'eh dahóół'įįd da. 
24:43:005:0	Nidi Karíyah biye' Johéínan áádóó siláo binanit'a'í danilíinii t'áá ałtso éí Júdah dine'é daadziihgo ał'ąą dine'é bitahgóó tabidi'nooskaadę́ę́' nináhaaskaígíí Júdah kéyahgi kéédahat'į́į dooleełgo yił dah diiná. 
24:43:006:0	Diné áádóó asdzání áádóó áłchíní índa aláahgo naat'áanii bitsi'ké danilíinii éí Shéífan biye' Aháíkam biye' Gedaláíyah éí siláo binanit'a'í nilíinii Nébuzar'éídan éí diné t'áá ałtso yił nihonínil yę́ę áádóó Diyin God yá halne'ii Jeremáíyah índa Niiráíyah biye' Bérak yił dah diiná. 
24:43:007:0	Ííjip kéyahdi jiníná, áko Bóhólníihii áníinii t'áadoo bik'eh dahojííł'įįd da, áádóó Tahápaniiz kin haal'áadi jiníná. 
24:43:008:0	Ákohgo Tahápaniizdi Bóhólníihii éí Jeremáíyah yich'į' haadzíi'go ání, 
24:43:009:0	Tsé dantsaaígíí nídiiníiłgo Júdah dine'é danilíinii binááł Tahápaniizdi Féro bighan bich'į' yah e'etiinígi hashtł'ish tao'nihígi hashtł'ish bii' nídíł'įįhgo 
24:43:010:0	kóbidiní, Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní, Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar shá naal'a'í deesh'aałgo díí tsé nídéł'į́'ígíí bikáa'gi bibikáá'dóó nahat'áii niidoo'ááł áádóó aláahgo naat'áanii níbaal dah néíłbałígíí yikáa'di dah yidoołbał. 
24:43:011:0	Áádóó doonéełgo Ííjip kéyahgi kééhojit'íinii atíhodoolíiłgo dazhdínóonéełii dazhdínóonéeł jį' áádóó yisnááh dajílį́į dooleełii yisnááh dajílį́į dooleełjį' índa diltłish bee nidahodi'dootsiłii éí diltłish bee nidahodi'dootsiłjį' nidahodidoo'ááł. 
24:43:012:0	Ííjip dine'é bidiyin dabidi'níinii dabikin naaznilii biih dahodideeshniłgo adadidook'ą́ą́ł, áko bí éí adeididoołk'ą́ąłgo eda'alyaii deidoołnéełgo dah yididoojih. Na'niłkaadii bi'éé' yiih yigháhígi át'éego Ííjip kéyah ák'íidooltihgo bił hasht'ehodít'éego dah didoogááł. 
24:43:013:0	Ííjipdi Beth-shíímesh kin haal'áagi eda'alyaii niidiyootih índa Ííjip dine'é bidiyin dabidi'níinii bikin naaznilii iidiyoołk'ą́ą́ł.
