24:15:001:1	Bóhólníihii éí Júdah yich'į' t'óó báhádzidgo báhóóchįįdii doo niidoołt'ih da
24:15:001:0	Ákohgo Bóhólníihii áshidííniid, Azhą́ Mózes áádóó Sámuel shidááhdóó yiizį' nidi, díí dine'é bich'ijí aséłtą́ągo t'áadoo tsídíkéez da. Doo shá biyeet'į́į́' ánízáágóó yówehjį' aníłkaad. 
24:15:002:0	Ákohgo, Háágóósh dadiikah? daniłníigo kóbididííniił, Bóhólníihii kóní, Dadínóonéłígíí éí dadínóonééł. Diltłish bee nidadootsiłígíí diltłish bee nidadootsił. Dichin nidabidoołtsiłígíí éí dichin nidabidoołtsił, índa dadoolnéłígíí éí dadoolnééł. 
24:15:003:0	Bóhólníihii ání, Dį́į́' ał'ąą át'éego da'agháanii nidideesh'ááł: diltłish éí bee nidahodi'dootsił, łééchąą'í éí dahodoolghał áádóó tsídii wódahdi nidaat'a'ii índa naaldlooshii nihokáá'góó naaldeehii éí nidahodoołtsiłgo dahodoolghał. 
24:15:004:0	Júdah dine'é aláahgo binanit'a'í Heziikáíyah biye' Manáseh éí Jerúsalem kin haal'áagi áát'įįdígíí biniinaa nihokáá'góó ał'ąą dine'é kéédahat'į́įgo bee óhólníihii bił nahaz'ą́ą́góó t'óó hak'ee bił adahayóigo áhodeeshłííł.  
24:15:005:0	Jerúsalem nílíinii, háí t'éí nik'édí dooleeł áádóó háí t'éí neicha doo? Háí éí atiin yits'ádoogáałgo, Ákó'óolyéenii éí k'ad hait'é? níigo nína'idídóołkił. 
24:15:006:0	Bóhólníihii ání, Yóó'ashidííní'ą́; t'ą́ą́' anáhítłíísh. Éí bąą nich'į' k'ídíshnii'go atíniishłaa. Łahgo át'éego nąąh tsínáhidiskeesígíí bąąh niníyá. 
24:15:007:0	Éí kéyahdi dáń'dítį́į́h bine' na'adzi'gi bee ąąh oolch'íhí hatahgóó tádíítą́. Ha'áłchíní haghahásh'nil. Shidine'é atéshłaa, háálá ádaat'éii t'áadoo yits'ąą t'ą́ą́' dah nídiikai da. 
24:15:008:0	Tónteel bibąąhgóó séí ánéelą́'ígíí biláahgo asdzání bąąh ádahasdįįdgo áshłaa. Tsíłkéí dabimá atíidoolíiłii ałní'ní'ą́ągo ákwii ní'eezh. Yínííł índa bik'e'íyée'ii t'áadoo hooyání bik'i hwiidooleełgo áshłaa. 
24:15:009:0	Asdzání tsosts'idi ashchíinii nidi, doo bidziil da silį́į́'. Doo bitah hwiina' da, t'ahdii jį́įgo bee i'íí'ą́. Yánízin áádóó t'óó baa yáhásin nít'éé'. Daadzí'ígíí binahjį' bida'ana'í binááł diltłish baa hodideesh'áá ł, ní Bóhólníihii. 
24:15:010:0	Kéyah t'áá náhwiist'ą́ą́' nít'éé' ákwii diné kéédahat'ínígíí bił ałch'į' nidaasdzilgo áádóó bił ałgha'dadisht'áahgo, shimá nílíinii, doo shishíníłchį́į́jí la' yá'át'éeh dooleeł nít'éé', shich'į' yíiyá łáani'! T'áadoo le'é ła' diné t'ah doo ba'nishłée da, índa diné ła' t'ah doo t'áadoo le'é sha'ílée da, nidi t'áá ałtso dashódziih. 
24:15:011:0	Bóhólníihii ádííniid, Diné bá yá'át'éeh dooleeł biniyé néédideeshchił áádóó doo yá'áshǫ́ǫ́góó hodeeyáago índa ach'į' hodiiz'náa'go ana'í danilíinii nídanookąąhgo ádeeshłííł. 
24:15:012:0	Náhookǫsdę́ę'go béésh nitł'izii índa béésh łitsoiísh ła'da k'íidootihgo yíneel'ą́? 
24:15:013:0	Nihikéyahgi t'áá ałtsogóó nahós'a'gi ádił nida'ayosíi'ii t'áá át'é biniinaa nit'íinii índa niyódí bąąh oogą́ą'ii át'éego t'áadoo bą́ą́h ílínígóó nideeshnih. 
24:15:002:1	Bóhólníihii éí Jeremáíyah baa dzólíigo áyiilaa
24:15:014:0	Kéyah doo dahooh'į́įdi nihi'ana'í danilíinii bá nidaoł'a' doo, háálá sháhóóchįįdígíí bee didooljée'go nihik'ijį' dook'ą́ął dooleeł. 
24:15:015:0	Nił bééhózin, Bóhólníihii nílíinii, béénílniihgo shaa ninánítaah; shich'į' nidahwiiłnáanii shá k'éébidídlééh. Ha'íínílníhígíí binahjį' doo nahjį' kóshidíílíił da. Niniinaa shá nahat'i'go nił bééhózin le'. 
24:15:016:0	Nizaad bik'íninítą́ą́' áádóó yíyą́ą́'. Nizaad bee shił hóózhǫǫd índa shijéí bee bił nihoozhǫǫh, háálá t'áá ałtsoní bee Bóhólníihii Diyin God nílíinii, nízhi' bee shi'dééji'. 
24:15:017:0	T'áá íiyisí doo shił hóózhǫǫdgóó áshiinilaago shik'i dinilnii'ígíí biniinaa t'áá sáhí sédá; bił dahoneenihii t'áadoo bitahgi nídáa da áádóó doo shił nihonízhǫǫd da. 
24:15:018:0	Ha'át'íí lá biniyé shił hodiniihígíí doo nik'e' da índa níshgaígíí nídooldzihgi doo yinízingóó doo nádziih da? Da' tó nílį́įgo ánádįįhgo bina'adlo'ósh nahalingo shich'į' ákónít'ée doo? 
24:15:019:0	Éí bąą Bóhólníihii kóní, Néínídzáago hadaałt'é ánándeeshdlíiłgo shidááhdóó yidíízįįł. T'óó baa'ihii bitahdę́ę́' ílíinii bits'áínínilgo yáshti'ígi át'éego shá yáníłti' doo. Bí naa náhidookah daats'í, nidi ni éí ts'ídá doo bididíínáał da. 
24:15:020:0	Áko díí diné bich'į' béésh łitsoii binaa ahéé'ítł'in nahalingo ts'ídá nidziilgo áńdeeshłííł. Danóbáah doo nidi, doo nik'eh dadidoodleeł da, háálá nił honishłǫ́ áádóó díídzihgo yisdánídeeshtééł, ní Bóhólníihii. 
24:15:021:0	Diné doo yá'ádaashóonii bigháá nideeshtééł. Diné doo daats'íidii bits'ą́ąjį' nik'é niná'deeshdlééł.
