24:42:001:1	Jeremáíyah éí Johéínan yich'į' hane'
24:42:001:0	Ákohgo siláo binanit'a'í danilíinii t'áá ałtso áádóó Karíyah biye' Johéínan áádóó Hosháíyah biye' Jezanáíyah áádóó diné a'ohgo ádaat'éédóó ayóó ádaat'éejį' diné t'áá ałtso hánídóó niikaigo 
24:42:002:0	Jeremáíyah ádeidííniid, Haa'íyee' baa nídaniikąąhígíí nihá yísíníłts'ą́ą́'; díí diné deidziihígíí nihá Bóhólníihii niDiyin God bich'į' sodílzin, t'áá shǫǫdí, háálá t'óó ahonii'yóí nít'éé', nidi k'ad aadę́ę́' nihiníníł'į́įgo t'áá díkwíniilt'éhé yee'. 
24:42:003:0	Áko Bóhólníihii niDiyin God éí deíníikáah dooleełgóó índa baa nideiikai dooleełígíí nihił yit'íní íidoolííł. 
24:42:004:0	Áádóó Diyin God yá halne'ii Jeremáíyah áhodííniid, Nihidiséts'ą́ą́'. Jó, deínóokeedígi át'éego Bóhólníihii nihiDiyin God nihá bich'į' sodideeszįįł áádóó índa Bóhólníihii yee nihich'į' haadzí'ígíí éí bee nihił náhodeeshnih; ha'át'íhída doo nihits'ąą dínéesh'į́įł da. 
24:42:005:0	Áádóó Jeremáíyah ádeidííniid, Bóhólníihii niDiyin God hane' yił nihich'į' adees'a'ígíí t'áá át'é t'áadoo bida'iilyaagóó Bóhólníihii t'áá bí t'áá aaníí át'éego índa ba'ahódlíigo oo'íinii nilį́įgo nihaa hodoolnih. 
24:42:006:0	Nihił yá'át'ééh daats'í dooleeł, éí doodaii', doo daats'í nihił yá'át'éeh da dooleeł, nidi bich'į' dandeel'a'ígíí Bóhólníihii nihiDiyin God ánínígíí bik'eh dahoniil'į́į doo, áko Bóhólníihii nihiDiyin God ánínígíí bik'eh dahoniil'į́įgo nihá yá'át'éeh dooleeł. 
24:42:007:0	Áádóó bik'ijį' neeznáá yiską́ągo Bóhólníihii éí Jeremáíyah yich'į' haadzíí'. 
24:42:008:0	Ákohgo Karíyah biye' Johéínan áádóó siláo binanit'a'í danilíinii hoł naakaígíí t'áá ałtso índa diné a'ohgo ádaat'éédóó t'áá níléí ayóó ádaat'éejį' t'áá ałtso hágo yidííniidgo 
24:42:009:0	áyidííniid, Ízrel dine'é biDiyin God Bóhólníihii bídeínóhkeedii éí nihá bííkeedígíí kóní, 
24:42:010:0	Díí kéyah t'áá bii' kééhoht'į́įgo áko lá índa nihidziilgo ánihideeshłíił ni áádóó índa doo ánihideeshdįįł da; k'inihidideeshłééł áádóó doo hanihidiyeeshnish da, háálá doo yá'áshǫ' ánihiishłaaígíí łahgo át'éego bąąh tsíńdíkééz. 
24:42:011:0	Bóhólníihii ání, Bábilan dine'é aláahgo binanit'a'í béédaołdzidígíí t'áadoo béédaołdzidí. T'áadoo béédaołdzidí, háálá biyaa hanihideeshniłgo yisdánihideeshnił biniyé nihił honishłǫ́. 
24:42:012:0	Nihaa a'ááh dínóozįįłígíí biniyé nihaa a'ááh dínéesįįł, áko t'áá nihí danihikéyahgóó nihéé'doołnih. 
24:42:013:0	Nidi, Díí kéyah doo bii' kéédahwiit'į́į da dooleeł, dadooniidgo, áko nihiDiyin God Bóhólníihii ánínígíí t'áadoo bik'eh dahosooł'įįdgóogo 
