24:14:001:1	Doo nahodoołtį́łígíí baa hóóne'
24:14:001:0	Doo nahodoołtį́į́łgóó Bóhólníihii éí Jeremáíyah yił hoolne'. 
24:14:002:0	Júdah dine'é yínííł danilį́, áádóó bidáń'da'ditį́į́hgóó naháaztą́ągo áda dahodeesłxáá'. Bidine'é tsé'yaa naazhjée'go daacha áádóó Jerúsalem kin haal'áagi kéédahat'ínígíí éí nída'ookąąhgo hahosiilts'įįh. 
24:14:003:0	Bindanit'a'í éí bá nidaal'a'í tó nídeidookááł biniyé tó hahadleehgóó anídeił'aah. Tóojį' tó hánídaakahgo tó ádin łeh. Tó bee naakáhí tó t'áágééd nináhákááh. Áko yaa yádanízingo áádóó ádił nidaalteehgo bitsii' yik'ínída'ałtih. 
24:14:004:0	Háálá kéyahgi doo nahałtingóó ni'góó ahihodooltálígíí biniinaa k'ééda'didléehii yádanízingo bitsii' yik'ínída'ałtih. 
24:14:005:0	Jó, bįįhtsa'ii ałdó' ch'il ádinígíí biniinaa biyázhí nidayiishchį́įgo yóó'adeidii'aahgo yits'ą́ą́' ahilyeed. 
24:14:006:0	Ch'il ádinígíí biniinaa télii da'ałchinii wók'ą́ą́góó dah naazį́įgo mą'ii nahalingo yisdah danilį́. Ch'il ádinígíí biniinaa binák'ee dah dahodich'ah. 
24:14:007:0	Bóhólníihii nílíinii, doo ákwii ádeiit'įįdígíí nihaa halne' nidi, nízhi' binahjį' nihá atínít'į́, háálá t'óó ahayóidi t'ą́ą́' anáhiniidee'go nich'į' nida'ayeelzíí'. 
24:14:008:0	Ízrel dine'é bá chohoo'į́ nílíinii, bide áhoot'įįhgo yisdáyiiníiłii nílíinii, ha'át'íí lá biniyé Ízrel dine'é bikéyahgi dé'éyóní nílį́, áádóó ha'át'íí lá biniyé ła' háádę́ę́' dayigáałii atiin ts'áníyáago t'áá ákǫ́ǫ́ biiłkaahígíí nahonílin? 
24:14:009:0	Ha'át'íí lá biniyé diné t'óó bił ahóóyóí áádóó ha'át'íí lá biniyé diné hayóí yisdá'iiníił doo yíneel'ánígíí nahonílin? Nidi, Bóhólníihii nílíinii, nihitahgi honílǫ́. Nízhi'ígíí bee nihi'dójí. Doo nihits'ą́ą́' dahodidííleeł da. 
24:14:010:0	Díí dine'é Bóhólníihii kóbíłní, Yóó'eekaígíí bił ayóó ádahoot'é. T'áadoo naanáskai da; éí bąą Bóhólníihii t'áadoo náábidii'nil da. Áko doo ákwii ádajíít'įįdii k'ad yéédoolnih, áádóó ádił nida'dziisdzí'ę́ę yee haa nídóot'įįł. 
24:14:011:0	Áko Bóhólníihii áshidííniid, Díí dine'é bá yá'át'ééh dooleełii t'áadoo bíká sodílziní. 
24:14:012:0	Dahodísingo ch'iyáán áts'ánídeidit'áahgo nída'ookąąh nidi, doo bá dideests'į́įł da. Didlidgo nááhániihii índa ak'áán nááhániihii nínádayiilniih nidi, doo bá dínéesįįł da. Nidi diltłish áádóó dichin índa naałniih bee áhodeeshdįįł. 
24:14:013:0	Nít'éé' ádííniid, Bóhólníihii Diyin God nílíinii! Ha'át'íí lá ahayóí lá. Áhodoonííł yaa dahalne'ii lá ádabiłní, Diltłish doo deidoołtséeł da, índa dichin doo nihaa doołnih da, nidi díí nihił haz'ą́ągi bee ach'į' hózhóonii nihaa dideesh'ááł, daaní, jó'akon. 
24:14:014:0	Ákohgo Bóhólníihii áshidííniid, T'áá ádzaagóó áhodoonííł yaa dahalne'ii t'óó ádahodil'íinii shízhi' binahjį' dabiyooch'íidgo dahalne'. Éí doo dahóół'aad da áádóó t'áadoo hach'į' haasdzíi' da índa t'áadoo nidi hach'į' yéíłti' da. T'áadoo bił ádaadzaii áádóó t'áadoo yídadínéeshyęęzhii, índa t'áadoo nídoodleełii áádóó na'adlo' yaa nitsídaazkéezii yee nihił dahalne'. 
24:14:015:0	Éí bąą Diyin God bízhi' bee t'óó ádahozhdil'į́įgo dahojilne'ígíí Bóhólníihii kwáháłní, Éí doo dahóół'aad da, nidi ádaaní, Díí kéyahgi diltłish doo bee atídanihididoolníił da, índa doo dahodidoochįįł da. Nidi t'óó ádahozhdil'į́įgo dahojilne'ígíí éí diltłish áádóó dichin bee áhodeeshdįįł. 
24:14:016:0	Dichin dahóóghą́'ígíí índa diltłish bee nidaho'diztseedígíí biniinaa Jerúsalemgi kéédahojit'ínígíí kintaa da'aztiinjį' ch'ídaho'diistł'ííd, áko hó áádóó hweda'asdzą́ą́ índa haye'ké áádóó hatsi'ké t'áá bił t' áadoo yóó'ádahóle'é da doo. Doo yá'áshónígi ádajíít'įįdígíí biniinaa atíhodeeshłííł. 
24:14:017:0	Éí bąą díí saad bee bich'į' hadíídzih, háálá shidine'é bich'é'é t'ah doo diné bee haleehígi át'éego éí ts'ídá t'áá íiyisí bik'e'ashch'í'ígi át'éego atíbi'diilyaa. T'áá ákwíí tł'éé' índa t'áá ákwíí jį́ bíni'dii shinák'eeshto' t'áadoo ádįįhí t'áá náálį́į le'. 
24:14:018:0	T'áá háajigo dah hidisháahgo, shoo, ákǫ́ǫ́ diltłish bee nidaaztseedii naazhjéé'! Kin haal'áá góne' yisháałgo, shoo, ákǫ́ǫ́ dichin k'adę́ę nidabiłtseedii naazhjéé'! Áko áhodoonííł yaa dahalne'ii índa nááda'iiłniihii éí kéyah doo yéédahósindi tádadikááh. 
24:14:019:0	Júdah dine'éésh t'áá óolyéego yóó'adííní'ą́? Nii' sizíiniísh Záíyan yiyíí'įįd? Ha'át'íísh biniyé nihitaa síníłhaalgo tsįįhdasiildááz, áko bee nídeidziih dooígíí ádin? Bee ach'į' hózhóonii há dadéet'į́į'go naháatą́, nidi yá'át'éehii doo nihee haleeh da. Yá'át'ééh nídadiidleełígíí biba' naháatą́ą nidi, t'óó nihich'į' nídahodii'nááh! 
