24:46:001:1	Ííjip dine'é bich'į' náasdi áhodoonííł baa dahane'
24:46:001:0	Ał'ąą dine'é bídéét'i'ii éí Bóhólníihii Diyin God yá halne'ii Jeremáíyah yich'į' yee haadzíí', 
24:46:002:0	Josáíyah biye' Jiihóíyakim éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo dį́į́' náhááh góne' Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar éí Yufréítiiz tooh nílínígíí bíighahgi Kárkiimish hoolyéegi Ííjip dine'é aláahgo binanit'a'í Féro-nííko bisiláo yik'eh deesdlį́į́'; éí bídéét'i'go Diyin God Ííjip dine'é kót'éego yaa haadzíí'. 
24:46:003:0	Naagé ách'ą́ą́h dah yit'áałii índa naagé dah dadohjáahgo anaa'jį' hidohkááh. 
24:46:004:0	Łį́į́' bik'i nida'ołt'i' áádóó łį́į́' bikáá' haohjeeh; béésh ch'ah danihich'ahgo łį́į́' nihił naazį́; tsiidétáán bik'i nidazdidlaadgo ádaohłe' áádóó béésh éé' bee hadadohne'. 
24:46:005:0	Shinááł ha'át'íísh biniinaa tsídadeesyizgo t'ą́ą́' náhideeskai? Diné dahayóigo bá nidaabaahii bik'eh hodeesdlį́į́' áádóó t'áadoo t'ą́ą́' nídadeest'į́'í yisdádoojahgo aheeswod; bik'e'íyée'ii t'áá ałtsodę́ę́' hólǫ́, ní Bóhólníihii. 
24:46:006:0	Doo nidadilna'ii yóó'oojeeh lágo índa diné hayóii nihił ch'aa'oolyeed lágo; náhookǫsjígo Yufréítiiz tooh bíighahgi dadeezgo'go t'áá aaníí naa'ahineezdee'. 
24:46:007:0	Háísh át'į́įgo tooh yíląąd nahalingo de nídíníl'ąąh áádóó tooh nahalingo bíígháán náádadiidááh? 
24:46:008:0	Ííjip éí tooh Náil wolyéii yíląądígíí áádóó tooh bíígháán náádadiidáhígíí nahalin, áko ání, Ayóó ánísht'é deeshłeeł; nihokáá'góó shóhólníih doo; kin haal'áii áádóó ákwii kéédahat'íinii t'áá bił áhodeeshdįįł. 
24:46:009:0	Łį́į́' bee nidaohbaahii dadohbááh; tsindaabąąs bijáád naakiígíí bee nidaohbaahii at'ááh wohjeeh, áko diné dahayóii Iithiyópiya dine'é áádóó Líbiya dine'é éí naagé nideich'idii áádóó Lídiya dine'é éí ałtį́į́' nídayiiłtasgo nideich'idii náás dadoobah. 
24:46:010:0	Háálá éí jínígíí biyi' Diyin God t'áá ałtsoní bee Bóhólníihii ak'eh didoodleełgo bá ha'doo'ááł; bi'ana'í k'éídidoodlííł biniyé éí jínígíí biyi' ak'eh didoodleeł; diltłish adooldiłgo dił ádii' haididoolbį́įłgo bił hódínóołdoh, háálá náhookǫsjígo kéyahígíí Yufréítiiz tooh nílínígíí bíighahgóó Diyin God t'áá ałtsoní bee Bóhólníihii nááhidoonihii bee hólǫ́. 
24:46:011:0	Ch'ikę́ę́h Ííjip bich'é'é nílíinii, Gíliyad kéyah góde hasínáahgo tłah azee' nídii'aah; t'áadoo biniyéhígóó azee' t'óó ahayóí choidííł'įįł, háálá doo nándi'dooldzih da. 
24:46:012:0	Bee naa yáhóósįįdii ał'ąą dine'é dayíínii'; chaał hahóół'áii kéyah t'áá náhwiist'ą́ą́ nít'éé' nihinést'e', háálá diné dahayóii ałk'ą́ą́h dahaazhtłizhgo naa'adahineezdee'. 
24:46:013:0	Kót'éego Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar doonéełgo, Ííjip dine'é yik'eh dadidoodleeł, níigo Bóhólníihii éí Diyin God yá halne'ii Jeremáíyah yich'į' haadzíi'go ání: 
24:46:014:0	Hasht'e'ádadołnéehgo yéego nisoozį́, háálá nihinaagóó diltłish adooldił, diníigo Ííjip kéyahdi áádóó Mígdal kin haal'áadi áádóó Naf kin haal'áadi índa Tahápaniiz kin haal'áadi baa nahólne'. 
24:46:015:0	Haa léit'éego nidine'é dahayóii ni'jį' abi'diistł'ííd? Doo bídazníłdzil da, háálá Bóhólníihii naa'ahwiiznil. 
24:46:016:0	T'óó ahayóí naa'ayiiłtł'iidgo t'áá aaníí ałk'i dahiniidéehgo áyiilaa áádóó ádadííniid, Sołtį'éii, nihide áhósinii bidiltłish bits'ą́ąjį' dah didiijahgo t'áá nihí nihidine'é índa kéyah bii' nidanihi'diizhchį́ yę́ęgóó nídiidleeł. 
24:46:017:0	Ííjip dine'é aláahgo binanit'a'í Féro éí t'áadoo biniyéhígóó ayóó áálzaadgo nihoot' áanii bilááhgóó ahwiilzhíishgo áyósin, daaníigo ákwii hahóół'á. 
24:46:018:0	Aláahgo Naat'áanii éí t'áá ałtsoní bee Bóhólníihii wolyéii kóní, Ts'ídá t'áá aaníí hinishná; ákót'éego Dził Téíbor t'áadoo bahat'aadí dziłtahdi si'ánígíí nahalingo índa tónteel bibąąhdi Dził Kármel t'áadoo bahat'aadí si'ánígíí nahalingo ts'ídá t'áá aaníí siláo doonééł. 
24:46:019:0	Ach'é'é nílíinii, Ííjip kéyahdi kééhót'íinii, yisnááh dííleełígíí biniyé hasht'e'ádílnééh, háálá Naf kin haal'áii ałtso nidahidoolkałgo nihidíl'áago áhodoolnííł; ákwii doo naagháhí da doo. 
24:46:020:0	Ííjip éí béégashii yáázh bi'ádígíí ayóó ánoolninii nahalin nidi, náhookǫsdę́ę'go atí'doolíiłii hooleeł. 
24:46:021:0	Hatahgi diné t'óó há nidaalnishii ałdó' béégashii nidaneelk'aii nidahalin; éí ałdó' t'ą́ą́' hahaazhjée'go t'áá ła' yóó'aheezhjéé', háálá atídahodi'doolníiłgo áhodi'dooldįįłígíí baa honíyáago doo bídazníłdzil da. 
24:46:022:0	Tł'iish oołch'íísh nahalingo hodiits'a' doo; siláo yił doonééł; tsin deitseełii nahalingo tsénił yił hadááh doonééł. 
24:46:023:0	Azhą́ nahachagii yilááh ánéelą́ą́', áko doo jóołta' ánéelą́'ígíí biniinaa t'áá íiyisí bee hodíłch'il nidi, hatsin deidootsił, ní Bóhólníihii. 
24:46:024:0	Ííjip dine'é bich'é'é t'óó haa yáhásinígi áho'di'doolnííł; náhookǫsdę́ę'go dine'é bílák'ee hodi'dooltééł. 
24:46:025:0	Ízrel dine'é biDiyin God, t'áá ałtsoní bee Bóhólníihii kóní, Kin haal'á Thiibz hoolyéii bidiyin bidi'níinii Áman wolyéii áádóó Féro índa Ííjip bidiyin dabidi'níinii áádóó aláahgo binanit'a'í danilíinii bídaóltą'go, índa baa dadzólíhígíí éí atíhodeeshłííł, jó'akon. 
24:46:026:0	Nidahodiiltsił, danízingo hákadantáii baa hodideesh'ááł áádóó Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar índa bá nidaal'a'í baa hodideesh'ááł, áádóó bik'ijį' t'áá ałk'idą́ą́' át'éhígi át'éego diné kénááhát'į́į doo, ní Bóhólníihii. 
24:46:027:0	Nidi t'áadoo náníldzidí, Jéíkab shá naal'a'í nílíinii, t'áadoo nitsindáhí, Ízrel yinílyéii, háálá doo deeghánídę́ę́' yisdánídeeshtééł áádóó nits'ą́ą́dóó oochíiłii yisnááh danilį́į́dę́ę́' yisdádeeshnił, jó'akon, índa Jéíkab nídoodáałgo hanályį́įh doo áádóó doo nínáádzíldzid da doo; ła'da doo hoł yéé' áhodoolíił da. 
24:46:028:0	Bóhólníihii kóní, Jéíkab, shá naal'a'í nílíinii, t'áadoo náníldzidí, háálá nił honishłǫ́, háálá ał'ąą dine'é bitahgóó tándínííyoodígóó ákǫ́ǫ́ ni'ana'í t'áá ałtso áhodeeshdįįł, nidi ni éí doo ałtso ándeeshdįįł da; doo t'áá íiyisí atíndeeshłíił da, nidi atínániish'įįhígíí bee hasht'enideeshłííł! 
