24:49:001:1	Áman dine'é bich'į' náasdi áhodoonííł baa hane'
24:49:001:0	Bóhólníihii éí Áman dine'é kwííłní, Ízrel dine'éésh biye'ké doo dahólǫ́ǫ da? Bíí' dadooleełiísh doo ła' hólǫ́ǫ da? Ákoshą' ha'át'íí biniyé Málkam wolyéii Géed kéyah bíí' áyiilaago bidine'é éí kin hadaas'áágóó kéédahat'į́? 
24:49:002:0	Bóhólníihii ání, Éí bąą Áman dine'é bikin haal'á Rábahdi anaa' haleehgo dilní didoots'į́į́ł áádóó éí ahiih nídahineezkaadgo yanáa'áa doo; bikin naazhjaa'ígíí adahididoolk'ą́ą́ł, jó'akon, áko índa Ízrel dine'é bíí' yę́ę bíí' nídoodleeł, ní Bóhólníihii. 
24:49:003:0	Héshban yinílyéii, Rábah nichago ák'idiit'aah, háálá Éí'ai kin haal'á hoolchxǫ'go ályaa. Rábahdóó atsi'ké danohłíinii, yéego daohcha; tł'oh yishbizh bee áká daołzisgo atínídadinohdleehgo kin haal'á binaa ahééda'astł'inígíí bine'dę́ę́' ałnááhohjah, háálá Málkam wolyéii áádóó binááda'iiłniihii índa bá nidaal'a'í naat'áanii danilíinii t'áá yił bi'disnáágóó dadooleeł. 
24:49:004:0	Háishą' shik'iidoojah? níigo binaalye'é yaa dzólíii, ach'é'é yóó'anáádzáii nílíinii, ha'át'íísh biniyé nihoníts'aa'góó bee áda'azįįdígíí bee ádaa hó'niih? 
24:49:005:0	T'áá ałtsoní bee Bóhólníihii ání, Jó, t'áá ałtso ninaagóó kéédahat'ínígíí bééníldzidgo ándeeshłííł, áádóó t'áá ałtso t'áadoo ła' t'ą́ą́' nídéest'į́'í ts'ídá tsį́įłgo ch'ídínóolkał índa áłah ánábidoodlíiłii t'áá ádin doo. 
24:49:002:1	Íídam dine'é bich'į' náasdi áhodoonííł baa hane'
24:49:006:0	Áádóó bik'ijį' Áman dine'é yisnááh danilíinii nahjį' kódeeshłíiłgo daabíí' yę́ę bíí' nídadoodleełgo ádeeshłííł, ní Bóhólníihii. 
24:49:007:0	T'áá ałtsoní bee Bóhólníihii éí Íídam dine'é yaa haadzíi'go kóní, Tííman kéyahdiísh hódzą́ ásdįįd? Diné akék'eh hoo'į́įgo bił ééhózinii kót'éego nínígíísh bits'ą́ą́' ásdįįd? Bibee dahódzánígíísh bee ádaasdįįd? 
24:49:008:0	Díídan kéyahgi kéédahoht'íinii, naanáhkáahgo dah dínóohdzoodgo hazhó'ó nídadoht'įįh, háálá Íídam atéshłéehgo Íísa bee atéshłaa yę́ę bee atíhodeeshłííł. 
24:49:009:0	Ch'il na'atł'o'ii dayóbéii naa yíkaigo ła' t'áá bąąh dah naaznilgo ádeidoolííł; ani'įįhii tł'ée'go yíkaigo hwiih daazlį́į'jį' atída'doolííł. 
