24:51:001:1	Bóhólníihii éí Bábilan dine'é atíidoolííł
24:51:001:0	Bóhólníihii kóní, Bábilan dine'é índa shik'ijį' danilíinii bitahgóó kéédahat'íinii éí níyol ó'oołdįįłii bee bik'ijį' níyolgo ádeeshłííł. 
24:51:002:0	Diné ła' da'oołch'íihii Bábilan kéyahgóó deesh'aałgo yąąh da'iidoołch'ihgo bikéyahgi doo siláhígóó ádeidoolííł, háálá bich'į' nahwii'ná beiníłką́ądi t'áá ałtsodę́ę́' bik'ijį' danilį́į doo. 
24:51:003:0	T'ááká k'aa' yee adiłt'ohii be'ałtį́į́' yiyiiłtáás yíila' áádóó béésh éé' bee na'abaahii yee hadiidzaii nídoobááh yíila', áko bitsíłkéí doo ła' doodzih da; t'áá dah yinééł nít'éé' t'áá ałtso ádadoołdįįł. 
24:51:004:0	Kót'éego Kaldíya dine'é bikéyahdi nidaaztseedii nidadeeztąąd doo áádóó baa ada'ashzhiizhígíí kintah da'nítiingóó naa'ahidínóodah. 
24:51:005:0	Jó, Ízrel dine'é áádóó Júdah dine'é azhą́ bikéyahdi Ízrel dine'é biDiyin nilíinii yich'į' t'áá íiyisí ádił nida'iisíi' nidi, Diyin God t'áá ałtsoní bee Bóhólníihii t'áadoo yóó'abidíí'ą́ą da. 
24:51:006:0	Bábilan kéyahdóó dah dínóohdzoodgo t'ááłá'í nootínígo yisdáhóhkááh; Bábilan dine'é bee atíbi'dil'íinii ła' bee nanihi'dóótseed lágo, háálá Bóhólníihii k'éédidoo'níłígíí baa hoolzhiizh; bą́ą́h ajílíinii yee k'ééhodidoodlííł. 
24:51:007:0	Bábilan dine'é éí bee adlání óola bee ályaaígi át'éego Bóhólníihii dah yoo'áałgo nihokáá' dine'é t'áá ałtso yii'dóó nínáda'dí'nídlį́į́h nít'éé'; ał'ąą dine'é éí Bábilan biwáin deidlą́ą́ nít'éé'; éí bąą tsi'deeskai. 
24:51:008:0	Bábilan dine'é t'áadoo hooyání bik'eh hodeesdlį́į'go atélyaa; baa chaał nidadohsi'; tłah naashchíín bich'į' doh'aahgo yá'át'éehda nídoodleeł. 
24:51:009:0	Bábilan yá'át'ééh áńdadiilnííł nít'éé', nidi t'áadoo yá'át'ééh násdlį́į' da; bik'i noohdzoodgo t'áá ánółtso nihikédaayahgóó nídadohkááh, háálá bee haa hwiinít'íinii yá'ąąsh biní'á áádóó yá binéé'á. 
24:51:010:0	Bóhólníihii éí t'áá ákogi ádaniit'éii bééhózínígo áyiilaa; éí bąą sołtį', Dził Záíyandi Bóhólníihii nihiDiyin God binaanish baa dahodiilnih. 
24:51:011:0	Bóhólníihii bikin bii' sohodizin atélyaaígíí biniinaa k'éédidoo'nííł biniyé k'aa' háádahohk'aash áádóó naagé áłah ádaołééh, háálá Bábilan dine'é ádooldįįł biniyé yik'ijį' nilį́; éí bąą Bóhólníihii éí Míídiya dine'é aláahgo bindanit'a'í yádahóółchįįd. 
24:51:012:0	Bábilan kin haal'á binaa ahééda'astł'inígíí bik'ijį' dah na'at'a'go ádaohłééh. Lą'ígo bináołzhíísh; ha'ídées'į́'í lą'ígo ninohnííł, áádóó diné ła' aa héeshjée'go ádaohłééh, háálá Bóhólníihii éí Bábilan kéyahgi kéédahat'íinii kódoolnííł, dííniidgo yinahaz'áanii yi'iilaa. 
24:51:013:0	Tó łą́ągi áádóó yódí t'óó ahayóigi kéédahoht'íinii, adádanoołníinii k'ad nihá nidahwiizt'i'. 
24:51:014:0	T'áá ałtsoní bee Bóhólníihii t'áá bí ádee hadoodzíi'go ání, Nahachagiitsoh nihił hazhdééłbįįd nahalingo diné nihił hadideeshbį́įłgo nihik'ijį' hadadidoolwosh. 
24:51:015:0	Bee bidziilii yee nahasdzáán áyiilaa, bibee hódzáanii yee nahasdzáán niiní'ą́, áádóó bił bééhózinígíí yee yádiłhił dah yiskaad. 
24:51:016:0	Haadzihgo yót'áahdi t'óó ahayóí tó yileeh, áádóó nahasdzáán nidahonees'ą́ą́dę́ę́' siil dah dadi'yiijoołgo ádeile'; nahałtingo atsiniltł'ish anídahata'go ííł'į́ áádóó biyódí hólǫ́ǫ́dę́ę́' níyolgo ííł'į́. 
24:51:017:0	Diné t'áá ałtso doo ádahalyą́ą da índa doo bił éédahózin da. Óola deitsidii t'áá ałtso eda'alyaii ádeił'íinii yaa yádanízingo ádaalne', háálá bi'eda'alyaii wooch'ííd ádaat'é índa doo nidadidzih da. 
24:51:018:0	Éí t'áadoo biniyéhí da; binda'adlo'ii binaanish ádaat'é; baa nídahódóot'įįłjį' ahoolzhiizhgo ádabidi'dooldįįł. 
24:51:019:0	Jéíkab dine'é bíí' nilíinii éí doo ákót'ée da, háálá bí t'áá ałtsoní áyiilaa áádóó Ízrel dine'é éí bíí' danilį́; éí t'áá ałtsoní bee Bóhólníihii wolyé. 
24:51:020:0	Bóhólníihii éí Ízrel dine'é ííłní, Ni shitsénił bee anaa' yisht'íinii áádóó bee naashbaahii nílį́, háálá ni nee ał'ąą dine'é dideeshtah áádóó ni nee bee ídahólníihii bił nahaz'ą́ą́góó atídaashłe'. 
24:51:021:0	Ni nee łį́į́' índa bił yildlooshii dideeshtah áádóó tsinaabąąs bijáád naakiígíí índa bił yilwołii dideeshtah. 
24:51:022:0	Áádóó ni nee diné áádóó asdzání dideeshtah, índa haastihii áádóó ániid naagháii ni nee dideeshtah áádóó ni nee dinééh índa ch'ikę́ę́h dideeshtah. 
24:51:023:0	Ni nee dibé yaa áhályáanii índa bidibé dideeshtah; ni nee k'éé'dídléehii índa bibéégashii yee naalnishii dideeshtah; ni nee bóhólnííh danilíinii índa kéyahgi nidant'áii dideeshtah. 
24:51:024:0	Bábilan dine'é índa Kaldíya dine'é éí Dził Záíyandi doo yá'ádaashóonii t'áá át'é ninááł baa nidziskaii k'éédahodideeshdlííł, ní Bóhólníihii. 
24:51:025:0	Dził até'éł'íinii nílíinii, nihokáá' dine'é t'áá ałtso atíinilaii, nik'ijį' nishłį́, jó'akon; nich'į' k'ídideeshnihgo tséghą́ą́'dę́ę́' hadandeesmasgo dził díílidgo ándeeshłííł, ní Bóhólníihii. 
24:51:026:0	Tsé bee naaná'ástł'inii índa tsé atł'ááh nástł'inii biniyé doo ła' nánihidi'doot'áał da, nidi t'óó nihidooł'áago ahool'áa doo, ní Bóhólníihii. 
24:51:027:0	Kéyah t'áá náhwiist'ą́ą́ nít'éé' dah na'at'a'go ádaohłéehgo ał'ąą dine'é bitahgóó deenásts'aa' bidee' bee í'dílzoołí woosxoł; hach'į' ał'ąą dine'é honiyé ats'ánóhnííł; honiyé Árarat áádóó Mínii índa Áshkenaz bił dah nahaz'ą́ą́dę́ę́' siláo áłah óhłééh; honiyé siláo binanit'a'í ła' ninołteeh; nahachagiitsoh dadich'íizhii hááłnii'ígíí nahalingo łį́į́' nááséełgo ádaohłééh. 
24:51:028:0	Ał'ąą dine'é áádóó Míídiya dine'é aláahgo binanit'a'í danilíinii, áádóó bídahólníihii t'áá ałtso índa kéyahgi nidant'áii t'áá ałtso t'áá bił Bábilan dine'é yik'iidoojah biniyé ats'ánóhnííł. 
24:51:029:0	Áko kéyah hoditłid doo áádóó yínííł danilį́į doo, háálá Bábilan kéyahgi hodoochxǫǫłgo doo ła' kééhat'į́į da dooleełígíí biniyé Bóhólníihii íinízinii t'áá ałtso Bábilan dine'é bich'į' bohoolyaa doo. 
24:51:030:0	Bábilan dine'é dahayóii anaa' daat'íinii áádahoost'įįd; yine' nidaadzi' góne' nidaháaztą́; bąąh nidahazkaadgo asdzánígi ádaat'é daazlį́į́'; kéédahat'ínígóó dadéek'ą́ą́h; dáń'da'ditį́į́hgóó bich'ą́ą́h dáń'da'dilkałii dahaastǫ'. 
24:51:031:0	Bábilan dine'é aláahgo binanit' a'í bikin haal'áhígíí ałtso bik'eh hodeesdlį́į'go hane' ahą́ą́h dei'a'ii éí aláahgo naat'áanii yił dahodoolnih biniyé jáád bee hane' ahą́ą́h dei'a'. 
24:51:032:0	Ha'naa nidahwiizt'i'ígóó yidádahideezhjéé' áádóó nahodits'ǫ'go teeł yíl'áhígíí ałtso adoolk'ą́ą́' áádóó siláo nídaasdzííd. 
24:51:033:0	Háálá Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní, Bábilan bich'é'é éí tł'oh naadą́ą́' habí'dool'isjį' ahoolzhiizhgo bikáa'gi habé'él'éesii nahojílin; t'óó nááhodoo'náá'ígo dabidi'doogishjį' bee haa hodoolzhish. 
24:51:034:0	Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar shishjizhgo shoolghal; beedí t'áadoo bii' siláhí da nahonishłingo áshiilaa; na'ashǫ́'ii łibáhítsoh nahalingo ashííłna'; łinishkanii yee nániichaad; tł'óó'góó ch'íshiníłgo'. 
24:51:035:0	Záíyan hoolyéegi kéédahat'íinii ádadidooniił, Shii' sizíinii índa shits'íís t'áá na'níle'dii ályaii háni'dii Bábilan dine'é bik'ijį' nídoodleeł, áádóó Jerúsalem kin haal'áádóó diné ádadidooniił, Kaldíya dine'é shidił deezna'go bee ádidahozhdiilt'i'ii háni'dii hak'ijį' nídoodleeł. 
24:51:036:0	Éí bąą Bóhólníihii kóní, Ná na'ak'íyádeeshtih, áádóó t'áá ałtso ná k'éédideesh'nííł; hatónteel áádóó hatóhadaazlínígóó nídadeestsih. 
24:51:037:0	Bábilan kin haal'áii éí kints'iil yanáa'áa dooleeł; mą'ii ákǫ́ǫ́ dabighan doo; t' óó bik'ee ił ahayóigo diné doo ła' ákwe'é kééhat'į́į́góó tłehee yéi'go haz'ą́ą doo. 
24:51:038:0	Náshdóítsoh bitsiijį' daditł'ooígíí nahalingo hadahwiiníih doo, índa náshdóítsoh bitsiijį' daditł'ooígíí biyázhí nahalingo ádaaníi doo. 
24:51:039:0	Hááhgóó shį́į́ yídaneedlį́įgo bá áda'deesįįłgo bił nidahondoohgo ádeeshłííł, áko da'adláanii hááhgóó shį́į́ hahóół'áago bił dahózhǫ́ǫgo t'áá k'ída'doołhoshgo doo ch'éédadoodził da, ní Bóhólníihii. 
24:51:040:0	Na'atseedjį' dibé yázhí nahalingo áádóó tł'ízíchǫǫh éí deenásts'aa' yił yikahígíí nahalingo ahodeesh'ish. 
24:51:041:0	Dooládó' Bábilan bi'disnáa da áádóó nihokáá' dine'é yaa dahaniih yę́ę nabézdįįd! Dooládó' ał'ąą dine'é bitahgóó Bábilan kin haal'áii t'óó bik'e'ayóii silį́į' da! 
24:51:042:0	Tónteel éí Bábilan kin haal'áii baa neel'ąądgo tónteel bíígháán náádiidáhígíí bik'i diilkǫ'. 
24:51:043:0	Hakin haal'áii kints'iil t'éí dah naazhjaa'; ákwii honoojíigo náhooltsei; éí kéyahgi diné doo ła' kééhat'į́į da índa diné doo ła' ákǫ́ǫ́ ch'ídoogáał da. 
24:51:044:0	Áádóó Bábilan kéyahgi Bel diyin bidi'níinii atídeeshłííł; ayiisna'ii bizéé'dę́ę́' hááhindéehgo ádeeshłííł, áádóó ał'ąą dine'é doo hach'į' ałnánáálį́į da doo; t'áá aaníí, Bábilan kin haal'á ditą́ągo binaa ahéé'ítł'inii naa'ahidínóolkał. 
24:51:045:0	Shidine'é danohłíinii, Bábilan dine'é bitahdóó haohkáahgo Bóhólníihii t'óó báhádzidgo báhóóchįįdígíí bits'ą́ąjį' yisdá'ádóh'nííł. 
24:51:046:0	Doo nihitah nidahodoołtsiłígíí índa baa dahane'ígíí doo bik'ee tsídadidoołyis da biniyé ła' yihahígíí díí baa dahane' doo, áádóó ła' nínáánáhaígíí biyi' baa náádahane' doo; naat'áanii ał ch'į' nídahidiikáahgo t'áá na'níle'dii kéyah bii' hwiidoo'aał. 
24:51:047:0	Éí bąą Bábilan dine'é bi'eda'alyaii nidahideeshchǫǫłígíí bich'į' yoołkááł áádóó hakéyah t'áá át'é t'óó baa yáhodoosįįł áádóó hatahgóó nidaaztseedii nihidadíl'áa doo, jó'akon. 
24:51:048:0	Ákohgo yádił hił áádóó nahasdzáán índa bii' dahólóonii t'áá ałtso éí Bábilan dine'é bik'eh hodeesdlį́į'go yaa bił dahózhǫ́ǫgo dadilwosh doo, háálá ádahodoołdįįłii náhookǫsdę́ę'go haatįįh doonééł, ní Bóhólníihii. 
24:51:049:0	Bábilan dine'é t'áá Ízrel dine'é nideistseedgo yik'eh deesdlį́'ígi át'éego t'áá ákót'éego Bábilan dine'é éí nihokáá' dine'é t'áá ałtso bitahgóó nidaho'didootsił.  
24:51:050:0	Diltłish bits'ádahinoochą́ą'ii t'áadoo t'áá ákǫ́ǫ́ nisoozíní; yówehjį' oohjeeh; Bóhólníihii béédaołníihgo t'áá nízaadę́ę́' Jerúsalem kin haal'á baa nitsídaohkees. 
24:51:051:0	Dé'éyóní danilíinii éí Bóhólníihii bikin bii' sohodizingi hodiyingo haz'ą́ą́ góne' yah adahaaskai biniinaa t'óó baa yádaniidzį́į́', háálá t'óó bánahat'i'go deii'nii'go t'óó baa yádaniidzį́į́'. 
24:51:052:0	Éí bąą bi'eda'alyaii bich'į' nidahojiłáhígíí nidahideeshchǫǫłígíí bich'į' yoołkááł, áádóó hakéyahdi t'áá át'éé nít'éé', diné tídáánáanii dadi'níi doo, jó'akon, ní Bóhólníihii. 
24:51:053:0	Azhą́ yádiłhił bóhwii'náahgo ayóó át'é ízh'diilyaa nidi, azhą́ bidziilgo nahaz'ánígóó bighą́ą́h nídazdeeztsigo bidziilgo ádajiilaa nidi, shí shits'ą́ą́dóó ádahodoołdįįłii haa doonééł, ní Bóhólníihii. 
24:51:054:0	Bábilan kéyahdę́ę́' chahááyáago áádóó Kaldíya dine'é bikéyahdę́ę́' ayóó át'éego ádahodisdįįdgo hodiists'ą́ą́'. 
24:51:055:0	Háálá Bóhólníihii éí Bábilan dine'é áyi' niiłdįįdgo ákwii naho'digháahgo hahóó'áii doo íits'a'ígóó hats'ą́ą́' íidoolííł; tó yilk'oołígíí nahalingo hak'eh deesdlį́į'ii ayóó át'éego tó hak'i dziiłhaal nahalingo dabiinéé' dadiists'ą́ą́'. 
24:51:056:0	Háálá ó'oołdįįłii Bábilan dine'é yich'į' yinééł; diné há dahayóii deidoołnéełgo hoda'ałtį́į́' dayiizti', háálá Bóhólníihii Diyin God k'éédoo'níiłii nilíinii ałtso k'ééhodidoodlííł. 
24:51:057:0	Áko honanit'a'í danilíinii áádóó hodiné dahóyáanii áádóó há bídahólníihii áádóó hakéyahgi nidant'áii índa diné há dahayóii bił nidahondoohgo ádeeshłííł, áko t'áá k'ída'doołhoshgo doo ch'éédadoodził da, ní Aláahgo Naat'áanii t'áá ałtsoní bee Bóhólníihii wolyéii. 
24:51:058:0	T'áá ałtsoní bee Bóhólníihii kóní, Bábilan kin hóteelgo ditą́ągo binaa ahéé'ítł'inii ts'ídá ałtso didooltah; hadáń'da'ditį́hí ayóó ádaat'éii adahididoolk'ą́ą́ł, áko diné t'áadoo biniyéhígóó nidadoolnish índa kǫ' deiniłtséesii ch'ééh ádadoot'įįłgo ch'ééh didookah. 
24:51:059:0	Zedekáíyah éí Júdah dine'é aláahgo binanit'a'í nilį́įgo dį́į́' náhááh góne' Méíyasíyah biye' Niiráíyah biye' Siiréíyah éí Zedekáíyah bił Bábilan kéyahgóó dashdii'áázh yę́ędą́ą́' Diyin God yá halne'ii Jeremáíyah éí Siiréíyah saad yee yich'į' haadzíí'. Siiréíyah éí háádazhdoolyįhgi há nínááhodii'ááh nít'éé'. 
24:51:060:0	Áko Jeremáíyah éí Bábilan dine'é doo yá'áshǫ' ábidi'doolníłígíí t'áá át' é naaltsoos yikáá' yee ak'e'ashchį́įgo niiní'ą́. 
24:51:061:0	Áko Jeremáíyah éí Siiréíyah áyidííniid, Bábilan kéyahdi yíníyáago ííshją́ą́ díí saadígíí yídííłtah. 
24:51:062:0	Áko índa ádidííniił, Bóhólníihii nílíinii, díí kwe'é haz'ánígíí nahjį' kódíílíiłgo bik'ijį' háínídzíi'ii diné áádóó naaldlooshii doo ła' ákwii naagháa da dooleeł índa doo siláhígóó ahóyéel'áa doo, dííníniid. 
24:51:063:0	Áko díí naaltsoos ałtso yííníłta'go tsé bídííłtł'óołgo tooh Yufréítiiz ałníí' góyaa biih hidííłhą́ą́ł. 
24:51:064:0	Áádóó ádidííniił, Kót'éego Bábilan dine'é bił taah hodoołtsǫs áádóó doo yá'áshónígi áshłaaígíí biniinaa bii'dę́ę́' doo háázhdookah da; t'áá íiyisí ni'íldee' doo. Kojį' Jeremáíyah bizaad ninít'i'.
