24:26:001:1	Jeremáíyah dadootsaałgo yą́ą́h nilį́ hodoo'niid
24:26:001:0	Josáíyah biye' Jiihóíyakim éí Júdah dine'é aláahgo binanit'a'í nilį́įgo t'óó hodeesá yę́ędą́ą́' Bóhólníihii kóníigo haadzíí', 
24:26:002:0	Bóhólníihii kóní, Bóhólníihii bikin bii' sohodizingi binaagóó haz'ánígi yiizįįhgo Júdah kéyahgi kin hadaas'áágóó diné kéédahat'íinii t'áá ałtso kwe'é Bóhólníihii bikin bii' sohodizin si'ą́ągi nídaakahgo nidahałáhígíí bich'į' handziih. Saad t'ááłá'í nidi t'áadoo t'ą́ą́' kwíínísiní; saad bee hadíídzih, nidííniidii ts'ídá t'áá ałtso bee hadíídzih. 
24:26:003:0	Dadi'doots'į́įłgoda diné t'ááłá'í nítínígo doo yá'át'éehii yaa nidaakaii yits'áhidookahgo da'át'é, áko doo yá'áshónígi ádajíít'įįdii biniinaa doo yá'áshónígi áhodeeshłííł, niizį́į'ii łahgo át'éego baa tsíńdeeskos. 
24:26:004:0	Áko ábididííniił, Bóhólníihii kóní, Doo dashíínółts'ą́ą́'góó shibee haz'áanii bee nihił hweeshne'ígíí doo bik'ehgóó deínóhkááhgóogo, 
24:26:005:0	áko t'ah abínídą́ą́' náádiish'nahgo Diyin God yá dahalne'ii shá nidaal'a'í danilíinii bá deínółts'ą́ą' dooleeł biniyé nihich'į' ahéł'a', nidi t'áadoo bá dasidoots'ą́ą' da, 
24:26:006:0	ákohgo Sháílohdi kin haal'á atéshłaa yę́ęgi át'éego díí kin bii' sohodizin atídeeshłííł, áádóó nihokáá'góó ał'ąą dine'é danilíinii t'áá ałtso díí kin haal'áá nít'é'ígíí t'óó báhádzidgo yá yádaałti' dooleeł. 
24:26:007:0	Áko náá'iiłniihii danilíinii áádóó áhodoonííł yaa dahalne'ii índa diné t'áá ałtso Bóhólníihii bikin bii' sohodizingi Jeremáíyah díí saad yee yáłti'go deidiizts'ą́ą́'. 
24:26:008:0	Áádóó Jeremáíyah éí, Diné t'áá ałtso bich'į' díí bee hadíídzih, Bóhólníihii áhodííniidii ałtso bee hadzoodzíi'go nááda'iiłniihii índa áhodoonííł yaa dahalne'ii áádóó diné t'áá ałtso, T'áá aaníí dadíítsaał, dahałníigo dahasił. 
24:26:009:0	Haash yit'éego Bóhólníihii bízhi' binahjį' háínídzíí', Díí kin Sháílohdi kin yę́ę nahalin dooleeł, índa díí kin haal'áhígíí ałtso ahiih nídahidoolkał áádóó diné doo ła' ákwii kééhat'į́į da doo, índa kints'iil t'éiyá naazhjaa' dooleeł, dííníniid? Áádóó diné t'áá ałtso Jeremáíyah yik'ijį' danilį́įgo Bóhólníihii bikin bii' sohodizingi áłah silį́į́'. 
24:26:010:0	Áádóó Júdah dine'é bindanit'a'í danilíinii díí deidiizts'ą́ą'go aláahgo naat'áanii bighandóó dah diikaigo Bóhólníihii bikin bii' sohodizin si'ą́ądi yíkai, áádóó Bóhólníihii bikin bii' sohodizin bidáń'dítį́į́h ániidíii bíighahgi dineezbin. 
24:26:011:0	Ákohgo nááda'iiłniihii índa áhodoonííł yaa dahalne'ii éí naat'áanii danilíinii áádóó diné t'áá ałtso ádeidííniid, Díí hastiin díí kin haal'áhígíí yik'ijį' nilį́įgo haadzíi'go t'áá nihí dasidoots'ą́ą́', áko éí biniinaa dadootsaałígíí yą́ą́h nilį́. 
24:26:012:0	Áádóó Jeremáíyah éí naat'áanii danilíinii t'áá ałtso, índa diné t'áá ałtso yich'į' haadzíi'go kóní, Díí saad dasidoots'ą́'ígíí t'áá ałtso díí kin si'ánígíí áádóó díí kin haal'áhígíí bee bik'ijį' hadíídzih, shiłníigo Bóhólníihii shiníł'a'. 
24:26:013:0	Éí bąą k'ad hasht'e'ninánóhkáahgo k'éhézdon atiin góne' dah nídahidoohkááh, áádóó nihiDiyin God Bóhólníihii áníinii bik'eh dahonoł'į́, áko Bóhólníihii doo yá'át'éhígi ánihi'didoolnííł dííniidii łahgo át'éego yaa tsíńdookos. 
24:26:014:0	Nidi shí sízíinii t'éiyá shee ádídahwíínółnííh. Díí bá yá'át'ééh índa díí t'áá ákóne' bá ádoolnííł dashíínóh'nínígi ádashohłééh. 
24:26:015:0	Dashisoołhį́įgo nihí áádóó díí kin haal'áhígíí índa ákwii kéédahat'ínígíí doo ádihodiilt'i'ii bidił biniinaa ádanihidi'dooldįįłgo ts'ídá nihił béédahodoozįįł, háálá t'áá aaníí díí saad t'áá ałtso bee nihich'į' hadeesdzih biniyé Bóhólníihii nihich'į' shííł'aad. 
24:26:016:0	Ákohgo naat'áanii danilíinii índa diné t'áá ałtso éí nááda'iiłniihii índa áhodoonííł yaa dahalne'ii ádeidííniid, Díí hastiin dadootsaałígíí doo yą́ą́h nilį́į da, háálá nihiDiyin God Bóhólníihii bízhi'ígíí binahjį' nihich'į' haadzíí'. 
24:26:017:0	Áádóó éí kéyahdóó hastóí aląąjį' naazíinii nídahidii'na'go diné ákwii áłah silį́į'ii t'áá át'é kódaaníigo yich'į' hadahaasdzíí', 
24:26:018:0	Móreshethdóó diné nilíinii Máíkah éí Heziikáíyah Júdah dine'é aláahgo yinant'áago bíyoołkááł yę́ędą́ą́' Júdah dine'é t'áá ałtso yich'į' haadzíi'go ání, T'áá ałtsoní bee Bóhólníihii kóní, Dá'ák'ehgóó nihwiildlaadígíí nahalingo Záíyan hoolyéegi nihodiyooldlał, áádóó Jerúsalem kin haal'áhígíí éiyá t'óó yáádaa'áa dooleeł, áádóó Diyin God bikin bii' sohodizin bił haz'ánígi dził éí tsin bee hodíłch'ilgi ninádahałaah doo biniyé wódah nahaz'ą́ągo ályaaígíí nahalin dooleeł. 
24:26:019:0	Da' ákoósh Heziikáíyah áádóó Júdah dine'é t'áá ałtso Máíkah dayiisxį́? Heziikáíyah éí ts'ídá Bóhólníihii yidósin áádóó há ná'ooskango Bóhólníihii doo yá'át'éhígi áhodeeshłííł dííniidii łahgo át'éego yąąh tsíńdeezkééz. Nidi nihí éí k'adę́ę doo yá'át'éehii ádił yaa nidaniilt'e'. 
24:26:020:0	Łah ałdó' diné léi' Kírjath-jíyarim kin haal'áádóó Shiiméíyah biye' Yuráíjah éí Jeremáíyah saad yee hahaasdzí'ígi át'éego Bóhólníihii bízhi' yinahjį' díí kin haal'áhígíí índa díí kéyahígíí yik'ijį' hahaasdzíí', 
