24:34:001:1	Jeremáíyah éí Zedekáíyah yee yi'níłnii'ii
24:34:001:0	Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar áádóó bisiláo dah yinéełii t'áá ałtso áádóó ał'ąą dine'é dah deínéehgo bee bóhólníihgo bił nahaz'áanii t'áá ałtso, áádóó dadine'é danilíinii t'áá ałtso éí Jerúsalem áádóó binaagóó kin hadaas'áhígíí t'áá át'é yił da'ahigą́ yę́ędą́ą́' Bóhólníihii kót'éego Jeremáíyah yich'į' haadzíí', 
24:34:002:0	Ízrel dine'é biDiyin God Bóhólníihii kóní, Nílááh, Júdah dine'é aláahgo binanit'a'í Zedekáíyah bich'į' handziihgo kóbidiní, Bóhólníihii kóní, Díí kin haal'áhígíí Bábilan dine'é aláahgo binanit'a'í baa dideesh'áałgo yihodidooniłgo iididoołk'ą́ą́ł, 
24:34:003:0	áádóó éí doo bílák'ee hadíínáał da, nidi t'áá aaníí nił nidadoodiłgo yaa dandidoo'ááł. Bábilan dine'é aláahgo binanit'a'í bił ahiníníl'į́įgo bił ahił hodíílnih áádóó Bábilangóó díínááł. 
24:34:004:0	Júdah dine'é aláahgo binanit'a'í nílíinii, Zedekáíyah nidi'níinii, Bóhólníihii bizaad t'ah yíníłts'ą́ą́', Diltłish bee doo dadíítsaał da, níigo Bóhólníihii naa haadzíí'; 
24:34:005:0	hasht'edíínít'éego dadíítsaał, áádóó danizhé'é t'áá nítséedi aláahgo naat'áanii daazlį́į́' yę́ę éí łikání dahalchinii bá dadoodlidígi át'éego ni ałdó' łikání dahalchinii ná deididoołił, áádóó naa yínííł danilį́įgo atínídadindleehgo kódaaníi doo, K'ad índa lą́ą bóhólníihii, díí lá saad bee haasdzíi' ni, ní Bóhólníihii. 
24:34:006:0	Áádóó Jerúsalemgi Jeremáíyah éí Júdah dine'é aláahgo yinanit'a'í Zedekáíyah díí saad t'áá át'é yee yich'į' haadzíi'go, 
24:34:002:1	Hííbrew dine'é naalte' danilíinii bibee aha'deet'ą́ k'éti'
24:34:007:0	Bábilan dine'é aláahgo binanit'a'í bisiláo dah yinéłígíí éí Jerúsalem áádóó Júdah kéyahgi kin hadaas'á, t'áá éí Léíkish áádóó Azííkah kin hadaas'á ditą́ągo binaa ahééda'astł'inii daadziihígíí yił da'ahoogą́ą́'. 
24:34:008:0	Áko aláahgo naat'áanii Zedekáíyah éí diné Jerúsalemgi kéédahat'ínígíí nihéédadidoochił, yididooniił biniyé yił aha'deet'ą́ą́dóó bik'ijį' Bóhólníihii éí Jeremáíyah yich'į' haadzíí'. 
24:34:009:0	Íídą́ą́' t'ááłá'í jinítínígo Hííbrew diné hanaalte' índa Hííbrew asdzání hanaalte' danilíinii béédazhdidoochił, ákót'éego hak'is Jew dine'é nilíinii doo hanaalte' ázhdoolíił da. 
24:34:010:0	Áko t'ááłá'í jinítínígo diné hanaalte' índa asdzání hanaalte' béédazhdidoochiłgo bee aha'deet'áanii hoł t'áá da'ákohígíí naat'áanii dajílíinii áádóó diné t'áá ałtso ak'eh dahojííł'įįd. 
24:34:011:0	Áádóó bik'ijį' łahgo át'éego tsíńdadeezkéezgo diné naalte' índa asdzání naalte' danilį́įgo béédazhdeezhchidii naalte' ánáádajiidlaa, áádóó hanaalte' danilį́įgo hak'eh dahół'į́įgo ánáádajiidlaa. 
24:34:012:0	Ákohgo índa Bóhólníihii éí Jeremáíyah yich'į hanáánáádzíi'go kóní, 
24:34:013:0	Ízrel dine'é biDiyin God Bóhólníihii kóní, Danihizhé'é yę́ę Ííjip kéyahdę́ę́' ch'éénísh'nilgo naalte' danilį́įgo kééhat'į́į́ nít'éé' yę́ędę́ę́' ch'éénísh'nilgo bił ahada'dinisht'ą́ągo kódíshní, 
24:34:014:0	Ííshją́ą́ tsosts'id nááhaigo t'ááłá'í nootínígo Hííbrew diné nihinaalte' nilį́į dooleeł biniyé nihich'į' nidahaaznii'ii éí nihá nidaalnishgo hastą́ą́h nááhaigo béédadidoohchił. Danihizhé'é yę́ę t'áadoo shá deidiizts'ą́ą' da, índa t'áadoo nidi yíká da'íists'ą́ą' da. 
24:34:015:0	Áko łahgo át'éego tsíńdadookéezgo t'ááłá'í nootínígo nihił kééhat'íinii doo nihinaalte' nilį́į da dooleeł, dadohníigo shinááł t'áá ákogi ádaot'įįd áádóó ałdó' kin shízhi' bee wójíigo si'ánígíí bii' góne' shił ahada'dinooht'ą́, 
24:34:016:0	nidi t'ááłá'í nootínígo diné nihinaalte' índa asdzání nihinaalte' danilį́į́ nít'éé' yę́ę shónídeisołt'e'go nihinaalte' áńdaohdlaago shits'ą́ąjį' noojée'go shízhi' doo ílį́į́góó ádaohłaa. Éí ádeinízinígíí bik'ehgo béédadoochid nít'éé', nidi k'ad éí nihik'eh náádahół'į́į dooleeł biniyé nihinaalte' ánáádaohdlaa. 
24:34:017:0	Éí bąą Bóhólníihii kóní, Diné t'ááłá'í nootínígo nihik'is índa nihił kééhat'íinii k'ad doo naalte' danohłį́į da, dadohníigo t'áadoo dashíísóołts'ą́ą' da. Jó, k'ad diltłish áádóó naałniih índa dichin nihich'į' badahonídlee'go ánihideeshłíiłgo bee nihił hashne'. Nihookáá'góó ał'ąą dine'é kéédahat'į́į́góó aláahgo binanit'a'í dahólǫ́ǫ́góó nihik'ee t'óó bił adahayóigo ánihideeshłííł. 
24:34:018:0	Bee aha'deet'áanii shinááł baa nidziskai yę́ę t'áadoo bida'jiilaagóó béégashii yáázh ahádajishgizhgo bita' gónaa ch'ídadziiskai yę́ędą́ą́' shibee aha'deetáanii k'ídadzizti'ígíí kóhodeeshłííł: 
24:34:019:0	éí Júdah dine'é bindanit'a'í danilíinii áádóó Jerúsalem kin haal'áádóó naat'áanii danilíinii áádóó yúnak danilíinii áádóó náá'iiłniihii danilíinii índa kéyah t'áá náhwiist'ą́ą́ nít'éé' diné kéédahat'íinii éí béégashii yáázh aháálgizhgo bita' góne' ch'ídadziiskaígíí 
