24:27:001:1	Azéédéetání binahjį' na'nitinii
24:27:001:0	Josáíyah biye' Jiihóíyakim éí Júdah dine'é aláahgo yinant'áago t'óó hodeeshzhiizh yę́ędą́ą́' Bóhólníihii kót'éego Jeremáíyah yich'į' haadzíí', 
24:27:002:0	Bóhólníihii kóshíłní, Azéédéetání índa bee bééda'atł'óhígíí ádanile'go azéédée'nííł, 
24:27:003:0	áádóó ádaa didíí'niłgo Júdah dine'é aláahgo binanit'a' í Zedekáíyah éí hane' nidei'áii Jerúsalem kin haal'áadi baa yíkaígíí bitaadíínih, áádóó éí dah deididoojihgo Íídam dine'é aláahgo binanit'a'í áádóó Mó'ab dine'é aláahgo binanit'a'í áádóó Áman dine'é aláahgo binanit'a'í áádóó Táir dine'é aláahgo binanit'a'í índa Sáídan dine'é aláahgo binanit'a'í yitaadeidoonih, 
24:27:004:0	áádóó kódíníigo díí bee haasdzí'ígíí yídahółníihii yee yił dahodoolnih, Ízrel dine'é biDiyin God, t'áá ałtsoní bee Bóhólníihii kóní, Díí bídahwíínółníihii kódabididohniił, 
24:27:005:0	Shibee adziil ayóó át'éii bee áádóó k'ídíshnii'go nahasdzáán áádóó bíla' ashdla'ii índa naaldlooshii nihokáá'góó naaldeehii áshłaa, áko t'áá shí nisinígíí baa hidish'aah. 
24:27:006:0	Áko k'ad díí kédaayah éí Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar shá naal'a'í nilíinii baa diní'ą́, áádóó naaldlooshii nihokáá' naaldeehii ałdó' bá nidaalnish dooleeł biniyé baa diní'ą́. 
24:27:007:0	Áádóó bikéyah biyaa haat'ą́ąjį' ał'ąą dine'é t'áá ałtso bá nidaal'a' doo, áádóó haye' índa hanálí ałdó' yá nidaal'a' doo, áádóó índa ał'ąą dine'é t'óó ahayóí áádóó aláahgo naat'áanii ayóó ádaat'éii binaalte' ádahodoolííł.  
24:27:008:0	Áko baa hoolzhiizhgo díí áhodoonííł: ła' dine'é, doodaii' bee óhólníihgo bił haz'ą́ą́dóó éí Bábilan dine'é aláahgo binanit'a'í nilíinii Nébukadnézzar t'áá éí doo bá nidajil'a'ii áádóó Bábilan dine'é aláahgo binanit'a'í bee azéédéetání doo ázéédazhdéetįįhgóó bee bidziilii bee áhosíłdįįdjį' éí dine'é diltłish bee áádóó dichin bee índa naałniih bee atíhodeeshłííł, ní Bóhólníihii. 
24:27:009:0	Nidi nihí éí nihá áhodoonííł yaa dahalne'ii áádóó nida'ídíłkidii áádóó t'áá nihí nideisooyeelii áádóó iiníziin nihá yee dahaniihii índa nihá da'diłgąshii éí Bábilan dine'é aláahgo binanit'a'í doo bá nidaał'a' da doo, danihiłníigo t'áadoo deísółts'ą́'í, 
24:27:010:0	háálá nihikéyahdóó doo shónízáágóó anihi'didoo'niłígíí biniyé wooch'ííd yee nihił dahalne', áko ch'ínihidínéeshkałgo ádoohdįįł. 
24:27:011:0	Nidi ał'ąą dine'é danilíinii Bábilan dine'é aláahgo binanit'a'í bee azéédéetání ázéédazhdéetą́ągo bá nidajil'a'ii éí t'áá dahakéyah bii' kéédahojit'į́į dooleełgo haa dideesh'ááł, áko t'áá ákǫ́ǫ́ kéédahojit'į́įgo ninádahojiiłdla'go k'éédazhdidléeh dooleeł, ní Bóhólníihii. 
24:27:012:0	Díí saad t'áá ałtso Júdah dine'é aláahgo binanit'a'í Zedekáíyah bee bich'į' haasdzíi'go kódíshní, Bábilan dine'é aláahgo binanit'a'í bee azéédéetání ázéédadóohtįįhgo bí áádóó bidine'é bá nidaał'a', áko dahinohnáa doo. 
