55:2:001:1	Jesus Christ bisiláo hayóii
55:2:001:0	Éí bąą shiye' nílíinii, ajooba' Christ Jesus bii' hólónígíí bee nidziil doo. 
55:2:002:0	Diné lą'í binááł na'nishtingo disíníts'ą́ą'ii diné bada'ahódlíii baa danisįįh. Náánáła' diné nideinitin dooleełgo yídaneel'ánígíí baa danisįįh. 
55:2:003:0	Jesus Christ bisiláo hayóii nílį́įgo atah ti'hoyínííh. 
55:2:004:0	Diné ła' siláo nilíinii éí siláo ábiilaii yił hóshǫ́ǫ dooleełgo yidiilkaal łeh, doo siláo ídlį́į́jí baa na'aldeehii doo yee ádiníltł'a da doo. 
55:2:005:0	Néiltihii bik'ehgo ná'iiltihii yik'ehgo néiltihgo t'éiyá yoołbįįh. 
55:2:006:0	K'éé'dídléehii yéego naalnishii t'éiyá nídaneest'áanii bí áłtsé choidooł'įįł. 
55:2:007:0	Ándishnínígíí baa nitsíníkees, áko Bóhólníihii t'áá ałtsojį' ak'idi'yiitįįhgo ándoolííł. 
55:2:008:0	Jesus Christ éí David bits'ą́ą́dóó yichíiłii nilį́įgo béénílniih; éí daaztsą́ą́dę́ę́' náádiidzáii bik'ehgo hane' yá'át'éehii baa hashne'. 
55:2:009:0	Hane' yá'át'éehii baa hashne'go biniinaa ti'hooshnííh. Diné ádąąh dahast'áanii nahalingo béésh da'ahólzha'í bee dashi'diistł'ǫ́, nidi Diyin God bizaad t'éí doo dahaastł'ǫ́ǫ da. 
55:2:010:0	Éí bąą Christ Jesus bee yisdáhizhdookah índa hool'áágóó bee ak'ihojidlíii hóó' dadooleeł biniyé atah daho'diisdláa'ii há t'áá ałtsoní bich'į' ha'ííníshní. 
55:2:011:0	Kóhá'níinii éí t'áá aaníí:Hoł dasinii'náago, hoł ałdó' dahinii'náa doo; 
55:2:012:0	hada'ííníilníigo, hoł ałdó' nihídahólníih doo;doo hwééhasin da hodii'níigo, hó ałdó' doo hwééhasin da nihizhdidooniił;  
55:2:002:1	Naalnishí bee lą́ azlį́į'ii
55:2:013:0	hada'ííníidlíii bi'oh náádleeł nidi, hó t'éí t'áá áłahjį' ha'ahódlí,háálá t'áá hó ts'ídá doo ats'ą́ą́jí jódle' át'ée da. 
55:2:014:0	Díí béébiyíłnííh, áádóó Bóhólníihii binááł kódíníigo bee bich'į' hahídziih, Saad biniinaa t'áadoo ałghada'doht'áhí. Éí t'áadoo dabiniyéhí da, áádóó da'íists'ą́ą'ii t'óó niyiiłchxǫǫh. 
55:2:015:0	Diyin God yee lą́ asłį́į'ii nílį́įgo Diyin God binááł sínízį́į doo biniyé haleebee ánít'į́, naalnishí doo ádaa yánídzinii nílį́įgo, saad t'áá aaníinii ts'ídá t'áá ákogi át'éego choiníł'į́. 
55:2:016:0	Nidi Diyin God doo deidísingóó áádóó t'áadoo biniyéhígóó hada'diłch'ałígíí bits'ą́ąjį' í'díí'nílzin, jó, éí t'óó yówehda doo Diyin God k'ehgo iináá góne' diné adayii'éésh. 
55:2:017:0	Ákódaat'íinii dabizaad naałdzid nahalingo idadééłní. Haimeníyas áádóó Failíítas éí áájí atah nilį́. 
55:2:018:0	Éí na'nitin t'áá aaníinii yits'ání'áázh, T'áá íídą́ą́' da'aztsą́ą́dę́ę́' náádi'yiijéé', daaní, áko diné ła' bi'oodlą' yits'ą́ą́' niyiiłchxǫǫh. 
55:2:019:0	Nidi Diyin God bizaad éí atł'ááh nástł'inígi át'éego doo hizhdółnááł át'ée da, díí bee bik'e'ashchį́: Bóhólníihii daabíhígíí yééhósin, áádóó ałdó', T'ááłá'í jinítínígo Bóhólníihii bízhi' bee ádazhdójíii éí doo ákwii ádaat'éii bits'ą́ą́jígo ahizhdookah.  
55:2:020:0	Kin nitsaago si'áanii biyi'di łeets'aa' óola índa béésh łigaii bee ádaalyaii doo t'áá éí t'éiyá dahólǫ́ǫ da, nidi łeets'aa' tsin índa hashtł'ish bee ádaalyaii ałdó' dahólǫ́, ła' ił ílį́įgi t'éí chodao'į́, ła' t'áá ooleełgóó chodao'į́. 
55:2:021:0	Diné ła'da doo yá'ádaat'éehii bits'ą́ą́dóó ho'díídee'go łeets'aa' ił nilį́įgo choo'íinii nahojílin doo, diyingo áho'diilyaa doo, índa kin bee bóhólníihii bá chojoo'į́į doo, t'áá ałtsojį' yá'át'ééh ájooníił doo biniyé hasht'eho'diilyaa doo. 
55:2:022:0	Áádóó ániid na'adáago bi'adáhonooní t'áadoo be'íł'íní, nidi ts'ídá t'áá ákogi é'ét'é, oodlą́, ayóó'ó'ó'ní, índa k'é hwiindzin bik'ehgo ánít'é, bijéí bąąhági át'éii bąąh ádaadingo Bóhólníihii nídayookąąhii bił ákódanít'é. 
55:2:023:0	Doo áháyą́ą́góó índa doo nitsáhákeesgóó na'ahíyáti' t'áadoo atah baa nanináhí; jó, éí bee saad nidahwiileehgo nił bééhózin. 
55:2:024:0	Háálá Bóhólníihii bá naal'a'í jílíinii doo saad hojíłǫ́ǫ da doo, nidi diné t'áá ałtso bich'į' há áhwiinít'į́'í doo, na'nitin jiichįįh doo, ha'jólníi doo, 
55:2:025:0	a'ohgo ízhdólzingo t'áá aaníinii yits'ą́ą́jí nida'ádí'nilii nazhnitin doo. T'ah nít'ée'da łahgo át'éego tsíńdadookosgo, t'áá aaníinii yaa ákodadínóozįįłgo bá ashja'ósinígíí Diyin God beididoo'ááł. 
55:2:026:0	Áko éí níłch'i bida'iiníziinii binanit'a'í íinízinii yik'eh ádaat'éego, bisnááh nít'ée'ii biloh yii' háádahidookah.
