66:1:001:1	Pen . j .
66:1:002:1	1 Achos y
66:1:003:1	1 : 0
66:1:004:1	*
66:1:005:1	datguddiat hyn
66:1:006:1	weledigeth hon . 3 Am yr ei a’i darllenant . 4 Ioan yn scrivennu at y saith Eccles . 5 Mawredigrwydd a’ swydd Map Dew . 20 Gweledigeth y canwyll
66:1:007:1	1 : 0
66:1:008:1	‡
66:1:009:1	heirn
66:1:010:1	breni a’r’ ser .
66:1:001:0	GWeledigaeth Iessu Christ , yr hon y rroedd Dyw yddo ef , yw ddangos yddy wasnaethwyr yrrein y orvydd yn vyan ddyfod y ben : ac ef y ðāvonoedd , ac y ddangosoeð gan y angel yddy wasanaethwr Ioan ,
66:1:002:0	Yr hwn y dystolaethoedd o eir Dyw , ac o dystolaeth Iesu Christ , ac o pob peth ar y weloedd ef .
66:1:003:0	Happys ywr neb y ddarlleyo , ar rrei y wrandawāt geyriey y bryffodolaeth hon , ac y cadwant y pethey ysydd yn escrivenedic yndi : cans y maer amser gayr llaw .
66:1:004:0	Ioan , yr seith Eglwys ar ydynt yn Asia , Rrad vo gyd a chwi , a’ heðwch o ddiwrth yr Hwn ys ydd , yr Hwn vu , a’r Hwn vydd rrac llaw , ac o ddiwrth y seith Ysbryd y rrei ydynt gair bron y dron ef ,
66:1:005:0	Ac o ddiwrth Iesu Christ , yr hwn ys ydd tust ffyddlawn , yr enedigaeth cynta or meyrw , a Thywysog ddyvvch vrenhinoedd y ddayar , yddo ef yn caroedd ni , ac yn golchoedd ni oddiwrth yn pechodey yny waed , yhun ,
66:1:006:0	Ac yn gwnaeth yn Vrēhinoeð ac yn Effeirieid y Ddyw y dad ef , yddo ef y bo gogoniant ac ymherodraeth yn oes oesoedd . Amen .
66:1:007:0	Dyna , y may ef yn dyvod gydar nywl , a’ phob llugad ae gwyl ef , ar rrei hefyd y brathasant ef tryvvodd : ac wylovain y wnant arno ef holl ceneloedd y dayar , Velly y mae , Amen .
66:1:008:0	Mi wyf α Alpha ω Omega , y dechre a’r diweð , með yr Arglwydd , yr Hwn y sydd , a’r Hwn vu , ac yr Hvvn ddaw rrac llavv , ’sef yr hollalluawc .
66:1:009:0	Mi Ioan , ych brawd chwi , a chydynaith mewn cospedigaeth , ac yn y deyrnas ac mewn goddefaint Iesu Christ , oeddwn mewn ynys a elwir Patmos am ’eir Dyw , ac am dystolaeth yr Iesu Christ .
66:1:010:0	Yr oyddwn yn yr yspryd yn dydd yr Arglwyð , ac y glyweis rrac vynghefen , lleis mawr , mal lleis trwmpet ,
66:1:011:0	Yn dywedyd , mi wyf α Alpha ac ω Omega , y cyntaf ar diwethaf , a’r peth yr wyt ti yny weled , escrivena mewn llyfr , a danvon yr seith Eglwys ar ydynt yn Asia , y Ephesus , ac y Smyrna , ac y Bergamus , ac y Thyateira , ac y Sardei , ac y Philadelphia , ac y Laodiceia .
66:1:012:0	A mi ymchoyles yn vu ol y weled y lleis , a ðwad wrthy vi : a phan ymchoyles , mi a welwn seith canwylbren aur .
66:1:013:0	Ac ynghanol y seith canwyllbren , vn yn debic y Vab y duyn , gwedy ymwysgo a gwisc hed y draed a’ chwedi gwisco gwregis aur ynghylch y vrone .
66:1:014:0	Ey ben , ay wallt oeddent wnion mal gwlan gwyn , ac mal eira , ay lygeid oeddent mal fflam dan .
66:1:015:0	Ay draed oeddent mal pres coeth , yn llosgi megis mewn ffwrneis : ay leis mal swn llawer o ðyfroedd .
66:1:016:0	Ac yr oedd yn y law ðehe saith seren : ac o eney allan yrydoed yn myned cleddey llym doy vinioc : a discleiro a wnaeth y wyneb ef mal yr hoyl yn y ’rym ef .
66:1:017:0	A phan y gweles i ef , my a syrthies wrth y draed mal marw , ac ef a ddodoedd y law dehe arnaf , dan ddwedyd wrthyf , nac ofna : mi wyf y cyntaf a’r diwethaf ,
66:1:018:0	Ac yr wyf yn vyw , ac y vym varw , a syna , yr wyf yn vyw yn oes oesoedd , Amen : ac y mae genyf yr allwyddey yffern a myrvolaeth .
66:1:019:0	Escryvenna y pethey y weleist , ar pethey ysydd , ar pethey a ’orfydd bod rrac llaw .
66:1:020:0	Dirgelwch y seith seren y weleist yn vy llaw ðechre , a’r seith canwyllbren aur , yvv hyn , Y seith seren Angylion y seith Eglwys ydynt : ar seith canwyllbren y weleist , y seith Eglwys ydynt .
