66:12:001:1	Pen . xij .
66:12:002:1	1 Ymddangos a wnaeth yn y nef gwreic gwedy ymwisco a’r haul . 7 Mihacael yn ymladd ar ddraic , yr hwn ’sy yn ymlid y wreic . 11 Cahel y vuddygoliaeth trwy conffort y ffyddlonieit .
66:12:001:0	A Rryfeddod mawr y ymddangosoedd yn y nef : Gwreic gwedy ymwisco ar haul , ar lleyad oedd dan y thraed , ac ar y phen coron o ðeyddec seren ,
66:12:002:0	Ac yrodoedd hi yn veichioc ac hi lefoeð dan dravaylu ar y thymp , a hi ddolyrioed yn barod y gael yscar llaw .
66:12:003:0	A’ rryveddod arall ymddangosoedd yny nef , a’ synna , dreic coch mawr a seith pen yddo , a dec corn , a’ seith coron ar y penney :
66:12:004:0	Ae gynffon ef y dynoedd trayan ser y nef , ac y bwroedd hwynt yr ddayar . Ar ddreic y safoedd gair bron y wreic , yr hon ydoedd yn barod y ga el yscar llaw , y vwytta y phlentyn hi , yn hwy nac y genyd ef ,
66:12:005:0	A’ mab‐wr y aned yddi , yr hwn y rreoley yr holl nasioney a gwialen hayarn : ay mab y gymerspwyd y vynydd at Ddyw ac at y eisteddle ef .
66:12:006:0	Ar wreic y giloedd yr diffeyth lle may gyfle gwedy Ddyw y barottoi yddi , mal y gal’ent y phorthi hi yno mil o ddiwarnodey a thrigen a doy cant . Yr Epistol ar ddydd Mihacael .
66:12:007:0	A’ rryfel oedd yny nef , Mihangel ae Angylion ef ymladdasant yn erbyn y dreic , ar dreic ymladdoedd ef ae Angylion ef .
66:12:008:0	Ac ny chawsont y llaw yn ycha , ac ny chafad y lle hwynt o hyny allan yn y nef .
66:12:009:0	A’ bwrw allan y wneythpwyd y dreic mawr , yr hen sarph , yr hwn y elwir y cythrel , a’ Satan , yr hwn ysydd yn twyllo yr holl vyd : ys y vwrw y wneythpwyd ef yr ddayar , ae Angylion y vwrwyd allan gydac ef .
66:12:010:0	Yno mi glyweis lleis ywchel , yn dwedyd , Yrowron y mae iechid yn y nef , a’ grym , a thyrnas yn Dyw ni , a gallu y Grist ef : can ys cyhyddwr yn brodyr ni y vwrwyd yr llawr , yr hwn ydoedd yn y cyhyðo hwynt gair bron yn Dyw dydd a’nos .
66:12:011:0	Ac hwy gortrechasant ef trwy waed yr Oen , a’ thrwy geir y testolaeth hwynt , ac ny charasant y bowyd hed at marw .
66:12:012:0	Am hyny , llawenhewch , y nefoedd , a’r sawl ydynt trigadwy ydynt hwy . Gwae yr rrei ydynt trigadwy yn y ddayar , a’r mor : cans y cythrel y ddiscynoedd attoch chwi , yr hwn y sydd a llid mawr gantho , herwydd gwybod nad ydiw y amser ef ond byrr .
66:12:013:0	A’ phan gwelas y ddreic y vwrw yr ðayar , ymlid y wnaeth ef y wreic y ddygoedd y mab yr byd .
66:12:014:0	A dwy adein eryr mawr y rroed yr wreic , yddi hedfan yr diffeth , yddy lle , ddys yny magi hi dros amser , ac amseroedd , ac hanner amser , rrac wyneb y sarph .
66:12:015:0	Ar sarph y vwroedd oe safn allan ar ol y wreic ddwr mal llifddvvr , ar veder cael y dwyn hi ffwrð gan y llifddvvr .
66:12:016:0	A’r ddayar y cynorthwyoedd y wreic , ar tir agoroeð ei geneu , ac y lyngcoeð y llifddvvr , yr hwn y vwroedd y ddreic allan oe safn .
66:12:017:0	A’ llidio a oruc y ddreic yn erbyn y wreic , a’ myned y wnaeth ef y rryfely yn erbyn gweddillion y hilogaeth hi , yrrein ydynt yn cadw gorchmyney Dyw , ac ysydd a thystolaeth Iesu Christ ganthynt .
66:12:018:0	Ac mi sefeis ar draethey mor .
