66:18:001:1	Pen . xviij .
66:18:002:1	3 , 9 Bot
66:18:003:1	*
66:18:004:1	yr ei sy yn caru’r byt
66:18:005:1	cariadae y byt yn dristion am gwymp y putein o Babylon . 4 Rhybudd y bopul Ddew y gilio allan oi
66:18:006:1	‡
66:18:007:1	arglwyddieth
66:18:008:1	chyvoeth hi , 20 Eithyr yr ei ’syð o Ddew , ysyð ac achos yddynt y lawenechu am y dinistr hi .
66:18:001:0	AC yn ol hyn , mi weleis Angel arall yn dyfod y lawr or nef , a’ gallu mawr ganto , a goleyo wnaeth y ddayar gan y ’ogoniant ef .
66:18:002:0	A llefen y wnaeth ef yn rrymys a lleis ywchel , dan ddwedyd , E syrthioedd , ef syrthioedd , Babylon y gaer vawr hono , ac y mae hi yn drigadle yr cythreiled , a’ chadwraeth pob ysbryd aflan , a nyth pob ederyn aflan cas .
66:18:003:0	Cans yr holl nasioney y yfasont o win digofent y godineb hi , a Brenhinoedd y ddayar y wneythont odineb ynghyd a hi , a marsiantwyr y ddayar eithont yn gyfothogion gan amylder y moythe hi .
66:18:004:0	Ac mi glyweis lleis arall o’r nef yn dwedyd , Ewch allan o hi vympobl , rrac ywch vod yn gygyfranawl oe phechodey , ac rrac ywch dderbyn gyfran oe phlae hi .
66:18:005:0	Can ys y phechodey hi y ddeythont y vynydd hed y nef , a’ Dyw y gofioedd y enwiredd hi .
66:18:006:0	Telwch yddi mal p taloeð hi y chwi , a’ rrowch yddi yn ddoy ddybl ic yn ol y gweithredoedd hi : ac yny cwppan y lanwoedd hi y chwi , llenwch yddi hi y ddoy ddybllic .
66:18:007:0	Yn gymeint ac y gogonianoedd hi y hun , ac byw mewn moythe , yn yr vn modd rrowch yði poen a thrymder : cans y mae hi yn dwedyd yny chalon , yr wyf yn eiste yn vrenhines , ac y nyd wyf yn weddw , ac ny welaf dim wylofent :
66:18:008:0	Am hyny yn yr vn dydd y ddaw y phlae hi , ’sef myrfolaeth , a thristwch , a’ newyn , a’ hi losgir a than : cans cadarn ydywr Arglwydd Ddyw , yr hwn y barna hi .
66:18:009:0	A’ brenhinoedd y ddayar y ochant amdeni , ac y cwynāt hi , y rrein y wneithont godineb , ac y vuont byw yn voythys ynghyd a hi , pan gwelant mwg y thanllwyth hi ,
66:18:010:0	Ac hwy safant ymhell oddiwrthi gan ofn y phoen hi , dan ddwedyd , Gwae ni , gwae ni , y gaer vawr hono Babylon , y gaer gadarn : can ys mewn vn awr y ddoeth dy varn di .
66:18:011:0	A’ marsiantwyr y ddayar y wylant ac y cwynāt ddywch y phen : can ys ny does neb yn prymy y gwar hwy mwy navvr .
66:18:012:0	Marsiandiaeth o aur ac ariā , a’ maen gwerthfawr , a pherle , a’ lliein‐mein , a’ phwrpul , a’ sidan , ac scarlla , a phop rryw o goed thyin , ac o bob llestr o ascwrn morfil , a’ phob llestr o goed gwerthvawrocaf , ac o bres , ac o hayarn , ac o vaen mynor ,
66:18:013:0	Ac o sinamon , ac erogley , ac ireyd a’ ffrankynsens , a’ gwin , ac olew , a chan man , a’ gwenith , ac enifeilied , a’ defeid , a’ chyphyle , a’ siaredey , a gwasnaethwyr , ac eneidiey dynion .
66:18:014:0	( A’r avaley y drachwenychoedd dy eneid ti , ymadawsant a thi , ar holl pethey breision , a gwychion aethant ffwrdd oddiwrthit , ac ny chey gyhvvrdd ac hwynt mwyach )
66:18:015:0	Marsiantwyr y pethey hyn yrrein ymgofoythogasant , y safant ymhell oddiwrthi hi , rrac ofn y phoyn hi , yn wylo ac yn ochein ,
66:18:016:0	Ac yn dwedyd , Gwae ni , gwae ni , y gaer vawr hono , y ddillattawyd mewn lliein mein , a’ phwrpul , ac scarlla , a’ chwedy goreuro ac aur , a maen gwerthfawr a pherleu :
66:18:017:0	Cans mewn vn awr y cyfoeth mawr y ddiffeithoedd . A’ phob llonglywydd , ar holl pobl ysyð yn occopio llongey , ar llongwyr , ar sawl bynac ydynt yn trafaylu ar y mor , y safant ymhell ,
66:18:018:0	Ac y lefant , pan gwelant mwg y thanllwyth hi , dan ddwedyd , Pa’ry gaer oedd debic yr gaer vawr hon ?
66:18:019:0	Ac wy vwrant ddwst ar y penney , ac y lefant dan wylo , ac ochein a dwedyd , Gwae , gwae , y gaer vawr , yn yr hon y cyvothogwyt oedd a llōgey gātynt ar y mor , trwy y chost hi : cans mewn vn awr hi ddiffeithwyd .
66:18:020:0	Y nef , llawēha arnei , ar ebostolion sancteið , a’r prophwydi : cans Dyw y roeð ych barn chwi erni .
66:18:021:0	Ac yno vn Angel cadarn y gwnoedd maen megis maen melin , ac y bwroedd yr mor , dan ðwedyd , Ar vath rrym hyn y bwrir y gaer vawr Babylon , ac ny cheir hi mwyach .
66:18:022:0	Ac ny chlywir , yno ti mwy lleis telynorion , a’ chantoried , a’ phibyðion , a’ thrwmpedyddion , ac ny chyhwrddir ac vn creftwr , pa grefft bynac vo ynoti mwy , ac ny chlywir lleis maen melin ynoti mwy .
66:18:023:0	Ac ny welir ’oleyni canwyll ynoti mwy : ac ny chlywir lleis priodasvab a phriodasverch ynot i mwy : can ys dy varsiandwyr di oeddent bendevigion y dðayar : ac ath cyfareddion y twyllwyd yr holl nasioney .
66:18:024:0	Ac yndy hi y gafad cyvvrdd a gwaed y proffwydi , a’r Seint , a phawb ar y las yny ddayar .
