66:21:001:1	Pen . xxj .
66:21:002:1	3 , 24 : Gwynvydedic cyflwr yr ei dywiol , 8 , 27 A thrwm helhynt yr ei andywiol . 11 Agwedd y Caersalem nefawl , ac am wreic yr Oen .
66:21:001:0	AC mi weleis nef newydd , a dayar newydd : cans y nef cyntaf , ar ddayar cyntaf eithont heybio , ac ni doedd dim moor mwy .
66:21:002:0	A’ myvi Ioan y weleis y dinas santaidd Caersalem newyð yn discin or nef oddiwrth Ddyw gwedy y thrwsio mal priodasverch ar vedr y gwr .
66:21:003:0	Ac mi glyweis lleis mawr allan o’r nef yn dwedyd Syna . Tabernacl Dyw gyda’r dynion , ac ef yn dric gydac hwynt , ac hwy y vyddant bobyl yddo ef , a Dyw y hun , y bydd y Dyw hwy ynghyd ac ynthwy .
66:21:004:0	A Dyw y sych ymaith yr oll ðeigre oddiwrth y llygeid : ac ny bydd dim myrfolaeth mwy , na thristwch , na liefein , ac ny bydd dim poen mwy : cans y pethey cyntaf eithont heybiaw .
66:21:005:0	Ar vn y eisteddoedd ar yr eisteddle , y ddwad , Syna , yrwyf yn gwneythur pob peth oc newyð : ac ef ddwad wrthyfi Escrifena : can ys y maent y geiriey yma yn ffyddlawn ac yn gywir .
66:21:006:0	Ac ef y ddwad wrthyfi . E ðerfy mi wyf α ac ῶ y dechreyad ar diwedd . Mi rrof yr vn y sydd sychedic , o ffynon dwr y bywyd yn rrydd .
66:21:007:0	Yr vn orchfyga , y geiff etifeðy yr holl pethey , ac mi vyða Ddyw yðo ef , ac ynte vyð mab y miney .
66:21:008:0	Ond yr ofnoc ac anghredadwy ar casddynion a’r llyaswyr , ar pyteinwyr ar cyfareddwyr ar delw‐addolwyr , a phob celwddoc y rran hwynt y vydd yny pwll , ysydd yn llosgi o dan a’ brymstan , yr hwn ydiwr eil myrfolaeth .
66:21:009:0	Ac vn or seith Angel , yrrein oeddent ar seith phiol ganthynt yn llawn or seith pla diwethaf y ddoyth attaf , ac ymddiddanoedd a mi , dan ddwedyd , Dabre : mi ddangosaf ytti y priodasverch , gwreic yr Oen .
66:21:010:0	Ac ef ym dugoeð i ymaith ynyr yspryd y ’lan ychwel vawr , ac y ðangosoeð y mi y dinas vawr Caersalem santeidd , yn discin alllan or nef oddiwrth Ddyw .
66:21:011:0	A’ gogoniant Dyw genthi , ae discleyrad hi oeð debic y vaen gwerthvawrysaf , megis maen Iaspar eglaer mal crystal .
66:21:012:0	Ac yrydoedd yddi vagwyr vawr ywchel a’ doyddec porth iddi , ac wrth y pyrth doyddec Angel , ac enwey yn escrivenedic , yrrein ydynt doyddec llwyth meybion yr Israel .
66:21:013:0	Ar barth y Dwyrein yr oedd tri phorth ac ar du y Gogledd tri phorth , ac ar tu y Dehey tri phorth , ac ar y tu Gorllewyn tri phorth .
66:21:014:0	A magwyr y dinas oedd a doyddec gryndwal yddi , ac yndynt hwy enwey y doyddec ebostolion yr Oen .
66:21:015:0	Ac yr ydoedd gan yr vn y ymddiddanoeð a mi , corsen aur y vessyr y dinas , ae phyrth hi , ae magwyr hi .
66:21:016:0	A’r dinas y osodwyd yn bedwar ochrog ae hud oedd cymeint ae lled , ac ef y vessyroedd y dinas ar corsen doyðec mil ystod : ac hud , ac lled ae hywchter sy yn ogymeint .
66:21:017:0	Ac ef y vesyroedd y magwyr hi , pedwar cuvyt a seith igein , wrth vessyr dun , yr hwn yw , mesur yr Angel .
66:21:018:0	Ac adeil y magwyr hi oedd o vaen Iaspar , a’r dinas oedd aur pur , yn debic y wydyr gloyw .
66:21:019:0	A’ gryndwal magwyr y dinas oedd gwedy y thrwsio a’ phob rryw vaen gwerthfawr : y gryndwal cynta oedd maen Iaspar : yr eil o Saphir , y trydydd oedd o vaen Chalcedon : y pedwerydd Smaragdus .
66:21:020:0	Y pymed Sardonix : y chweched Sardius : y seithfet Chrysolithus : yr wythfed Beryl : y nawfed Topazius : y decfed Chrysoprasus : yr vnfed a’r ddec Hiacinthus : y doyddecfed Amethystus .
66:21:021:0	Ar doyddec porth doyddec perl oeddent , a’ phob porth ’sydd o vn Perl , a’ heol y dinas’ sy aur pur , mal gwydyr disgleyredd .
66:21:022:0	Ac ny weleis i vn demel yndi : cans yr Argl=Ddyw hollallvawc a’r Oen , yw y themel hi .
66:21:023:0	Ac nyd rreid yr dinas , wrth yr hayl , nar lleyad y ’oleyo yndi : cans gogoniant Dyw y goleyoeð hi , a’r Oen yw goleyni hi .
66:21:024:0	Ar bobyl cadwedic y rrodiant yny goleyni hi : a’ Brenhinoedd y ddayar y ddugant y gogoniant ac anrrydedd yddi hi .
66:21:025:0	Ac ny chayer y phyrth hi can trwyr dydd : ny vydd ddim nos yno .
66:21:026:0	A’ gogoniant , ac anrrydedd , y Cenedloedd a dducir yddi .
66:21:027:0	Ac nyd a y mewn yddi dim aflan , neu beth bynac y weythio casineb ney gelwddey , ond y rei y escrifenwyt mewn Llyfr bowyd yr Oen .
