66:20:001:1	Pen . xx .
66:20:002:1	2 Bot Satan yn rhwym dros dalm o amser , 7 Ac wedi ei ellwng yn rhydd , yn poeni yr Eccles yn athrwm . 10 , 14 Ac yn ol hyny barnu’r byd , y vwrw ef a’r ei y’ ddaw ir pwll tan .
66:20:001:0	AC mi weleis Angel yn discin or nef , a’ chanto agoriad y pwll heb waylod , a’ chadwyn vawr yny law .
66:20:002:0	Ac ef y ddalioedd y ddreic yr hen sarff hono , yr hwn ydiw’r cythrel a Satan , ac y rrwymoeð ef dros vil o vlynyddoedd ,
66:20:003:0	Ac y bwrioedd ef yr pwll heb waylod , ac y goarchaeoð ef ac y seloedd y drvvs arno , megis na alley siomi ’r bobl mwyach , nes cyflewni ’r mil o vlynyddey : can ys yn ol hyny rreid yw y ollwng ef dros ychydic o amser .
66:20:004:0	Ac mi weleis eisteddleoedd : ac hwy eisteddasant arnynt , a’ barn y rroed yddynt hwy , ac mi vvelais eneidiey y rrei y dorrwyd y peney am dystolaeth Iesu , ac am eir Dyw , a’r rrei nyd addolasant yr enifel , nae y ddelw , ac ny chymersont y nod ef ar y talceney , ney ar y dwylaw : ac hwy vyont vyw , ac y deirnasasant gyd a Christ mil o vlunyddey .
66:20:005:0	Ond y gweddil or gwyr meirw ny vyont vyw eilweith , nes diweddy y mil vlynyðey : hwn ydiwr cyfodiadigeth cyntaf o’r meirvv .
66:20:006:0	Bendigedic a sancteidd ywr vn ysydd a rran yddo yny cyfodiadigeth cyntaf : can ys nyd oes gan yr eil myrfolaeth veddiant ar y cyfryvv rei : ond hwy vyðant yn offeirieyd Dyw a’ Christ , ac y deirnasant gydac ef mil o vlynyddey .
66:20:007:0	A’gwedy darfod y mil blynyddey , Satan y ellingyr allan oe garchar ,
66:20:008:0	Ac ef eiff allan y dwyllaw’r bobl , yrrein ydynt ymhedwar ban y ddayar : nid amgen Gog a’ Magog , y gascly hwynt ynghyd y rryfel , rrif y rrein ’sydd mal tyuod y mor
66:20:009:0	Ac hwy ddrychafasant y wastad y ddayar , yr rein ymgylchynesont pebyll y Saint , a’r dinas caredic : eithyr tan y ddiscynoedd oddiwrth Ddyw o’r nef , ac y llyncoedd hwynt .
66:20:010:0	A’r cythrel yr vn y twylloeð hwynt , y vwrwd y bwll o dan a’ brymstan lle poenir yr enifel , ar proffwyd ffalst dydd a nos yn dragowydd .
66:20:011:0	Ac mi weleis eisteddle mawr gwyn , ac vn yn eistedd arno , oddiwrth olwc yr hwn y ffoedd y ðayar a’r nef , ac ny chafad oe lle hwy mwyach .
66:20:012:0	Ac mi weleis y meirw , mawrion a’ bychein yn sefyll gair bron Dyw : a’r llyfre agorwyd , a’ llyfr arall agorwyd , yr hwn ydiw llyfr y bowyd , a’r meirw y varnwyd wrth y pethey oeddent yn yscrivenedic yn y llyfre , yn ol y gweithredoed hvvynt .
66:20:013:0	A’r mor y vwroedd y vynydd y meirw oeddent yndi , a myrfolaeth ac yffern y rroisont y vynydd y meirw oeddent yndynt hwy : a’ barny wneythpwyd ar bawb yn ol y gweithredoedd .
66:20:014:0	A’ myrfolaeth ac yffern y bwriwd y bwll tan : hwn ydiwr eil myrfolaeth
66:20:015:0	A phwy bynac ny chafad yn escryfenedic mewn Llyfr y bowydy y bwll y tan .
