66:6:001:1	Pen . vj .
66:6:002:1	1 Yr Oen yn agori y chwech insel , a’ llawer o betheu yn dyvot ar ol y hagori , val y mae hyn yn amgyffred prophetoliaeth gyffredin yd dywedd y byt .
66:6:001:0	YN ol hyn , mi edrycheis pan agoryssey’r oen vn or seley , ac mi y glyweis vn or pedwar enifel yn dwedyd , mal by bei trwst traney Dabre ac edrych .
66:6:002:0	Ac mi edrycheis , a’ syna , yr ydoedd march gwyn , ac yr ydoedd bwa gan yr vn oedd yn eistedd arnaw , a choron y royspwyd yddo ef , ac ef aeth allan dan concwerio ac y concwery .
66:6:003:0	A phan agoryssey yr eil sel , mi glyweis yr eil enifel yn dwedyd , Dabre ac edrych .
66:6:004:0	March arall aeth allan , ae livv yn goch , a gallu y rroed yr vn oedd yn eistedd arno , y gymryd heddwch o ddiwrth y ddayar , ac y beri yddynt llað y gilydd , a’ chleddey mawr y rroed yddo ef .
66:6:005:0	A’ phan agorysei ef y trydydd sel , mi glyweis y trydydd enifel yn dwedyd , Dabre ac edrych . A’ mi edrycheis , a syna yr oedd yno march du , a phwyse yn llaw yr vn oedd yn eistedd arno ef .
66:6:006:0	A’ mi glyweis leis yn chanol y pedwar enifel yn dwedyd , messyr o wenith er ceinioc , a’ thri mesyr o heith er ceinioc , a’r olew , gwin , na waytha di .
66:6:007:0	A’ phan agorasey ef y bedwaredd sel , my glyweis lleis y bedwrydd enifel yn dwedyd , Dabre ac edrych .
66:6:008:0	Ac mi edrycheis , a syna , march a llivv priddlyd a Marfolaeth oedd enw yr vn oedd yn eiste arno , ac Yffern y dilynoedd ef , a gallu y roed yddynt hwy dros y bedwaredd rran or ddayar , y ladd a chleddey , ac a newyn , ac a marfolaeth , ac a ’nefeilied y ddayar .
66:6:009:0	A’ phan agorasey ef y bymed sel , mi weleis dan yr allor eneidiey yr rein y las am ’eir Dyw , ac am y tustolaeth yr hwn oedd ganthynt .
66:6:010:0	Ac hwy a lefasont a llef ywchel , dan ddwedyd , Pa hyd , Arglwydd , santeið a chowir ? nad ydwyd yn barny a ’dial yn gwaed ni , ar y rrein ar ydynt yn trigo ar y ddayar .
66:6:011:0	A’ gowney gwnion hirion y rroed y bob vn o naddynt , ac y ddwetpwyd wrthynt , am yddynt o’rffwys dros ychydic o amser hyd yn gyflewnid rif y] cydwasnaethwyr , ac brodyr , y leddesid , mal y llas ynthwy .
66:6:012:0	Ac mi edrycheis pan agorasei ef y chweched sel , a syna , crynfa mawr y ddayar y doedd , ar haul aeth cyn ddued a sach lien blewoc , ar lleyad oedd , yn debic y waed .
66:6:013:0	A’ ser o’r nef y syrthiasont yr ddayar , mal pren ffeigys yn bwrw ffeigys‐gleison pan scydwyr hi a gwynt mawr .
66:6:014:0	Ar nef aeth heybio , mal rol‐o‐bapir , gwedy troi ynghyd , a phob mynydd ac vnys y drowyd allan oy lleoedd ,
66:6:015:0	A’ brenhinoedd y ddayar , ar gwyr mawr , ar cyfoethogion , ar pen captenied , ar gvvyr cedyrn , a phob gwr caeth , a phob gwr‐rrydd , y ymgyddiasont mewn gogofey , ac ym plith creigie y mynyddey ,
66:6:016:0	Ac hwy y ddwedasont wrth y myneddedd ar creigeu , Cwympwch arnom ni , a’ chyddiwch ni rrac wyneb yr vn y sydd yn eistedd ar yr eisteddle , ac o ddiwrth digovent yr Oen .
66:6:017:0	Can ys y may dydd mawr y ddigovent ef gwedy dyfod , a’ phwy y ddychyn sefyll ?
