66:17:001:1	Pen . xvij .
66:17:002:1	3 Yscythrad y putain vawr . 8 Hei phechodae a’i phonedigeh . 14 Goruchafieth yr Oen .
66:17:001:0	AC vn o seith Angel oeð ar seith phiol gantho y ðoeth , ac ymchwedleyoeð a mi , dan ðwedyd wrthyf , Dyred : mi ðangosaf ytti ðamnedigeth y butten vawr ysydd yn eistedd ar lawer o ddyfroedd ,
66:17:002:0	Gyda’r hon y mae brenhinoeð y ddayar gweðy godineby a deiled y ddayar gwedy meddwi a gwin y godineb hi .
66:17:003:0	Ac ef ymdygoedd yn yr ysbryd yr diffeith , ac mi weleis gwreic yn eistedd ar enifel vn lliw ar scarlla , yn llawn o enwey enllibiys , a seith pen gantho a dec corn .
66:17:004:0	Agwisc y wreic oedd pwrpwl a’ scarlla , a goreyred ac aur , a mein gwerthfor , a’ pherle , a chwppan aur oedd ganthi yny llaw , yn llawn o wrthweyneb a brynti y godineb hi .
66:17:005:0	Ac yny thalcen yrydoedd enw yn escrifenedic , Dirgelwch , Babylon vawr , mam pytteindra , a gwrthweynebe yr ddayar .
66:17:006:0	Ac mi weleis y wreic yn veddw gan waed y Seint , a’ chan waed Merthyron Iesu : a’ phan y gweleis hi , mi rryveddeis a’ rryvedd mawr :
66:17:007:0	Ar angel y ddwad wrthyf , Pa ham yrwydd yn rryfeddu ? mi dangosaf yt ðirgelwch y wreic , a’r enifel ysyð yny dwyn hi , yr hwn ysydd a seith pen gantho , a dec corn .
66:17:008:0	Yr enifel y weleist , y vu , ac nid ydiw , ac ef y ddaw y vynydd or pwll heb waylod , ac ef eiff y ddinystraeth , a’ deiled y ddayar , y rryfeddant ( enwey y rrein nyd ynt yn escrivennedic mewn Llyfr y bowyd er dechrey’r bud ) pan edrychant ar yr enifel yr hwn ydoedd , ac nyd ydiw , ac eto y mae .
66:17:009:0	Ll’yma’r meddwl ys ydd a doethinep gantho . Y seith pen seith mynydd ydynt , ac yrrein ymaer wreic yn eiste , ymaent hevyd yn seith Brenin .
66:17:010:0	Pymp y syrthioedd ac vn ysydd , ac arall ysydd heb ddyfod etto : a’ phan y ddel ef , rreid yddo parhay ychydic o amser .
66:17:011:0	Ar enifel yr hwn y vu , ac nyd ydiw ys efe ywr wythfed , ac y mae yn vn or seith , ac ef eiff y ðinystraeth .
66:17:012:0	A’r dec corn y weleist , dec Brenin ydynt , yrrein ny chawsont etto vrenhiniaeth , ond hwy gant gallu mal Brenhinoedd mewn vn awr gydar enifel .
66:17:013:0	Yrrein ysydd ar vn meddwl ganthynt , ac hwy rroddant ey gallu , ae awdurdod yr enifel .
66:17:014:0	Yrrein y ymladdant ar Oen , a’r Oen a gorchfyga hwynt : cans ef ydiw Arglwydd arglwyddi , a Brenin brenhinoedd , a’r rrey ysydd ar y rran ef , hwy a elwid ac y ddetholwyd , a’ ffyddlawn ynt .
66:17:015:0	Ac ef y ddwad wrchyf’ , Y dyfroedd y weleist , lle mae’r bytten yn eiste , pobl ydynt , a’ thyrfae , a nasioney ac ieithioedd .
66:17:016:0	A’r dec corn y weleist ti ar yr enifel , yrrei ydynt y gasha y buttein , ac y gwna hi yn vnic ac yn hoeth , ac hwy y vwyttant y chig , ac y llosgant hi a than .
66:17:017:0	Cans Dyw rroedd yny caloney y gyflawni y ewyllys ef , ac y wneithur trwy gyfvndeb , ac y roi y teirnas yr enifel , hed yn gyflewnir ’eiriey Dyw .
66:17:018:0	A’r wreic y weleist , y gaer vawr idiw , yr hon y sydd yn teirnasu ar Brenhinoedd y ddayar .
