66:8:001:1	Pen . viij .
66:8:002:1	1 Bot agori y seithfet sel : bot goystec yn y nef . 6 Y petwar Angel yn canu ei trumpie , a’ phlae dirvawr ar ol hynny yn dyvot ar y ddaiar .
66:8:001:0	APhan y agorassey ef y seythfed sel , yrydoedd gostec yny nef amgylch haner awr .
66:8:002:0	Ac mi weleis y seith Angel , yr rein oyddent yn sefyll gair bron Dyw , a’ seith trwmpet yroedd yddynt .
66:8:003:0	Yno Angel arall y ddoyth ac y safoedd gair bron yr allor , a senser aur gantho , a’ llawer o arogley y rroed yddo ef , y offrymy a gweðie yr oll Seint , ar yr allor aur , yr hwn ydyw gair bron yr eisteddle .
66:8:004:0	A mwg yr erogley ynghyd a gweddie yr Saint , y ddrychafysant gair bron Dyw , o law yr Angel .
66:8:005:0	Ar angel y gymerth y senser , ac y llanwoedd hi a’ than or allor , ac y bwroedd yr ddayar , ac yroydd lleise , a thraney , a’ mellt , a’ chrynfa’r ddayar .
66:8:006:0	Yno y seith Angel , y rrein oeðent ar seith trwmpet ganthynt , y wneythont y hun yn barod y gany’r trwmpedey .
66:8:007:0	Ar Angel cynta y ganoedd y trwmpet , ac yr ydoedd ceseir a’ than , gwedy cymysgu , a gwaed ac hwy y vwrwyd yr ddayar , a’ thrayan y coed y losgwyd , ar holl gwellt glas y losgwyd .
66:8:008:0	Ar eil Angel y ganoedd y trwmpet , a’ bwrw y y wneithpwyd yr mor , mal be bei mynydd mawr yn llosgi a than , a thrayan y mor aeth yn waed .
66:8:009:0	A’ thrayan y creadiried , a’r oyddynt y vyw yny mor , y vyont veyrw a thrayan y llonge y ddinystrwyd .
66:8:010:0	Ar trydeð Angel y ganoedd y trwmpet , a seren vawr y syrthioedd or nef , yn llosgi mal toris , ac ef y syrthioedd y drayan yr afonydd , ac y ffynhoney y dyfroedd .
66:8:011:0	Ac enw’r seren a elwir wermwd : am hyny trydedd ran y dyfredd aethant yn wermod , a llawer o wyr y vyont veirw , o vveith y dyfredd hynny , can ys y gwneythur hwynt yn chwerwon .
66:8:012:0	Ar pedwerydd Angel y ganoedd y trwmpet , a tharo y wneythpwyd trayan yr hayl , a’ thrayan y lleyad , a’ thrayan y ser , nes towylly y trayan hwynt : a’ tharo y wneythpwyd y dydd , mal na alley y thrayan hi goleyo . ac yn yr vn modd y nos .
66:8:013:0	Ac mi edrycheis , ac y glyweis Angel yn hedfan trwy ganol y nef , dan ðwedyd a lleis ywchel , Gwae , gwae , gwae y ddeilied y ddayar , rrac lleisiey ys yn ol y trwmpedey y tri Angel , y rrein oyddent etto y gany‐trwmpede .
