66:14:001:1	Pen . xiiij .
66:14:002:1	1 Rhagorawl compeini yr Oen . 6 Vn Angel yn menegi yr Euangel , 8 Vn arall yn menegi am gwymp Babylon , 9 A’r trydydd yn rhybuddio
66:14:003:1	*
66:14:004:1	cilo
66:14:005:1	ffo rhac y bestvil . 13 Am ddedwyddit y sawl ’sy yn meirw yn yr Arglwydd . 18 Am gynayaf yr Arglwydd .
66:14:001:0	AC mi edrycheis , a’ syna , Oen yn sefyll ar vynydd Sion , a gyd ac ef pedeir mil a seith vgen mil , gan vod enw y dad ef yn escrifenedic yny talceni hwynt .
66:14:002:0	Ac mi glyweis lleis or nef , mal lleis llawer o ddyfroedd , ac mal lleis twrwf mawr : ac mi glyweis lleis telynoriō yn cany ar y telyney .
66:14:003:0	Ac hwy ganyssont mal caniat newydd gair bron y trwn , a chair bron y pedwar enifel , ar henafied , ac ny allei vn‐duyn dyscu y caniat hwnw , ond y pedeir mil a’r seith vgein mil , y rrein y brynwyd or ddayar .
66:14:004:0	Yrrein ydynt y gwyr ar nyd halogwyt a gwragedd : can ys gweryfon ynt : yrrein y ddilynāt yr Oen pa le bynac yr eiff : yrrein y brynwyd oddiwrth y dynion , yn ffrwyth cynta y Ddyw ac ir Oen :
66:14:005:0	Ac ny chafad twyll yn y geneye hwynt : can ys y maent heb gyffeith gair bron trwn Dyw .
66:14:006:0	¶ Ac mi weleis Angel arall yn hedfan trwy ganol y nef , ac Euengel tragywydd gantho , y y bregethy yr rrei oeddent trigadwy ar y ddayar , ac y bob nasion , a’ chenedlaeth , ac ieith , a’ phobl ,
66:14:007:0	Dan dwedyd a lleis ywchel , Ofnywch Ddyw , a’ rrowch anrrydedd yddo ef : can ys , awr y varn ef y ddoyth : ac addolwch yr hwn y wnaeth nef a llawr , a’r mor , a’ ffynhoney y dyfroed .
66:14:008:0	Ac angel arall y ddilynoeð , dan ddwedyd , E syrthiodd , e syrthiodd , Babylon y gaer vawr honno : can ys hi y wnaeth yr holl nasioney yfed o win digofeint y godineb hi .
66:14:009:0	¶ A’r trydedd Angel y dilynoedd hwynt , dan ddwedyd a lleis mawr , Od addola vn duyn yr enifel ae ddelw ef , ac erbyno y nod ef yny dalcen , ney yn y law ,
66:14:010:0	Hwnw y yf o win digoveint Dyw , yr hwn y gymysgwd , o win pur mewn phiol y ddigoveint ef , ac ef y boenyr mewn tan a brymstan yn golwc yr Angylion santaidd , ac yngolwc yr Oen .
66:14:011:0	A’ mwg y poynedigeth hwynt y ddrycha yn dragywydd : ac ny chant orffwysfa na dyð na nos , yrrein y addolant yr enifel , ae ddelw ef , a phwy bynac y dderbyno print y enw ef .
66:14:012:0	Llyma goddefeint y Seint : ll’ym’a r rrei y gadwant gorchmyney Dyw , a’ ffydd Iesu .
66:14:013:0	Ac mi glyweis lleis or nef , yn dwedyd wrthysi , Escrifena , Bendigedic ydynt y meyrw , yrrein ydynt rrac llaw yn meyrw yn yr Arglwydd . Velly y ddwed yr ysbryd : can ys hwy y orffwyssant oðiwrth y llafyr , ae gweithredoedd y dilyn hwynt . Yr Epistol ar ddydd y Meibion gwirion
66:14:014:0	¶ Ac mi edricheis , a’ syna , wybren wen , ac ar yr wybren vn yn eiste yn debic y Mab y duyn , ac ar y ben coron aur , ac yn y law cryman llym .
66:14:015:0	Ac Angel arall y ðoyth allan or deml , dan lefen a lleis ywchel wrth yr vn oedd yn eistedd ar yr wybren Bwrw y mewn dy gryman a meda : can ys amser medi y ddeyth : am vod cynhayaf y ddayar yn ayddfed .
66:14:016:0	A’r vn oedd o eistedd ar yr wybren , y vwroedd y gryman ar y ddayar , a’r ddayar y vedwyd .
66:14:017:0	Ac Angel arall y ddeith allan or dem’l , yr hwn ysydd yny nef , a’ chanto hefyd cryman llym .
66:14:018:0	Ac Angel arall y ddeith allan oðiwrth yr allor , yr hwn oedd a gallu gantho ar y tan , ac y lefoedd a lleis ywchel ar yr vn oedd ar cryman llym gantho , gan ddywedyd , Bwrw y mewn dy gryman llym , a’ chascla vagadey gwinllan y ddayar : cans y maent y grawn hi yn ayddfed .
66:14:019:0	Ar Angel y vwroedd y gryman llym ar y ddayar , ac y doroeð y lawr gwinwydd gwinllan y ddayar , ac y bwroedd hwynt y gerwin gwin vawr digofent Dyw .
66:14:020:0	a phres gwin y gwascwyd allan or gaer , a gwaed y ddeith allan or pres‐y gwin cyfiwch a ffrwyney y meirch cyd ac vncant ar bymthec o gefnei o dir .
