66:3:001:1	Pen . iij .
66:3:002:1	1 Y mae ef yn annoc yr Ecclestdd ai gwenidogion i wir proffessiat ffydd ac y wiliaw , 12 Gyd ac addeweidion ir ei a paraant .
66:3:001:0	AC escrivena at Angel Eglwys ys y yn Sardi , Hyn y ddwed ef ysydd a seith ysbrud Dyw gantho , ar seith seren , Mi adwen dy weithredoedd can ys y may enw genyd dy vod yn vyw , ond yr wyd yn varw .
66:3:002:0	Duhyn a’ chadarnha y gweddillion , ar ydynt yn barod y veirw : can ys ny cheveis i dy weithredoedd yn byrffeith gair bron Dyw .
66:3:003:0	Am hyny cofia , pa beth y dderbyneist , ac y glyweist , a dala yn sicker , ac eteferha . Am hyny , ony byddy yn dduhynol , mi ddof attad mal lleydyr , ac ny chey wybod pa’r awr y dof attad .
66:3:004:0	Eithr y mae genyd ychydyc o enwey eto yn Sardi , yrrein ny halogesont y dillad : a rrei hyny a rrodiant gyda mi mewn dillad gwnion : can ys teylwng ydynt .
66:3:005:0	Yr vn y orfyddo , y dddillatteir mewn dillad gwnion , ac ny ddodaf y enw ef allan o Lyfr y bowyd , ond mi coffessaf y enw ef gair bron vyn had , a’ chair bron y Angelion .
66:3:006:0	Y sydd a chlyst gantho , gwrandawed , pa beth y ddwed yr ysbrud wrth yr Eglwysi .
66:3:007:0	¶ Ac Escrifena at Angel yr Eglwys ys y yn Philadelphia , Hyn y ðwed ef y sydd santeidd a chowir , yr hwn y mae gantho agoriad Dauid , yr hwn agora ac ny chaya neb , ac y gaya ac nyd agora neb ,
66:3:008:0	Mi adwen dy weithredoedd : syna , mi a ddodeis gair dy vron drws agored , ac ny dduchyn neb y chayed hi : can ys y mae genyd ychydic rym a thi y gedweist vyngeir , ac ny wedeist vy Enw .
66:3:009:0	Syna , mi wnaf yddynt hwy o Synagog satan y rrein y galwant y hun yn Iddewon ac nyd ydynt , ond y maent yn gelwyddogion , syna , meddaf , mi‐wnaf yddynt ddyfod ac anrrydeddy gair bron dy draed , a’ chydnabod vy mod yn du garu di .
66:3:010:0	O achos yd gadw geir vyng oddef i , am hyny mi ath cadwa di oddiwrth awr y profedigaeth , yr hon a ddaw ar yr holl vyd , y brofi hwynt ar ydynt yn trigo ar y ddayar .
66:3:011:0	Syna , yr wyf yn dyfod ar vrys , dala’r peth y sydd genyd , rrac y neb gymeryd dy goron .
66:3:012:0	Mi wnaf yr vn y ’orfyddo yn biler yn hemel vy nyw i , ac nyd eiff ef allan rac llaw : ac mi escrifenaf arno ef Enw vy nyw i , ac enw dinas vy nyw i , yr hon ydiw Caersalem newydd , y sydd yn discyn or nef oddiwrth vy nyw i , ac mi scrivennaf arno ef vy Enw newydd i .
66:3:013:0	Y syð a chlyst gantho , gwranandawed pa beth y ddwed yr ysbryd wrth yr Eglwysi .
66:3:014:0	Ac escrifena at Angel Eglwys y Laodiceit , Hyn y ddwad Amen , y tust ffyddlawn a’ chowir , dechreyad creadyrieid Dyw .
66:3:015:0	Mi adwen dy weithredoedd , nyd ydwyd na thwym nac oer : mi vynwn pyt veid yneill aetwym ae oer .
66:3:016:0	Ac am hyny can dy vod yn lled‐twym , ac heb vod nac yn oer nac yn dwym , ’e ddervydd i mi dy chwdy di allan om geney .
66:3:017:0	Can ys yr wyd yn dwedyd , Yr wyf i yn gyvoethoc , a chenyf amlder o dda , ac ny does arnaf eisie dim , ac ny wddost dy vod yn druan ac yn resynol , ac yn dlawd , ac yn ddall , ac yn noeth .
66:3:018:0	Mi gynghoraf ytti bryny genyfi aur puredic trwy dan , mal y gellir dy gyvoethogi , a gwisco amdanad a dillad gwnion , mal ith ymwiscer , ac mal nad ymddangoso cywilydd dy noethter di : ac ira dy olygon ac eli llygeid , mal y gwelych :
66:3:019:0	Yrwyf yn beio ac yn cospi y sawl yr wyf yny garu : am hyny pryssyrgara a gwella .
66:3:020:0	Syna , yrwyf yn sefyll wrth y drws , ac yn taro’r drvvs . O chlyw vn duyn vu lleis ac agoror drws , mi ddaf y mewn atto ef , ac y swppera gydac ef , ac yntey gyda miney .
66:3:021:0	Yr vn y orfyddo , mi rro yddo ef eiste gyda mi yn vy eisteddle , mal y gorvym i , ac eisteddes gyda vynhad yn y eisteddle ef .
66:3:022:0	Y sydd a chlyst gantho , gwrandawed pa beth y ddwed yr ysbryd wrth yr eglwysi .
