66:16:001:1	Pen . xvj .
66:16:002:1	1 Yr Angelon yn tywallt ei phiolae yn llawn digofeint . 6 A’ pha plae ’sy yn dyvot o hyny . 15 Rybudd y ymochelyd a’ gwilied .
66:16:001:0	AC mi glyweis lleis mawr allan o’r deml , yn dwedyd wrth yr seith Angel , Ewch ffwrdd , a’ thywellwch allan seith phiol digovent Dyw ar y ddayar .
66:16:002:0	Ar cynta aeth ac y dywalloedd y phiol ar y ddaiar : a’ chornwyd drwc a’ dolyrys y gwympoedd ar y gwyr ’oedd a nod yr enifel arnynt , ac ar y rrei y addolsant y ddelw ef .
66:16:003:0	Ar eil Angel y dowalloedd y phiol ar y mor , ac ef aeth mal gwaed duyn‐vvedi‐marw , a’ phob peth byw yny mor y vy varw .
66:16:004:0	A’r trydedd Angel y dwaloedd y phiol allan ar yr avonydd a’ ffynoneyr dyfroeð , ac hwy aethont yn waed .
66:16:005:0	Ac mi glyweis angel y dyfroedd yn dwedyd , Arglwydd , Yr wyd yn gyfiawn , yr Hwn wyd , ac yr Hwn y vyost , a’ sancteidd , achos yd varny y pethey yma .
66:16:006:0	Cans hwy gollasant gwaed y Seint , a’ phroffwydi , ac am hyny ti y rroddeist yddynt gwaed y yfed : cans teilwng yddynt y hynny .
66:16:007:0	Ac mi glyweis arall or Cysegr yn dwedyd , Iey , Arglwydd Ddyw hollallyawc , cywir a’ chyfiawn ydynt dy varney di
66:16:008:0	A’r pedwerydd Angel y dwalloedd allan ei phiol ar yr haul a gallu y rroed yddo y poeni dynion trwy wres tan ,
66:16:009:0	A’r dynion y aent yn boeth can wres mawr , ac y ddwedasant ddrwc am enw Dyw , oedd a meddiant gantho ar y plae hyn , ac ny chymersont eteyfeirwch y rroi gogoniant yddaw .
66:16:010:0	A’r pymed Angel y dwalloedd y phiol allan ar eisteddle yr enifel , ae deirnas ef aeth yn dywyll , a’ chnoi y wneythont y tafodey gan ddolyr ,
66:16:011:0	A’ difrio y wneythont Dyw or nef gan y poenae , a chan y cornwydon , ac ny chymersant eteifeyrwch am y gweithredoedd .
66:16:012:0	A’r chweched Angel y dywalloedd allan y phiol ar yr afon vawr Euphrates , a’r dwr o honi y sychoedd y vynydd , mal y gellid parottoi ffordd Breninoedd y Dwyren .
66:16:013:0	Ac mi weleis tri ysbryd aflan yn debic y ffrogaed , yn dyfod allan o eney’r dreic , ac allan o eneyr enifel , ac allan o eney’r proffwydi ffeilston .
66:16:014:0	Canys ysbrydion cythreyled ydynt , yn gwneythyr gwrthiey , y vynd at Vrenhinoedd y ddayar , a’r holl vyd , y cascly hwynt y ryfel y dydd mawr hwnw y bie Dyw hollalluawc .
66:16:015:0	Syna , yr wyf yn dyfod mal lleidyr , Bendigedic ywr vn y wilio ac y gatwo y dillad , rrac yddo rrodio yn hoeth , a rrac gweled y vrynti ,
66:16:016:0	Ac hwy ymgynyllasant ynghyd y le y elwir yny’r Ebryw , Arma‐gedon .
66:16:017:0	¶ A’r seithfed Angel y dwalloedd allan y phiol ir awyr : a ’lleis ywchel y ddeyth allan o deml y nef oddiwrth yr eisteddle , yn dwedyd , Ef y dderfy .
66:16:018:0	Ac yr oeð lleisiey a thraney , a’ mellt ac yroedd crynfa vawr y ddayar , cyfryw na by er pen mae dynion ar y ddayar , crynfa’r ddayar cyment .
66:16:019:0	A’ rrany y wneithpwyd y gaer vawr yn deir ran , a’ syrthio wneithont ceyrydd y nasioney : a’ Babylon vawr y ðeyth mewn cof gair bron Dyw , y rroi yddi cwppan gwin digofeint y lid ef .
66:16:020:0	A’ phob ynys y ffoedd ymaith , ac ny chad cvvrdd ar mynydde .
66:16:021:0	A chwympo y wnaith cenllys mawr , mal pwyse , or nef ar y dynion , a’r dynion y rregasant Ddyw , am plaae yr cenllys : can ys mawr anianol oedd y phla hi .
