66:7:001:1	Pen . vij .
66:7:002:1	4 , 9 Gweled y mae ef wasanaethwyr Dyw wedl eu selio yn ei taleu o bop nasion a phoploedd , 15 Yr ei cyd bont yn dyoðef trwbl , er hyny y mae yr Oen yn y bwydo hwy , yn eu harwain i ffynnoneu dwfr byw , 17 A’ Duw a sych ymaes yr oll ddaigreu y ar y llygait .
66:7:001:0	AC yn ol hyn , mi weleis pedwar Angel yn sefyl’ ar bedwar cornel y ddayar , yn dala pedwar gwynt y ddayar , rrac yr gwynt chwthy ar y ddayar , nac ar y mor , nac ar vn pren .
66:7:002:0	Ac mi weleis Angel arall yn dyfod y vynydd o ddiwrth y Dwyrein , ac yr rydoedd sel Dyw byw gantho , ac ef y lefoedd a lleis ywchel ar y pedwar Angel y rrein y rroyspwydd gallu y ddrygu’r ddayar , a’r mor ,
66:7:003:0	Dan ddwedyd , Na ddrygwch y ðayar , na’r mor , nar coed , nes yni sely gwasnaethwyr yn Dyw ni yn y talceni .
66:7:004:0	Ac mi glyweis rrif y rrei y selwyd , ac yroydent gwedy sely pedeir a seith vgeinmil o holl cenedlaythey meybyon yr Israel .
66:7:005:0	O genedyl Iuda ef y selwyd doyddeng mil . O genedyl Ruben ef y selwyd doyddengmil . O genedyl Gad ef yselwyd doyddengmil .
66:7:006:0	O genedyl Aser ef y selwyd doyddengmil . O genedyl Nephtalei ef y selwyd doyddengmil . O genedyl Manasses ef y selwyd doyddengmil .
66:7:007:0	O genedyl Simeon ef y selwyd doyddengmil . O genedyl Leui ef y selwyd doyddengmil . O genedyl Issachar , ef y selwyd doyddengmil . O genedyl Zabulon ef y selwyd doyddengmil .
66:7:008:0	O genedyl Ioseph , ef y selwyd doyddengmil . O genedyl Ben‐iamyn ef y selwyd doyddengmil .
66:7:009:0	Yn ol hyn mi edrycheis , a’ syna rrif mawr , yr hwn ny alley neb y rrifo , or holl nasioney a’ chenedlaythey , a’ phobloedd , ac ieythoedd , yn sefyll gair bron yr eisteddle , a’ chair bron yr Oen , a gowney gwnion hirion amdanynt , a’ phalmwydd yny dwylaw .
66:7:010:0	Ac hwy y lefasont a lleis y wchel , dan ddwedyd , Cadwedigaeth sydd yn dyfod oddiwrth yn Dyw ni , ysydd yn eistedd ar yr eisteðle , ac oddiwrth yr Oen .
66:7:011:0	Ar holl Angelion y safasant ogylch yr eisteddle , ac ogylch yr henafied , ar pedwar enifel , ac hwy syrthiasant gair bron yr eisteddle ar y hwynebey , ac anrrydeddasant Ddyw ,
66:7:012:0	Dan ðwedyd , Amen . Moliant a’ gogoniant , a’ doethinep , a diolch , ac anrrydeð , a’ gallu , a’ nerth , y vo yn Dyw ni yn dragywydd , Amen .
66:7:013:0	Ac vn or henafied a chwedleyawdd , dan ðwedyd wrthyf , Pwy ydynt y rrei hyn , ysyð a gowney gwnion hirion amdanynt ? ac o pa le y ðaythont ?
66:7:014:0	Ac mi ddwedeis wrtho ef , Arglwydd ti wddost . Ac yntey y ddwad wrthyf i , Yrrein yddynt y rrei y ddaythont allan o drafael mawr , ac y olchasont y gowne‐hyrion , ac y wneythont y gowney‐hyrion yn wnion yn gwaed yr Oen .
66:7:015:0	Am hyny y maent gair bron eisteddle Dyw , ac yny wasnaethy ef yn demel dydd a nos , ar vn ysyð yn eiste ar yr eisteddle , y dric yn y plith hwynt .
66:7:016:0	Ny vyð arnynt newyn mwy , na syched mwy , ac ny ddeyl yr haul arnynt , na dim gwres .
66:7:017:0	Cans yr oen , yr hwn ysydd yn chanol yr eisteddle , y rreola hwynt , ac y towys hwynt at y ffynhoney byw o ddyfroedd , a’ Dyw y sych yr holl ðeigrey o ddiwrth y llygeid .
