66:4:001:1	Pen . iiij .
66:4:002:1	1 Gweledigeth mawredigrwydd Dew . 2 Y mae ef yn gweled y tron , ac vn yn eistedd arnaw , 8 A’ 24 : eisteddva oi amgylch a’ . 24 : henafgwyr yn eistedd arnwynt , a’ phedwar aninal yn moli Dew ddydd a’ nos .
66:4:001:0	GWedy hyn mi edrycheis , a’ syna , y rydoeð drws yn ogored yn y nef , ar lleis cynta y glyweis , oedd mal lleis trwmpet yn cwhedlea a mi , dan ddywedyd , Dabre y vynydd yma , a mi ddangosaf ytti y pethey y orfydd yw gwneithr rrac llaw .
66:4:002:0	Ac yn y man y royddwn yn yr ysbrud , a syna , ve ddodwyd eisteddle yn y nef , ac ve eisteddoydd vn ar yr eisteddle .
66:4:003:0	Ar vn y eisteddoedd , oedd yw edrych arno , yn debic y garec iaspis , a’ charec sardin , ac envys oedd gylch ogylch yr eisteddle yn debic yr olwc arno y garec smaragdus .
66:4:004:0	Ac ynghylch yr eisteddle yr oedd pedwar eisteddle a rrigein , ac mi a weleis ar yr eisteddleoedd yn eiste pedwar a rrigein o henafieid , a dillad gwnion amdanynt , a choraney aur ar y penney .
66:4:005:0	A’ mellt a thraney , a lleisiey , y ddoethant allan or eisteddle , a saith lamp o dan oeðent yn llosgi gair bron yr eisteðle : yrrein ydynt seith ysbrud Dyw .
66:4:006:0	Ac yn golwc yr eisteddle yr ydoedd mor o wydr yn debic y vaen cristal : ac ynchanol yr eisteddle , ac ynghylch yr eisteddle y royddent pedwar enifel yn llawn o lygeid ym’laen ac yn ol .
66:4:007:0	Ar enifel cyntaf cynhebic yllew ydoeð , ar eil enifel yn debic y lo , ar trydedd oedd ac weyneb gantho mal vvynep duyn , ar pedwaredd enifel oedd yn debic y eryr yn hedfan .
66:4:008:0	Ac yroedd y bob vn or pedwar enifel chwech o adeinedd gylch ogylch yddynt , a’ rreini yn llawn llygeid otyfewn ac nyd odddent yn gorffowys dydd na nos , yn dwedyd , Sancteidd , sancteidd Sancteidd Arglwydd Ddyw , hollalluawc , yr hwn y Vu , ac y Sydd , ac Ys ydd ar ddyvot .
66:4:009:0	A’ phan rroyssont y nefeylied hynny gogoniant ac anrrydedd , a’ diolch ir yr hwn oeð yn eistedd ar yr eisteddle , yr hwn y sydd yn byw yn dragywydd .
66:4:010:0	Y pedwar ar rigein o henafied y syrthiasant gair bron yr vn oedd yn eistedd ar yr eisteddle , ac a anrrydeddasont ef , y sydd yn byw yn dragywyð , ac y vwrasont y coronae gair bron yr eisteðle , dan ddywedyd ,
66:4:011:0	Teylwng wyd , Arglwydd , y dderbyn gogoniant ac anrrydedd , a’ gally : cans ti y creest pop peth ac er mwyn dy ewyllys di y maent , ac y crewyd .
