66:2:001:1	Pen . ij .
66:2:002:1	1 Y mae ef y cygori pedeir Eccles , 5 I ’diweirwch , 10 I barhau , dyoddefgarwch ac amendaat , 5 , 14 , 20 , 23 yn gystal trwy vygwth , 7 , 10 , 17 , 26 Ac addeweidion gobrwy .
66:2:001:0	EScryvena at Angel Eglwys Ephesus , Hyn y may ef yn dywedyd y syð yn dala y seith seren yn u law ddehe , ac y syð yn treiglo yn chanol y seith canwyllbrē aur .
66:2:002:0	Mi adwen du weithredoedd , ath travael , ath goddef , ac na elly cyd ddwyn ar rrei drwc , ac y holeist hwynt ysydd yn dywedyd y bod yn Ebostolion , ac nyd ydynt , ac y gefeist hwynt yn gellwddoc .
66:2:003:0	A thi oddefeist , ac yr wyd yn oddefgar , ac y dravaeleist yr mwyn vu enw i , ac ny ddyffigieist .
66:2:004:0	Ac er hynny y may genyf peth yth erbyn , am yt ymadel ath cariad cyntaf .
66:2:005:0	Meddylia , am hyn , o pa le y cwympeist , ac etiverha , a gwnar gweithredoedd cynta : ac onys gvvnei mi ddof ar vrys yth erbyn , ac y symydo dy ganwyllbren allan oy le , any wellhey .
66:2:006:0	Ond hyn y sydd genyt , achos yt cashay gweythredoedd y Nicolaitait , y rrein yr wyf vi hevyd yny cashay .
66:2:007:0	Y sydd a chlyst gantho , gwrandawed , pa beth y ddwed yr ysbryd wrth yr Eglwysi , Ir gorchtrechwr , y rrof vwytta or pren y bywyd , yr hwn y sydd yn chanol paradyvys Ddyw .
66:2:008:0	¶ Ac escrifena at Angel Eglwys y Smyrniaid , Hyn y ðywed ef y sydd gyntaf a’ ddiwethaf , Yr hwn y vy varw ac y sydd vyw .
66:2:009:0	Mi adwen dy weythredoedd , ath travael , ath tlodi ( eithr yr wyd yn gyvoethoc ) ac mi advven enllib melleigedic yr rein ydynt yn dywedyd y bod yn Iddewon ac nyd ydynt , ond y maent yn Synagog Satan .
66:2:010:0	Nac ofna ddim or pethey y orvydd yd y oddef : synna , e ddervydd y bwrw y cythrel rrei o hanoch chwi y garchar , mal y gellyr ych profi , a’ chwi a gewch travayl deng niwrnod : bydd ffyddlawn hed myrvolaeth , a mi y rrof ytti coron y bowyd .
66:2:011:0	Ysydd a chlyst gantho , gwrandawed pa beth y ddwed yr ysbryd wrth yr eglwysi , Ny chlwyfir y gortrechwr gan yr eil marvolaeth .
66:2:012:0	Ac Escrifena at Angel Eglwys Pergamus , Hyn ymay ef yny Ddwedyd y sydd ar cleddey llym day vinioc .
66:2:013:0	Mi adwen dy weithredoedd ath trigadle ’sef lle may eiteddley Satan , a thi y gedweist vy Enw i , ac vy ffudd i nys gwedeist , ac yn y dyddiey pan las vu ffuðlon merthyr Antipas yn ych plith chwi , lle may Satan yn drigadwy .
66:2:014:0	Eithr y may genyf ychydicion yth erbyn , cans y may yno genyd rrei yn dala dysc Balaam , yn yr hwn y ddyscoedd Balac , y vwrw plocyn tramcwyddys gar bron meibion yr Israel , er yddynt vwytta or pethey y aberthwyd u ddelwey , a godineby .
66:2:015:0	Velly hefyd y may genyd rrei yn dala dusc y Nicolaitait , yr hyn yr wyfi yn y gasay .
66:2:016:0	Etifarha , ac onys gvvnei , mi ddof attad ar vrys , ac a ymlaðaf yn y erbyn hwynt a chleddey vy vy‐geney .
66:2:017:0	Ysydd a chlyst gantho , gwrandawed pa beth y ddwed yr ysbrud wrth yr Eglwysi , Yr gortrechwr , mi rrof y vwytta or Manna ysydd gyddiedic , ac mi rrof yddo ef garec wen , ac yn u garec enw newydd yn escrivenedic , yr hwn ny adnebydd neb , ond ae herbyno .
66:2:018:0	¶ Ac escrivena at Angel Eglwys Thyateira , Hyn y may Mab Duw yny ddwedyd , ysydd ae lygeid mal fflam dan , ae draed mal pres‐pur .
66:2:019:0	Mi adwen dy weythredoedd ath cariad , ath wasanaeth , ath ffydd , ath goddeviad , ath weithredoedd , a’ bot y diwethaf yn rragori ar y cyntaf .
66:2:020:0	Eithr ymae genyf ychydic bethe yth erbyn , am yd goddef y wreic hono Iezabel , yr hon ysydd yn galw y hyn yn broffwydes , y ddusgy ac y dwyllo vyngwasnaethwyr i y beri yddynt godyneby , ac y vwytta bwydydd gwedy y aberthy y ddelwey .
66:2:021:0	Ac mi a rroyssym amser yddy y etiferhay am y godinep , ac ny chymerth hi etifeyrwch .
66:2:022:0	Syna , mi a bwraf hi ywely , ar sawl a wnāt odineb gyd a hi , y gospedigaeth mawr , onyd etiferhant am gweithredoedd .
66:2:023:0	Ac mi ladda y phlant a myrfolaeth : ar holl Eglwysi y gydnabyðant mae mi wyf yr hwn y chwhilia y ’rrennae ar caloney : ac mi a rrof y bob vn o hanoch yn ol ych gweithredoedd .
66:2:024:0	Ac y chwi y dwedaf , y gweddillion Thyateira , Ysawl bynac na does ganthynt y ddusc hon , ac ny adnabyont dyfnder Satan ( mal y dwedant ) ny ddodaf arnywch beych arall .
66:2:025:0	Ond y peth yssydd genywch eisus , delwch yn dda hed yn ’ddelwyf .
66:2:026:0	Can ys yr vn y orfyddo ac y gatwo vyngweithredoedd hed y diwedd , mi a rroddaf yddo ef gallu ar genetloedd ,
66:2:027:0	ac ef a rriola hwynt a gwialen hayarn , ac hwynt a ddryllir mal llestri pridd . Ac yny modd y dderbynes i gan vyn had ,
66:2:028:0	velly y rroddaf i yddo ef y seren vorey .
66:2:029:0	Sydd a chlyst gantho , gwrandawed pa beth y ddwed yr ysbryd wrth yr Eglwysi .
