66:11:001:1	Pen . xj .
66:11:002:1	1 Mesuro ’r templ . 3 Cyuodi dau test y gan yr Arglwydd , a’i lladd y gan y bestvil , 11 Eithyr gwedy hyn y ei derbyn y’ ogoniant . 15 Derchafel Christ , 16 A’ moli Dew y gan . 24 : henaif .
66:11:001:0	YNo yroed corsen y mi , yn debic y wialen , ar Angel y safoedd gair vy llaw , ac y ddwad , Cyfod , a’ mesyr temel Ddyw a’r allawr , ar rei ydynt yn addoli yndi hi .
66:11:002:0	Ar cyntedd yssydd or ty allan yr demel , bwrw allan , ac na vesyr ef : canys ef y rroed yr Cenetloedd , ac hwy y sathrant dan draed y dinas santeidd doy vis a deigen .
66:11:003:0	Ac mi rrof‐allu ym doy dyst , ac hwy y prophwydant mil o ðiwarnodey a thrigen a doycant , gwedy ey ymwisco a llien‐sache .
66:11:004:0	Yrrein ydynt y ddwy bren‐olif : ar doy canwylbren , yn sefyll gair bron Dyw’r ddayar .
66:11:005:0	Ac os ewyllysa vn y clwyfo hwynt , y mae tan yn mynd allan oe geneye ynthwy , ac y ddinystr y digasogion : ac os ewylllysa vn duyn y clwyso hwynt , mal hyn y lleddir ef .
66:11:006:0	Gallu y sydd gan yrrein y gayed y nef , rrac’ yddi’lawio yn nyddiey y pryffodolaeth hwynt , a’ gallu y sydd ganthynt ar y dyfroedd y troi hwynt yn waed , ac y daro’r ddayar a phob pla , cyn vynyched ac y mynnont .
66:11:007:0	A’ phan ddarffo yddynt cwplay y tustolaeth , yr enifel y ddaw allan or pwll heb waylod , y rryfela yny herbyn hwy , ac y gortrecha hwynt , ac y lladd hwynt .
66:11:008:0	Ae cyrff hwynt y orwedd ar heolydd y dinas vawr , yr hon y elwir yn ysbrydawl Sodoma ac Eifft , lle ac y croeshoylwyd yn harlgwydd ni .
66:11:009:0	Ac vvy or bobloedd , ar genedlaythey , ar ieithoedd , ar Cenetloedd y welant y cyrff hwynt tridie y a’ haner , ac ny ddioddefant rroi y cyrff hwynt mewn beddey .
66:11:010:0	Ar rrei ydynt yn trigo ar y ðayar , y lawenhant arnynt hwy , ac y vyddant siriys , ac y ddanfonant rroddion pawb at y gilydd : cans y ddoy broffwyd yma , y anesmwythoedd ar y rrei oyddent yn trigio ar y ddayar .
66:11:011:0	Ac yn ol tridiey a haner , ysbryd y bowyd o ddiwrth Ddyw , aa ymewn yndynt hwy , ac hwy safant ar y traed : ac ofn mawr y syrth ar y rrei y gwelas hwynt .
66:11:012:0	Ac hwy glywont lleis mawr o’r nef , yn dwedyd wrthynt . Drychefwch yma . Ac hwy ddrychasont yr nef mewn wybren , ae digassogion hwynt y gwelsant hwy .
66:11:013:0	Ac yn yr awr hono yrydoedd crynva vawr ar y ddayar , ar ðecfed rran or dinas y syrthioedd y lavvr , a’ seith mil o wyr y las yn chrynfar ddaya’r : a’r gweddilion a ofnasant ac y rroysont ’ogoniant y Ddyw nef .
66:11:014:0	Yr eil gwae aeth hebio , a’ syna , y trydedd gwae y ddaw ar vrys .
66:11:015:0	A’r seithfed Angel y ganoedd ar trwmpet , a lleisey mawr y wneythpwyd yn y nef , dan dwedyd , Yn harglwydd ni ae grist ef y pieffant tyrnasoedd y bud hwn , ac ef y dyrnassa yn oes oesoedd . Amen .
66:11:016:0	A’r pedwar ar ygen o henafied , yr rein y eisteddent ar y cadeyre gair bron Dyw y syrthiasant ar y hwynebey , ac addolasant Ddyw ,
66:11:017:0	Dan ddwedyd , Yrydym yn diolch ytti , Arglwyð Ddyw hollallyawc , yr Hwn wyd , yr Hwn oyddyd , ac yr Hwn y ddaw : cans ti dderbyneist dy ally mawr , ac y deyrnaseist .
66:11:018:0	Ar Cenetloeð y lidiasant , ath lid ti y ddeyth , ac amser y varny’r merw , ac y yrroi gobrwy yth wasnaethwyr , y prophwydi , a’r Seinct , ac yr rrei y ofnoedd dy Enw , bychein , a’ mawr , ac bot yty golli y rrein , ar ydynt yn dinystr y ddayar .
66:11:019:0	A themel Dyw oeð yn agored yn y nef , ac arch y Testament ef y welspwyd yny demel , ac yroyddent mellt , a’ lleisiey , a’ tharaney , a chrynfa’r ddayar , a chenllysc mawr .
