66:10:001:1	Pen . x .
66:10:002:1	1 Bot y llyver yn agoret gan yr Angel . 6 Tyngu y mae ef na bydd mwy amser . 9 Rhoi y mae ef y llyfr i Ioan , yr hwn ys ydd yn ei vwyta .
66:10:001:0	AC mi welais Angel cadarn arall yn discyn or nef , gwedy ðillaty or wybren , ac envys ar y ben , ac y wyneb ef ydoeð mal yr haul , ae draed ef oeddent mal pilerey tan .
66:10:002:0	A Llyvr bychan oedd yn agored yny law ef , ac ef y rroedd y droed ddehe ar y mor , ae droed assey ar y ddayar ,
66:10:003:0	Ac ef y lefoedd a lleis ywchel , mal by bei llew yn rryo : a’ gwedy darfod yddo lefein , y seith twrwf y wneythont y lleisey .
66:10:004:0	A’ gwedy darfod yr seith twrwf gwneythyr y lleysiey , yroeddwn ar veder scryvenny : ac my glyweis lleis or nef yn dwedyd wrthyf’ , Sela’ r pethey y leisoedd y seith twrwf , ac na scryvenna hwynt .
66:10:005:0	A’r Angel yr hwn y weleis i yn sefyll ar y mor ac ar y tir , y dderchafodd ey law yr nef ,
66:10:006:0	Ac y dyngodd mewn yr vn ysydd yn byw yn dragowydd , yr hwn y creoedd y nef , ar pethey ydynt ynddo ef , ar ddayar ar pethey ydynt ynðy hi , ar mor ar pethey ydynt ynddo ef , na vyddey Amser rrac llaw .
66:10:007:0	Ond yn nyddiey lleis y seithfed Angel , pan ðechreyo ef gany ar trwmpet , ddyweddy y wneir dirgelwch Ddyw , mal y ddatcanoedd ef yddy wasnaethwyr y proffwydi .
66:10:008:0	Ar lleis y glyweis or nef , y chwedleyoedd eilweith a mi , ac y ddwad , Cerdda , cymer , y llyfyr‐bechan ysydd yn llaw’r Angel , yr hwn ysydd yn sefyll ar y mor ac ar y tir .
66:10:009:0	Ac mi eythym at yr Angel , dan ddwedyd wrtho , Dyrro y mi y Llyfr‐bychan . Ac ynte y ddwad wrihyfi , Eymer , a llynca ef ac ef , y cwherwa dy vola di , ond ef y vydd melys yn dy eney di mal mel .
66:10:010:0	Ac mi y gymereis y llyfr‐bychan o law yr Angel , ac y llynceis ef , ac yrydoedd ef yn velys yn vyngeney megis mel : a’ chwedy y mi lynky ef , vy mola y cwherwoedd .
66:10:011:0	Ac ef y ddwad wrthyf , Reid yd proffwydo eilweith ymysc y bobloedd , ar nassioney , a’r ieithioedd , ac y lawer o Vrenhinoedd .
