66:19:001:1	Pen . xix .
66:19:002:1	1 Roi moliant y Ddew am varnu ’r putein , ac am ddial gwaed ei weision . 10 Ny vynn yr Angel ei addoli . 17
66:19:003:1	Galw ’r ehediait a’r adar i’r lladdfa .
66:19:001:0	AC yn ol hyn , mi glyweis lleis ywchel gan dyrva vawr yny nef , yn dwedyd , Hallelu‐iah , iechyd a’ gogoniant , ac anrrydedd , a’ gallu y vo yr Arglwydd yn Dyw ni .
66:19:002:0	Cans cywir a’ chyfiawn ydynt y varney ef : cans ef y varnoedd y byttein vawr , yr hon y lygroedd y ddayar ae godineb , ac y ddialoedd gwaed y weison y gollvvyd gan y llaw hi .
66:19:003:0	Ac eilwaith hwy ddwedasant , Hallelu‐iah : ac y mwg hi y drychafoedd yn dragywydd .
66:19:004:0	Ar pedwar arygen o henafied , ar pedwar enifel y syrthiasant y lavvr , ac addolasant Ddyw , oedd yn eistedd ar yr eisteddle , dan ddwedyd , Amen , Hallelu‐iah :
66:19:005:0	A’ lleis y ddoeth allan o’r eisteddle , yn dwedyd , Molianwch yn Dyw ni , y holl weision , ar rrei ydych yny ofni ef bychein a’ mawrion .
66:19:006:0	Ac mi glyweis lleis mal tyrva vawr , a’ mal lleis llawer o ddyfroedd , ac mal lleis taraney cedyrn , yn dwedyd Hallelu‐iah : can ys yn Arglwydd Ddyw hollalluawc a deyrnasoedd .
66:19:007:0	Gwnawn yn llawen a llawenychwn , a ’rroddwn gogoniant yddo ef : achos dyfod priodas yr Oen , ae wreic ef y ymbarattoedd .
66:19:008:0	A’ chanattay y wneithpwyd yði , ymwisco a llien‐mein pur a’ dysclaer : can ys y llien‐mein ydiw cyfiawnder y Saint .
66:19:009:0	Ac ef y ddwad wrthyf , Esgrivenna , Bendigedic ynt y rrei y elwyr y wledd priodas yr Oen . Ac ef y ddwad wrthyf , Y geiriey hyn y Ddyw ydynt gywir .
66:19:010:0	Ac mi syrtheis gair bron y draed ef , y addoli ef : ac ef y ddwad wrthyf , Gwyl rrac gwneythur hynny : yr wyfi yn gydwasnaethwr a thi , ac vn oth vrodyr , ysydd gantynt testolaeth y Iesu , addola Ddyw : can ys tustolaeth y Iesu ydiw ysbryd y bryffodolaeth .
66:19:011:0	Ac mi weleis y nef yn agored , a’ syna march gwyn , ar vn y eisteddoedd arno , y elwid , Fyddlawn a’ chowir , ac y mae ef yn barny ac yn ymlað yn gyfiawnder .
66:19:012:0	Ae lygeid ef oeddent mal flam dan , ac ar y ben ef oeddent llawer o goraney : ac yr ydoedd gantho enw yn escrivenedic , yr hwn ny adnaby neb ond ef y hun .
66:19:013:0	Ac ef y ddillattawd a gwisc gwedy taro mewn gwaed , ae enw ef y elwir GAIR DYW .
66:19:014:0	A’r llyeddvvyr oeddent yny nef , y ddilinasont ef ar veirch gwnion , gwedy ymwisco a llien‐mein gwyn glan
66:19:015:0	Ac oy eney ef yr aeth allan cleddey llym , y daro ac ef , yr cenedloedd : can ys ef y rriola hwynt a gwialen hayarn , ac ef yw yr hwn y sydd yn sathry y winwasc ddigofent , a’ llid Dyw hollalluawc .
66:19:016:0	Ac y mae gantho yny wisc , ac ar y vorddwyd enw escrivenedic , BRENIN Y BRENHINOEDD , AC ARGLWYDD YR ARGLWYDDI .
66:19:017:0	Ac mi weleis Angel yn sefyll yny’r haul , ac yn llefen a lleis ywchel , dan ddwedyd wrth yr holl adar oeðent yn hedec trwy ganol y nef , Dowch , ac ymgynyllwch ynghyd at swper y Dyw mawr ,
66:19:018:0	Mal y galloch vwytta cig Brenhinoedd , a’ chig pen captenied , a chig gvvyr cedyrn a’ chig meirch , ar rrei ydynt yn eiste arnynt , a chig gvvyr rryddion a’r ceithon , a’ bychein a’ mawrion .
66:19:019:0	Ac mi weleis yr enifel , a brenhinoedd y ddayar , ae rryfelwyr gwedy ymgynyll ynghyd y ryfely yny erbyn ef , oedd yn eiste ar y march ac yn erbyn y vilwyr .
66:19:020:0	Ond yr enifel y ddalwyd , ar proffwyd falst ynghyd ac ef yr hwn y wnaeth gwrthiey gair y vron ef , trwyr rrein y siomoedd ef hwynt y dderbynasant nod yr enifel , ar rrei addolasant y ddelw ef , Y ddoy yma y vwriwyd yn vyw yr pwll tan yn llosgi a brymstan .
66:19:021:0	A’ relyw y las a chleddey’r vn ys ydd yn eistedd ar y march , yr hwn gleddey ’sy yn dyvot allan oe eney , ar holl adar y lenwid yn llawn oe cic hvvy .
