66:9:001:1	Pen . ix .
66:9:002:1	1 Y pempet ar chwechet Angel yn canu ei trwmpie : y seren yn cwympo or nef . 3 Y locustae yn yn dyvot allan or mwg . 12 Bot y gwae cyntaf gwedy mynet heibio . 14 Darvot gellwng yn rhyð y petwar Angel y oeðent yn rwym , 18 A’ lladd y drydedd ran y dynion .
66:9:001:0	AR pymed Angel y ganoeð ar trwmped , ac mi welais seren yn cwympo or nef yr ddayar , ac yddo ef y rrowd agoriad y pwll heb waylod .
66:9:002:0	Ac ef agoroð y pwll heb waylod , a’ mwg y gyfodoedd or pwll , mal mwg ffwrneis vawr , ar haul , a’r wybr y dywyllwyd gan mwg y pwll .
66:9:003:0	A’ locustae y ddeythont ar y ddayar or mwg allan , a gallu y rroet yddynt hwy , mal y may gallu gan scorpionae y ddayar .
66:9:004:0	A’ gorchymyn y rroed yddynt , na waethent gwellt y ddayar , na dim glas , nac vn pren : ond yn inyc y dyniō oyðent heb sel Ddyw yny talceni .
66:9:005:0	A’ gorchymyn y rroed yddynt na ladden y rreini , ond yddynt anesmwytho arnynt pym mis a’ bod poen y hwynt mal poen y vei o vvaith scorpion , pan darfyddei yddo brathy duyn .
66:9:006:0	Ac yn dyddiey hyny y dynion y geisiant marfolaeth , ac ny chywrddant a hi , ac y chwenychant veirw a marfolaeth y gila rracddynt .
66:9:007:0	A’ llyn y lacustae oedd debic y veirch gwedy paratei y rryvel , ac yr oedd ar y peney mal coronae yn debic y aur ae , hwynebey hwynebe yn debic y dynion .
66:9:008:0	A’ gwallt oedd ganthynt , mal gwallt gwrageð , ae danedd oeddent mal damedd llewod .
66:9:009:0	Ac yr oedd ganthynt lurigae , mal llurigae haiarn : a lleis y hadeynedd oedd debic y leis siaredey yn rredec gan lawer o veirch y rryfel .
66:9:010:0	A’ chynfonney oedd yddynt , mal y scorpionae , ac yny cynffoney y rroeddent conynney , ae meddiant hvvynt oedd y ddrygu dynion pym mis .
66:9:011:0	Ac y mae ganthynt vrenin arnynt , yr hwn ydiw Angel y pwll heb waylod , ae euw ef yn Ebryw ydyvv Abaddon , ac yn‐gryw ef y enwyr , Apollyoon .
66:9:012:0	Vn gwae aeth heybio , a’ syna , y may doy wae yw ddyfod rrac llaw .
66:9:013:0	¶ Ar chweched Angel y ganoedd y trwmpet , ac mi glyweis lleis oddiwrth pedwar corn yr allor aur , y sydd gayr bron Dyw ,
66:9:014:0	Yn dywedyd yr chweched Angel , oeð ar trwmpet gantho , Gillwng y pedwar Angel , y rrein ydynt yn rrwym yn yr afon vawr Euphrates .
66:9:015:0	Ar pedwar Angel y ellyngwyd , y rrein y ymbarattowdd yn erbyn awr , yn erbyn diwrnod , yn erbyn mis , ac yn erbyn blwyddyn y ladd trayan y dynion .
66:9:016:0	A’ rrif gwyr meyrch y llu , oedd igeyn mil o weithiey deng mil : can ys mi glyweis y rrif hwynt .
66:9:017:0	Ac mal hyn y gweleis i y mairch mewn gweledigaeth , ac yr rydoedd gan rrei oeddent yn eiste arnyt , lurigae tāllyd , ac o livv’r hyacinct a brwmstan , a’ pheneyr mairch oeddent megis penney llewod : ac yn mynd allan oe geneye , tan a’ mwg a’ brwmstan ,
66:9:018:0	A’ thrayan y dynion y las gan y tri yma , ’sef gan y tan ar mwg , a’r brwmstan , y rrein y ðoyth allan oe geneue hwynt .
66:9:019:0	Can ys y gallu hwynt ’sydd yn y geneyey , ac yny cynffoney : can ys y cynffoney hwynt oeddent debic y seirph , a pheney ganthynt , ar rrei hyn yrroeddent yn drygu .
66:9:020:0	A’ relyw or dynion ny las gan y plae hyn , ny chymersont etyfeyrwch am weithredoedd y dwylaw y beydiaw ac addoli cythreylied , a delwey aur ac arian , a’ phres , a’ mein , a’ phrene , yrren ac ny allant gweled , na chlywed na cherdded .
66:9:021:0	Ac ny chymersont hevyd etifeyrwch , am y mwrddwr , nae y cyfareddion , nae y godineb , nae y lledradeu .
