66:5:001:1	Pen . v .
66:5:002:1	1 Gweled y mae ef yr Oen y agori ’r llyver . 8 , 14 : Ac am hyny y mae y petwar aniuail , y 24 : henafwyr , a’r Angelon yn moli yr Oen , at yn ei addoli 9 Am eu prynedigeth a’u cedion eraill .
66:5:001:0	AC mi a weleis mewn llaw ddehe yr vn oedd yn eiste ar yr eisteddle , Llyfr escrivenedic or ty vewn , ac or tu allan , gwedy sely a seith sel .
66:5:002:0	Ac mi a weleis Angel cadarn yn pregethy a lleis ychel , Pwy sy deilwng y agoryd y Llyfr , ac y ðatdod y seley ef ?
66:5:003:0	Ac ny doedd neb yn y nef , nac yn y ddayar , na than y ddayar , yn abyl y agoryd y Llyfr , nag y edrych arno .
66:5:004:0	Ac yno mi wyles llawer , o achos na chad neb yn deilwng y agoryd , ac y ddardlen y Llyfr , nac y edrych arno .
66:5:005:0	Ac vn or henafied y ddwad wrthyf i , Nac wyla : syna , llew yr hwn ysydd o lwyth Iuda , gwreiddyn Davydd , y enilloedd y agoryd y Llyfr , ac y ddatdod y seith sel ef .
66:5:006:0	Yno mi edrycheis , a synna , yn chanol yr eisteðle , ar pedwar enifel , ac yn chanol yr henafied , yr ydoedd Oen yn sefyll mal by biasey gwedy ladd , yr hwn oedd a seith corn , ac a seith Hygad yddo , y rrein ydynt seith ysbryd Dyw , y ddanvonwyd yr holl vud .
66:5:007:0	Ac ef yddayth , ac y gymerth y Llyfr o law ddehe yr vn oedd yn eistedd ar yr eisteddle .
66:5:008:0	A phan cymerth ef y Llyfr , y pedwar enifel , ar pedwar ar igein henafied , y syrthiasont gair bron yr Oen , ac yr ydoeð gan bob vn o hanynt telyney a phiolae aur yn llawn o erogley , y rrein ydynt gweddie’r Sainct ,
66:5:009:0	Ac y ganysont caniad newydd , dan ddwedyd . Teilwng yd gymryd y Llyfr , ac y ðattod y sele ef , can ys veth las , ac yn pryneist ni y Ddyw trwy dy waed allan o bob cenedlaeth , ac ieith , a’ phobl , a’ nasion ,
66:5:010:0	Ac yn gwneythost yn Vrenhinoeð ac yn Effeiried yn Dyw ni , a ni , a thyrnaswn ar y ddayar .
66:5:011:0	Yno mi edrycheis , ac y glyweis lleis llawer o Angylion ynghylch yr eisteddle ac ynghylch yr enefeilied ar henafied , ac yr oeddent mil o filioedd ,
66:5:012:0	Yn dwdyd a llais ywchel , Teilwng yw yr Oen y las y dderbyn gallu a chyfoeth , a’ doethyneb , a’ chedernid , ac anrrydedd , a’ gogoniant , a’ moliant .
66:5:013:0	Ac mi a glywes yr holl creadyried y rrein ydynt yny nef , ac ar y ddayar , a than y ddayar , ac yny mor , a’ phob peth y sydd yndynt hwy , yn dwedyd , Moliant , ac anrrydedd , a’ gogoniant , a gallu y vo yddo ef , y sydd yn eiste ar yr eisteddle , ac yr Oen yn dragywydd .
66:5:014:0	Ar pedwar enifel a ddywedasont , Amen , ar pedwar ar igein o henafied a sirthiasont y lawr , ac anrrydeðasont ef , y syð yn byw yn dragywyð .
