46:12:001:1	Níłch'i Diyinii aidii'aahii
46:12:001:0	Shik'isóó , k'ad éiyá Níłch'i Diyinii aidii'aahii nihił béédahózin doo nihósh'ní .
46:12:002:0	T'ah doo oodlání daahłeeh yę́ędą́ą́' yóó'adanihi'diit'éeshgo eda'alyaii doo yáłti'ii bich'į' nidahohłáá nít'ée'go nihił béédahózin .
46:12:003:0	Éí bąą díí baa ákodanohsin doo nihósh'ní , diné ła'da Diyin God biNíłch'i Diyinii yee yáłti'go , Jesus wódziihii nilį́ , doo didooniił da , nidi diné ła'da Níłch'i Diyinii bee yájíłti'go t'éiyá , Jesus éí Bóhólníihii nilį́ , jididooniił .
46:12:004:0	Níłch'i Diyinii aidii'aahii t'áá da'níł'ąą át'éego da'oodlání yeidii'aah , nidi Níłch'i Diyinii éí t'ááłá'í .
46:12:005:0	T'áá da'níł'ąą át'éego bee Bóhólníihii bá nidajil'a' , nidi Bóhólníihii éí t'ááłá'í .
46:12:006:0	Áádóó t'áá da'níł'ąą át'éego bee nidajilnish , nidi Diyin God t'ááłá'íígíí t'áá ádzíłtso t'áá ałtsoní hwee ła'yoolííł .
46:12:007:0	T'ááłá'í jinítínígo Níłch'i Diyinii aidiyii'aahii oodlání danilíinii t'áá ałtso bá chodayooł'į́į doo biniyé haidiyii'aah .
46:12:008:0	Níłch'i Diyinii hódzą́ągo saad bee yáti' ła' haidiyii'aah , náánáła' éí ił ééhózingo saad bee yáti' haidiyii'aah ,
46:12:009:0	náánáła' éí oodlą́ bee a'ódlí t'áá éí Níłch'i Diyinii haidiyii'aah , náánáła' éí Níłch'i Diyinii bee hadaałt'é áná'oolníiłii haidiyii'aah ,
46:12:010:0	náánáła' Diyin God bibee adziilii bee éédahózinii álílee k'ehgo ázhdoolíłígíí haidiyii'aah , náánáła' Diyin God bá hojilne' doogo haidiyii'aah , náánáła' éí níłch'i danilíinii nijiłkaah bízhneel'ą́ą doogo haidiyii'aah , náánáła' éí álílee k'ehgo saad bee yájíłti' doogo haidiyii'aah , náánáła' éí saadígíí bee ata' hojilne'go haidiyii'aah ,
46:12:002:1	Ats'íís t'ááłá'í nidi bee hadilyaii t'óó ahayóí
46:12:011:0	Níłch'i Diyinii t'ááłá'íígíí kót'éego naalnish , t'áá bí íinízinii bik'ehgo diné t'ááłá'í jinítínígo haidiyii'aahii hataidi'a' .
46:12:012:0	Háálá ats'íís éí t'ááłá'í , ákondi bee hadilyaii lą'í bee hadilyaa ; bee hadilyaii azhą́ lą'í nidi éí t'ááłá'í . T'áá ákót'éego ałdó' Christ daboodláanii yił t'ááłá'í nánídlį́ .
46:12:013:0	T'áá áníiltso , Jew dine'é índa doo Jew dine'é daniidlį́į da nidi , naalte' índa doo naalte' daniidlį́į da nidi t'ááłá'í niidlį́į dooleełgo Níłch'i Diyinii t'ááłá'íígíí bee danihi'doolzį́į́' , áádóó Níłch'i Diyinii t'ááłá'íígíí nihiih dahwiizle'go bee dahinii'ná .
46:12:014:0	Jó , ats'íís bee hadilyaii doo t'ááłá'í bee hadilyaa da , nidi lą'í bee hadilyaa .
46:12:015:0	Akee' nilíinii , Shí doo ála' nishłį́į dago ats'íís doo bídíínísht'i' da , dííniid nidi doo ats'íís t'áá a'ohgo yídéét'i'go ábíléeh da .
46:12:016:0	Ajaa' ałdó' , Shí doo anáá' nishłį́į dago ats'íís doo bídíínísht'i' da , dííniid nidi doo ats'íís t'áá a'ohgo yídéét'i'go ábíléeh da .
46:12:017:0	Ats'íís éí anáá' t'éí nilį́įgoshą' ha'át'íísh yee adiits'a' doo ? Ats'íís éí ajaa' t'éí nilį́įgoshą' ha'át'íísh yee ałchin doo ?
46:12:018:0	Nidi Diyin God t'áá bí íinízinígíí bik'ehgo ats'íís yee hadít'éii t'ááłá'í ní'ánígo ats'íís yee haidiilaa .
46:12:019:0	Ats'íís t'ááłá'íígíí t'éí bee hadilyaago éí doo ats'íís át'ée da doo .
46:12:020:0	Jó , ats'íís bee hadilyaii lą'í nidi ats'íís éí t'ááłá'í .
46:12:021:0	Éí bąą anáá' éí ála' doo kwíididooniił da , Doo chonoosh'į́į́' ánít'ée da ; náá'ákóne' atsiits'iin éí akee' doo kwíididooniił da , Doo chonoosh'į́į́' ánít'ée da .
46:12:022:0	Dooda shį́į́ , doo ákót'ée da , háálá nihits'íís bee hadadilyaii azhą́ doo hózhǫ́ bidziil da nidi éí t'áá ákónéehee ádaat'é ,
46:12:023:0	áádóó nihits'íís bee hadadilyaii doo hózhǫ́ baa nitsídeiikeesígíí éí agháago nihił danilį́ , áádóó nihits'íís bee hadadilyaii doo ííshjání ájóle' ádaat'éii éí hazhó'ó baa ádahwiilyą́ ,
46:12:024:0	háálá nihits'íís bee hadadilyaii danizhónígíí t'áadoo aláahgo baa áháyą́ągo baa nitsídeiikeesí doo . Háálá Diyin God nihits'íís áyiilaago yee haidiilaii t'áá a'ohgo baa nitsáhákeesígíí t'áá íiyisí bił nilį́įgo áyósin .
46:12:025:0	Áko nihits'íís bee hadadilyaii nizhónígo ahídadínéelnáa doo áádóó ahaa ádahalyą́ągo nidaalnish dooleeł .
46:12:026:0	Ats'íís bee hadadilyaii ła' ti'hooníihgo t'áá ałtso yił ti'hoonííh , doodaii' ła' ił nilį́įgo t'áá ałtso bił dahózhǫ́ .
46:12:027:0	Jó , nihí Christ bits'íís nohłį́ , áko t'ááłá'í nootínígo yee hadít'éii ła' danohłį́ .
46:12:028:0	Áko Diyin God éí da'oodlání áłah nídaadleehígíí bitahgi ła' niinínil , átséhé góne' daal'aadii , naakií góne' Diyin God yá dahalne'ii , táá' góne' nida'nitinii , áádóó Diyin God bibee adziilii bee éédahózinii álílee k'ehgo yaa nidaakaii , índa hadaałt'é ánída'oodlíiłii , áádóó áká anídaajahii , áádóó ándaha'áii , índa álílee k'ehgo yáti' yee yádaałti'ii .
46:12:029:0	Da' t'áásh ałtso daal'aadii danilį́ ? Da' t'áásh ałtso Diyin God yá dahalne'ii danilį́ ? Da' t'áásh ałtso nida'nitinii danilį́ ? Da' t'áásh ałtso Diyin God bibee adziilii bee éédahózinii álílee k'ehgo yaa nidaakaii danilį́ ?
46:12:030:0	Da' t'áásh ałtso hadaałt'é ánída'oodlíiłgo baa dahideest'ą́ ? Da' t'áásh ałtso álílee k'ehgo yáti' yee yádaałti' ? Da' éísh t'áá ałtso ata' dahalne' ? Doo lá t'áá ałtso da ni .
46:12:003:1	Ayóó'ó'ó'ní
46:12:031:0	Nidi Níłch'i Diyinii aidii'aahii aláahdi ádaat'éii bídin danohłį́į le' . Ákondi agháadi yá'át'ééhjí honít'i'ii bee nihił hashne' .
