46:9:001:1	Yil'aadii bee bá haz'áanii
46:9:001:0	Da' doósh Jesus Christ bá yil'aadii nishłį́į da ? Da' doósh t'áá aaníí doo shohodiit'i' da ? Da' doósh t'áá aaníí Jesus Christ nihiBóhólníihii yiiłtsą́ą da ? Da' doósh nihí Bóhólníihii bee shinaanish danohłį́į da ?
46:9:002:0	Ła' shį́į́ doo yil'aadii nishłį́įgo shaa nitsídaakees da , nidi nihí éí nihich'į' yil'aadii nishłį́įgo shaa nitsídaahkees . Háálá yil'aadii nishłį́įgo Bóhólníihii bá dahinohnánígíí bee shá bee ééhózinii danohłį́ .
46:9:003:0	Shaa nídaat'į́įgo hadasisidígíí bich'į' bee ák'ihadideesdzihgo ádíshní ,
46:9:004:0	Deeshį́łígíí índa deeshdlį́łígíí shaa doolyéełgo doósh bee shá haz'ą́ą da ?
46:9:005:0	She'asdzą́ą́ hólǫ́ǫgo oodlání nilį́įgo bił tádísh'aash dooleełgoósh doo bee shá haz'ą́ą da , t'áá ła' daal'aadii áádóó Bóhólníihii bik'isóó danilíinii índa Peterda éí ákódaat'ínígi át'éego ?
46:9:006:0	Da' Bárnabas índa shí naanishísh t'éiyá bee ák'ineiildzil doo ?
46:9:007:0	Jó , siláo nilíinii doo t'áá bí yik'é asłáago naabaah da . Ch'il na'atł'o'ii k'éididléehii bineest'ą' néídį́įh łeh . Na'niłkaadii na'niłkaadgo yits'ą́ą́dóó abe' yidlą́ą łeh .
46:9:008:0	Díí t'áá diné ádaat'ínígíí bik'ehgo ádíshní . Da' bee haz'áaniísh ałdó' doo t'áá ákóníi da ?
46:9:009:0	Bee haz'áanii Mózes baa deet'áanii biyi' bee ak'e'ashchį́įgo ání , Béégashii éí tł'oh naadą́ą́' haił'éesgo t'áadoo bíchį́į́h bąąh nida'sooł'ání . Diyin God daats'í béégashii t'éiyá yaa nitsíkeesgo ádííniid ?
46:9:010:0	Éí doodago nihaa nitsíkeesgo daats'í ádííniid ? Aoo' , nihá yá'át'ééh biniyé bee ak'e'ashchį́ . Jó , dá'ák'ehgi nihwiiłdlaadii nídí'nóołt'į́įłgo bił chohoo'į́įgo yinaalnish dooleeł , áádóó adoołhałii hééł í'doolíiłgo bił chohoo'į́įgo yinaalnish dooleeł .
46:9:011:0	Diyin God bits'ą́ą́dóó hane' yá'át'éehii nihitahgóó baa dahwiilne'go nihijéí biyi' k'idadiilyáago , nihí nihee dahólóonii bee nihíká anídoohjahgoósh doo bee nihá haz'ą́ą da ?
46:9:012:0	Ła' bee bá nahaz'ánígíí bik'ehgo bíká anáhjahgo , da' nihíísh doo t'ah aláhídi bee nihá haz'ą́ą da ? T'áá áko nidi díí kót'éego bee nihá haz'áanii t'áadoo nihits'ą́ą́' chodeisiil'įįd da , nidi Christ baa hane' yá'át'éehii doo dadíníiltł'ah da biniyé t'áá ałtsoní t'óó bééda'ii'nííh nít'éé' .
46:9:013:0	Kin bii' sohodizin góne' nidaal'a'ii t'áá áádóó bich'iyą' nishódayoołt'eehgo , áádóó ałdó' Diyin God bich'į' diné yá nááda'iiłniihii éí náádahaaznii'ii łahjį' bíí' nidahaleehgo , da' éísh doo nihił béédahózin da ?
46:9:014:0	T'áá ákót'éego ałdó' hane' yá'át'éehii yaa dahalne'ii éí yaa dahalne'ígíí bits'ą́ą́dóó ada'dilnah doogo Bóhólníihii yee nihoní'ą́ .
46:9:015:0	Nidi díí kót'éego bee shá haz'ánígíí doo ła' choiséł'įįd da , doo nidi shá ákódazhdoolííł biniyé bee ak'e'ashchį́į da . Háálá bee shaa hodzosdli'ígíí doo nahjį' nididoot'ááłgóó biniinaa dadeestsaałjígo nidi aláahgo shił t'áá áko .
46:9:016:0	Hane' yá'át'éehii baa hashne'ígíí éí binahjį' ádaa hash'niih dooleełii t'áá shá ádin , háálá t'áá ákónéehee ásht'į́ . Áko hane' yá'át'éehii doo baa hashne'góó dooládó' doo hojooba' ájínínígi ánísht'ée da doo !
46:9:017:0	Háálá díidí t'áá shíniik'eh baa naasháago bik'é shich'į' ni'iilyée doo . Nidi doo t'áá shíniik'eh baa naasháa dago , jó , hane' yá'át'éehii baa hashne' dooleełígíí bee sha'ahoosdlíí' .
46:9:018:0	Áko ha'át'íishą' bik'é shich'į' ni'iilyée doo ? Díí lą́ą : hane' yá'át'éehii baa hashne'go t'áá jíík'e baa hashne' , áko hane' yá'át'éehii baa hashne'ígíí bik'é shich'į' azláa dooleełgo bee shá haz'ą́ą nidi t'áá jíík'e baa naashá .
46:9:019:0	Azhą́ diné doo ła' bá naash'a' da nidi , diné lą'í Christ deidoodląąłgo bíni' bá ádahashłééh biniyé t'áá ałtso bá naash'a'go í'diishyaa .
46:9:020:0	Jew dine'é éí Christ deidoodląąłgo bíni' bá ádahashłééh biniyé t'áá bígi át'éego í'diishyaa ; azhą́ shí bee haz'áanii Mózes baa deet'áanii doo yiyaa naatłizhii nishłį́į da nidi , éí bee haz'áanii yiyaa nandeehígíí Christ deidoodląąłgo bíni' bá ádahashłééh biniyé t'áá bígi át'éego í'diishyaa .
46:9:021:0	Doo Jew dine'é danilíinii éí bee haz'ánígíí doo yiyaa sinilii , Christ deidoodląąłgo bíni' bá ádahashłééh biniyé t'áá bígi át'éego í'diishyaa . Jó , bee haz'áanii Mózes baa deet'áanii shee hólǫ́ , nidi Christ yee has'áanii t'áá aaníí biyaa naashtłizh .
46:9:022:0	Bi'oodlą' doo dabidziilígíí Christ yéego dayoodlą́ą doo biniyé bíni' bá ádahashłéehgo t'áá bígi át'éego doo shidziilgóó í'diishyaa . T'áá ałtsojį' t'áá ádzíłtso t'áá ha'át'éhígoda ła' Christ yisdádahodiyoonił biniyé t'áá hó ádajít'éhígi át'éego í'diishyaa .
46:9:023:0	Hane' yá'át'éehii hoł béédahodoozįįł biniyé , áádóó hane' yá'át'éehii bee ak'ihojidlíii hoł ałts'ą́ą́' da'nisk'iiz doo biniyé díí t'áá ałtso baa naashá .
46:9:024:0	Da' doósh nihił béédahózin da , ałghadikáahii t'áá ałtso deiltih , nidi t'ááłá'í honiłnéehii yoosbáanii bailyééh ? Áko wołí bee daołtéehgo woobįįhii deidoołbįįł .
46:9:025:0	Nídeiltihii t'ááłá'í nítínígo t'áá ałtsojį' ádaa áháyą́ yee nida'ádínítaah . Éidí woobįįhii ádoodįįłii bee dahodooleeł yiniyé ádaat'į́ , nidi nihí woobįįhii hool'áágóó hólóonii biniyé ádeiit'į́ .
46:9:026:0	Áko doo t'óó dzólníígóó yishwoł da , áádóó adziists'inígíí doo t'óó dzólníígóó adziists'in da .
46:9:027:0	Nidi shits'íís doo shik'eh didlį́į da doo biniyé ts'ídá t'áá íiyisí shik'eh hół'į́įgo íínísin , áko diné náádaała' hane' yá'át'éehii bee bił nidahosisne'dóó bik'ijį' doo shidí'nóodzįįłígíí éí dooda .
