46:11:001:1	Da'oodlání áłah daazlį́į'go asdzání bitsii' bik'ídooltihii
46:11:001:0	Shí Christ be'esh'ínígi át'éego shida'oł'į́ .
46:11:002:0	Shik'isóó , t'áá ałtsojį' shéédaałniih áádóó bee nanihinétą́'ígíí t'áá bee nihił hweeshne'ígi át'éego deínóhtą'ígíí bee nihaa hashniih .
46:11:003:0	Nidi díí nihił béédahózin doo nisin , jó , éí diné t'ááłá'í nítínígo bitsijį' sizíinii éí Christ , áádóó asdzání bitsijį' sizíinii éí bahastiin , índa Christ bitsijį' hólóonii éí Diyin God .
46:11:004:0	Áłah nídaahdleehgo diné t'ááłá'í jinítínígo hatsii' ná'ázti'go sozdilzingo , doodaii' Diyin God bá hojilne'go éí Christ hatsijį' sizíinii doo hoł nilį́į da ájílééh .
46:11:005:0	Nidi asdzání t'ááłá'í jinítínígo hatsii' doo bik'é'ésti'góó sozdilzingo , doodaii' Diyin God bá hojilne'go éí hatsijį' sizíinii doo hoł nilį́į da ájílééh ; éí hatsii' há yilzhé'ígíí nahalin .
46:11:006:0	Asdzání bitsii' doo yik'é'ésti'góó bitsii' k'ídoogish . Asdzání bitsii' k'ídoogishgo , doodaii' bitsii' bá doolzhihgo yaa yánízingo , bíni'dii yik'í'doołtih .
46:11:007:0	Háálá diné éí Diyin God t'áá bijíłt'éego áho'diilyaa , índa Diyin God yee hóhółníihii bee dzizíinii bąą hatsii' doo bik'ízh'doołtih da , nidi asdzání éí diné bóhojíłníihgo yee ayóó át'éii ííshją́ą́ ájílééh .
46:11:008:0	Háálá diné éí asdzání doo bits'ą́ą́dóó ályaa da , nidi asdzání éí diné bits'ą́ą́dóó ályaa .
46:11:009:0	Jó , diné éí asdzání doo bá ályaa da , nidi asdzání éí diné bá ályaa .
46:11:010:0	Éí bąą asdzání hatsii' bik'é'ésti'go yá'át'ééh , éí óhojíłníihgo bee ééhózinii át'é . Áádóó diyingo naal'a'í hoł nilį́įgo bee bééhózin .
46:11:011:0	Nidi Bóhólníihii yinahaz'áanii bik'ehgo asdzání éí diné bídin jílį́į doo , diné ałdó' asdzání bídin jílį́į doo ,
