46:7:001:1	Iigeh bee na'nitin
46:7:001:0	K'ad t'éiyá bee ak'eda'shoołchíinii baa nídéesht'įįł : diné t'áadoo asdzání bił ahaa nijit'aashígo há yá'át'ééh .
46:7:002:0	Nidi doo adázhdínóolniiłígíí biniinaa diné t'ááłá'í jinítínígo t'áá hó hwe'asdzą́ą́ dahólǫ́ǫgo yá'át'ééh , áádóó asdzání t'ááłá'í jinítínígo t'áá hó hahastiin dahólǫ́ǫgo yá'át'ééh .
46:7:003:0	Ahastiin jílíinii hwe'asdzą́ą́ bíni' bi'jósingo baa ninájídaah doo , t'áá ákót'éego ałdó' e'asdzą́ą́ jílíinii hahastiin bíni' bi'jósingo haa ninádaah doo .
46:7:004:0	Háálá e'asdzą́ą́ jílíinii doo t'áá ádíighahígo hats'íís bee hóhólníih da , nidi hahastiin ałdó' bee bóhólnííh ; t'áá ákót'éego ałdó' ahastiin jílíinii doo t'áá ádíighahígo hats'íís bee hóhólníih da , nidi hwe'asdzą́ą́ ałdó' bee bóhólnííh .
46:7:005:0	T'áadoo ałch'į' ádaa danohchį'í , t'áá hazhó'ó t'áá haada nízahjį' sodidoołzįįłgo biniyé bee ahadi'dooht'ááł , áádóó índa ałt'áádooht'ash , áko doo hada'íínółnínígíí biniinaa níłch'i bida'iiníziinii binanit'a'í Séítan wolyéii nihídínóotahígíí doo bá ashja doohłíił da .
46:7:006:0	Nidi éidíígíí doo bee haz'áanii bik'ehgo ádíshníi da , nidi díí bee nanihinishtingo ádíshní .
46:7:007:0	Diné t'áá ałtso shígi ádajít'ée laanaa nisin . Nidi diné t'ááłá'í jinítínígo Diyin God há íinízinii bik'ehgo dajiináa doo , ła' shígi át'éego , áádóó náádaała' hwe'asdzą́ą́ dahólǫ́ǫgo dajiiná .
46:7:008:0	Áko doo da'ayéhígíí áádóó asdzání bąąh ádahasdįįdii ábidishní , Shí t'áá sáhí naasháhígi ádajít'éego há yá'ádaat'ééh nisin .
46:7:009:0	Nidi doo hada'jólnínígíí éí hwe'asdzą́ą́ dahólǫ́ǫ́jí há yá'át'ééh , háálá adáhonooní hayi' dahodiłidjí éí doo há yá'át'éeh da .
46:7:010:0	Nidi da'ayéhígíí t'éiyá k'ad kót'éego bá haasdziih , nidi shí dooda , Bóhólníihii éí haadziih , éí e'asdzą́ą́ jílíinii hahastiin doo yóó'azhdidoo'áał da ,
46:7:011:0	nidi yóó'azhdíí'ą́ągo doo hánáá'doogeh da , doodaii' bił k'é ná'ahizhdidoo'niił , áádóó ahastiin jílíinii hwe'asdzą́ą́ doo yóó'azhdidoo'áał da .
46:7:012:0	K'ad éiyá shí bee nitséskeesígíí náádaała'ígíí bee bich'į' haasdziih , díí Bóhólníihii doo bits'ą́ą́dę́ę' da : ak'is jílíinii ła' éí hwe'asdzą́ą́ doo oodląąhgóó , nidi bił dzizkéego bił yá'át'éehgo , hwe'asdzą́ą́ doo yóó'azhdidoo'áał da .
46:7:013:0	Asdzání jílíinii ła' éí hahastiin doo oodląąhgóó , nidi bił jiinánígíí bił yá'át'éehgo , hahastiin doo yóó'azhdidoo'áał da .
46:7:014:0	Háálá ahastiin doo ajoodlánígíí hwe'asdzą́ą́ oodlánígíí binahjį' diyingo ats'áho'deeltį́į doo , t'áá ákót'éego e'asdzą́ą́ doo ajoodlánígíí hahastiin oodlánígíí binahjį' diyingo ats'áho'deeltį́į doo . Doodago éí ha'áłchíní danilíinii doo da'oodlání ba'áłchínígi ádaat'ée doo , nidi k'ad éiyá diyingo ats'á'nil .
46:7:015:0	Nidi doo oodlání nilíinii yoodeeshááł nízingo háni'dii yoodighááh , kwe'é haz'ą́ągi ak'is oodlání nilíinii , doodaii' alah oodlání nilíinii doo bóho'diistł'ǫ́ǫ da . Háálá Diyin God éí , Hózhǫ́ǫgo ahił dahinohná , nihidííniid .
46:7:002:1	Iiná Diyin God yee háká ádííniid
46:7:016:0	E'asdzą́ą́ oodlání nílíinii , niniit'aa daats'í nahastiin yisdádooltééł . Da' éísh doo nił bééhózin da ? Ni ałdó' , ahastiin oodlání nílíinii , niniit'aa daats'í ne'asdzą́ą́ yisdádooltééł .
46:7:017:0	T'ááłá'í jinítínígo Diyin God háká ádííniid yę́ędą́ą́' Bóhólníihii hataadeideez'ánígíí bik'ehgo dajiináa doo . Ákót'éego da'oodlání áłah nídaadleehgóó t'áá ałtsogo bee hoséł'ą́ .
46:7:018:0	Diné éí Diyin God háká ádííniid yę́ędą́ą́' t'áá íídą́ą́' hąąh náhineeshgizhgo , éí hąąh náhineeshgizhígíí háni'dii doo k'éézh'doołchxǫǫł da . Háká ádííniid yę́ędą́ą́' doo hąąh náhineeshgizh dago , éí háni'dii doo hąąh náhidínóolgish da .
46:7:019:0	Ąąh náhinilgish éí t'áadoo nilíní da , índa doo ąąh náhinilgish ałdó' t'áadoo nilíní da , nidi Diyin God yee has'áanii bik'eh hól'į́ t'éiyá ílį́ .
46:7:020:0	T'ááłá'í jinítínígo Diyin God háká ádííniid yę́ędą́ą́' ádajít'éé nít'é'ígi éí bíni' t'áá ákódajít'ée doo .
46:7:021:0	Da' naalte' nahaaznii'ii nílį́įgoósh níká áhodoo'niid ? Éísh bik'ehdii , nidi néédidoochiłgo ná ashja'iilaa ládą́ą́' bíni'dii néédíchííd .
46:7:022:0	Naalte' nahaaznii'ii nilį́į nidi Bóhólníihii háká ániihgo éí Bóhólníihii béidííchidii jileeh . T'áá ákót'éego diné doo naalte' nahaaznii'ii nilíinii bíká áhodoo'niidii éí t'áá aaníí Christ yíí' yileeh .
46:7:023:0	Jó , ayóó át'éego nihik'é niná'ílyá , áko t'ááká diné doo yá'át'éehii yich'į' nihił'áago bida'oohłe' yíila' .
46:7:003:1	Doo da'ayéhígíí áádóó bąąh ádahasdįįdígíí
46:7:024:0	Shik'isóó , t'ááłá'í nootínígo t'áá Diyin God nihíká ádííniidą́ą́' ádanoht'é yę́ęgi át'éego áhánígo bił dahonohłǫ́ǫgo áda'díínółzin .
46:7:025:0	K'ad doo da'ayéhígíí bił haz'ą́ągi baa nídéesht'įįłgi Bóhólníihii doo yee shá has'ą́ą da , nidi Bóhólníihii shaa a'ááh nízinii binahjį' sha'ahódlíigo beinísht'į́ .
46:7:026:0	K'ad nihich'į' nidahwiiłnánígíí biniinaa diné t'áá ájít'éhígi át'éego nijigháago há yá'át'ééh nisin .
46:7:027:0	Ne'asdzą́ą́ hólǫ́ǫgo yóó'adideesh'ááł t'áadoo níníziní . Asdzání nee ádingo t'áadoo she'asdzą́ą́ hodooleeł níníziní .
46:7:028:0	Nidi asíníyehgo doo bąąhági íinidzaa da , áádóó ch'ikę́ę́h nilíinii diné bee hazlį́į'go éí doo bąąhági ádzaa da . Nidi da'ohéehii nihich'į' nidahwii'náa dooleełígíí bits'ąą nihaa hą́ą́h nisin .
46:7:029:0	Shik'isóó , ááhdishníinii éí díí , koshídę́ę́' hadziih , áko k'ad kodóó be'asdzą́ą́ dahazlį́'ígíi nidi , t'óó doo be'asdzą́ą́ dahólǫ́ǫ da nidahalingo dahináa doo ,
46:7:030:0	áádóó daachaígíí t'óó doo daacha da nidahalin doo , áádóó bił dahózhónígíí t'óó doo bił dahózhǫ́ǫ da nidahalin doo , áádóó nida'iiłniihígíí t'óó doo bee dahólóní da nidahalin doo ,
46:7:031:0	áádóó nihokáa'gi dahólóonii chodayooł'ínígíí doo chodayooł'į́į da nidahalingo dahináa doo . Háálá díí nihokáá' áhoot'éhígíí bił yóó'ahodoogááł .
46:7:032:0	T'áadoo ádił nídahodołchiłí doo nihósh'ní . Diné doo ayéhígíí Bóhólníihii bá na'anish yíneedlį́įgo haash yit'éegoda yił hóshǫ́ǫ dooleełgo yaa nitsíkees ,
