46:15:001:1	Da'aztsą́ą́dę́ę́' Christ náábi'diilzáii
46:15:001:0	K'ad éí shik'isóó , hane' yá'át'éehii bee nihił hweeshne'ii deisoohdląądígíí áádóó bee nidasoozínígíí béénihiyiishnííh .
46:15:002:0	Éí bee yisdáhóhkááh , hane' yá'át'éehii bee nihił hweeshne'ígíí t'áá dayínóhtą' , t'áá hazhó'ó doo t'áá aaníí da'iisoohdląądgóogo éí t'áadoo nánídlíní da .
46:15:003:0	Háálá alą́ąjį' á si'áanii , t'áá éí shí shaa deet'ánígíí nihaa náádiní'ą́ ; jó , éí ádił nida'ayeelzíi'ii yiniyé Christ daaztsą́ , t'áá Diyin God bizaad bee ak'eda'ashchíinii ánínígíí bik'ehgo ,
46:15:004:0	áádóó yóó'áho'diilyaa , áádóó Diyin God bizaad bee ak'eda'ashchíinii ánínígíí bik'ehgo tágí jį́ aleeh góne' nááho'diilzá ,
46:15:005:0	índa Peter bich'į' yit'íní ízh'diilyaa , áádóó bik'ijį' hódahooł'aahii naakits'áadahígíí ałdó' bich'į' yit'íní ízh'diilyaa .
46:15:006:0	Áádóó náábík'ijį' hakéé' tádadookaii ashdladi neeznádiindóó t'ah nówehgo t'áá łahjį' bich'į' yit'íní ínáázh'diilyaa , éí k'asdą́ą́' t'áá ałtso k'ad t'ahdii dahiná , nidi ła' éí bikéé' ádahasdįįd .
46:15:007:0	Ákóne' James bich'į' yit'íní ízh'diilyaa , náá'ákóne' daal'aadii t'áá ałtso bich'į' yit'íní ínáázh'diilyaa .
46:15:008:0	Akée'di índa , awéé' hanoodzáhígíí nahonishłingo , shí ałdó' shich'į' yit'íní ízh'diilyaa .
46:15:009:0	Háálá daal'aadii ts'ídá a'ohgo nilíinii nishłį́įgo bee ádaa nitséskees , yil'aadii bee shi'dójíii dooleełígíí doo bą́ą́h nishłį́į da , háálá Diyin God dayoodláanii áłah nádleehígíí atésh'į́į́ nít'éé' .
46:15:010:0	K'ad ánísht'éhígíí éí Diyin God shaa jooba'go ánísht'é , áko bibee ajooba' sheidiní'ánígíí doo t'áá ádzaaí silį́į' da , háálá daal'aadii t'áá ałtso biláahgo nisis'a' , nidi t'áá shí éí dooda , jó , Diyin God bibee ajooba' shił hólǫ́ǫgo nisis'a' .
46:15:002:1	Daneeznáanii náádiijeeh
46:15:011:0	Áko shí áádóó náádaała' daal'aadii danilínígíí éí hane' t'ááłá'íígíí baa dahwiilne' , áko éí bee nihił dahwiilne'ígíí deisoohdląąd .
46:15:012:0	Christ daaztsą́ą́dę́ę́' náábi'diilzáago baa hóóne'go , ha'át'éegoshą' nihitahgóó ła' ádaaní , Daneeznáanii doo náádidoojah da ?
46:15:013:0	Daneeznáanii doo náádabi'diiljeehgóogo Christ ałdó' doo náábi'diilzáa da doo nít'éé' .
46:15:014:0	Áádóó Christ doo náábi'diilzáágóogo hane' yá'át'éehii t'áadoo biniyéhígóó baa dahwiilne' doo nít'éé' , índa t'áadoo biniyéhígóó da'iisoohdląąd doo nít'éé' .
46:15:015:0	Áko ałdó' t'áá ádzaagóó Diyin God baa dahwiilne'go nihéédahoozin doo nít'éé' , háálá Diyin God éí Christ néidiisá dadii'níigo dahwiilne' . Jó , daneeznánígíí t'áá aaníí doo náábi'diiljeehgóogo , Diyin God éí Christ doo néidiisáa da doo nít'éé' .
46:15:016:0	Háálá daneeznánígíí doo náádabi'diiljeehgóogo Christ ałdó' doo náábi'diilzáa da doo nít'éé' .
46:15:017:0	Áádóó Christ doo náábi'diilzáágóogo t'áadoo biniyéhígóó da'iinohdlą́ągo t'ahdii ádił nida'iyohsíih doo nít'éé' .
46:15:018:0	Áko Christ dayoodlą́ągo ada'iishhaazhígíí ałdó' t'áá ádaasdįįdgi ádaasdįįd doo nít'éé' .
46:15:019:0	Díí k'ad iinánígíí t'éiyá biyi' Christ bee nihił chodahoo'į́įgo , diné t'áá ałtso biláahdi hojooba' ádaniit'é .
46:15:020:0	Nidi t'áá aaníí Christ daaztsą́ą́dę́ę́' náábi'diilzá , daneeznáanii nááhididooljahígíí bitahdę́ę́' ts'ídá áłtsé nááhodi'diilzá .
46:15:021:0	T'áá diné ła' honiinaa aniné hazlį́'ígi át'éego t'áá diné ła' ałdó' hanahjį' daneeznáanii náádiijeehii hazlį́į́' .
46:15:022:0	Háálá Ádam binahjį' diné t'áá ałtso daninéhígi át'éego t'áá ákót'éego ałdó' Christ hanahjį' t'áá ałtso hinááh ánídahodi'doolnííł .
46:15:023:0	Nidi t'áá ałkéé' hasnilígíí bik'ehgo Christ ts'ídá áłtsé náádiidzáii éí átsé , áadi índa t'áá bí náánádzáá góne' daboodlą́ągo daabíhígíí náábidi'dooljah .
46:15:024:0	Nidant'áii áádóó dahwée'aahii índa bídahólníihii t'áá ałtso Christ hak'eh deesdlį́į'go ałtso áhásdįįdóó bik'ijį' bee hóhólníihgo bił haz'áanii Diyin God éí aTaa' nilíinii baazhdidoo'ááł , áadi índa nihodoogááł .
46:15:025:0	Háálá hwe'ana'í t'áá ałtso bik'i jidées'eez áhoolaajį' nazhnit'áa doo .
46:15:026:0	Ana'í akée'di ádooldįįłii éí aniné .
46:15:027:0	Jó , Diyin God t'áá ałtsoní Christ yik'eh dahół'į́į doo biniyé yik'i dées'eezgo yee yíhoosníí' . Nidi , T'áá ałtsoní yee hóhoosníí' , ha'níigo , t'áá ałtsoní nínígíí éí Diyin God doo atahgo ááhyiłníi da . Diyin God yee' Christ t'áá ałtsoní yee yíhoosníí' .
46:15:028:0	Áádóó aYe' jílíinii t'áá ałtsoní bee hóho'doosníí'dóó bik'ijį' haTaa' , t'áá ałtsoní yee hóhoosní'ígíí , nát'ą́ą́' bílák'ee ná'ázhdooltį́į doo , áko t'áá ádzíłtso índa t'áá ałtsoní Diyin God há nilį́į doo .
46:15:029:0	Éí doo ákót'ée dago , diné daneeznánígíí bá tó bee daho'dilzį́hígíishą' ha'át'íí ááhdeiłní ? Daneeznáanii doo t'áá aaníí náábi'diiljeehgóogo ha'át'íí biniyé ła' daneeznáanii bá tó bee daho'dilzį́į́h ?
46:15:030:0	Ha'át'íísh biniyé ałdó' t'áá ákwíí ahéé'iilkeed bik'eh nihá nahodít'éego neiildeeh ?
46:15:031:0	Shik'isóó , Christ Jesus binahjį' nihaa jííníshłíigo t'áá aaníígóó ánihidishní , T'áá ákwíí jį́ shidiyoołhéełii kǫ́ǫ́ hólǫ́ .
46:15:032:0	Éfasasgi nidaaldlooshii báádahadzidii bił da'aheeshgą́'ígi yę́ęgi át'éego diné shits'ą́ą́jí danilíinii hane' yá'át'éehii bee bidááhdóó shidziilgo sézį́įgo , t'áá aaníí daneeznáanii doo náábi'diiljeehgóogo ha'át'íísh bee ła'ishłaa doo ? T'áá aaníí daneeznáanii doo náábi'diiljeehgóogo kóhá'nínígíí bik'ehgo , haa'íshą' da'iidą́ áádóó da'iidlą́ą doo , jó , yiską́ągoda dadíníi'néełgo da'át'é .
46:15:033:0	T'ááká nihida'dódleeh yíila' : doo yá'át'éehii bee ahééda'diildahígíí iiná yá'át'éehii niyiiłchxǫǫh .
46:15:003:1	Da'aztsą́ą́dę́ę́' ats'íís náábi'diilzáii
46:15:034:0	Ch'éédanohdzííd ! T'áá ákogi ádaahnííł ; t'áadoo bąąhági ánáádaaht'íní , háálá ła' Diyin God doo béédahonohsin da . Nihaa yáhóósįįdígíí biniinaa kót'éego nihich'į' yáshti' .
46:15:035:0	Nidi diné ła' na'ídídóołkiłgo ádidooniił , Haa yit'éegoshą' daneeznáanii náádidooljah ? Ha'át'íí ats'íís shį́įshą' bee nináhizhdookah ?
