46:5:001:1	Na'ageh bee tsi'na'aldeehii baa hwiiníst'įįdgo bá nihoot'ą́
46:5:001:0	Nihitahgóó na'ageh bee tsi'na'aldeehgo baa dahane' lá , doo da'oodlání bitahgóó nidi doo ákódahooníił da ; jó , diné ła' hazhé'é be'asdzą́ą́ hwe'asdzą́ą́ ájiilaa ha'ní .
46:5:002:0	Ákondi éí bee nihe'ádadílááh ! Bąąh danihíni'go yá'át'éeh doo nít'éé' , jó , diné aghahojíltínígíí nihitahdóó ats'áhodi'doolt'eeł .
46:5:003:0	Háálá shí doo aadi naasháa da nidi , hóónááł nahalingo baa nitsískees , áko diné aghahojíltíinii ájíít'įįdígíí t'áá íídą́ą́' bee haa nísíst'įįd .
46:5:004:0	NihiBóhólníihii Jesus Christ bízhi' binahjį' haa nísíst'įįd . Áko áłah soolį́į'gi nihitah honishłǫ́ nahalingo nihiBóhólníihii Jesus Christ bibee adziilii nihił hólǫ́ǫgo ,
46:5:005:0	éí diné bits'íís bich'į' nahodiyoo'naał biniyé Séítan baa dahodidooh'ááł , áko Bóhólníihii Jesus beiníłką́ądi hwii' sizíinii doodzih .
46:5:006:0	Bee ádaa dahoh'niihígíí éí doo beełt'ée da ! Da' doósh nihił béédahózin da , díík'ǫsh áłch'į́į́dígo taos'nii' t'áá át'é yiniisoł ?
46:5:007:0	Díík'ǫsh éí bąąhági át'éii nahalin , áko éí nahjį' kódaahłééh , áko taos'nii' ániidíii díík'ǫsh t'áágédígíí nidahonohłingo bąąhági át'éii nihitah ádin dooleeł . Háálá Christ atis'adeesdzáago bee bééhániihgo dibé yázhí nááhániihii nihá nilį́įgo nááhaaznii' .
46:5:008:0	Éí bąą haa'íshą' bááh díík'ǫsh t'áá shiidą́ą'dii bił ályaii t'áadoo bił anída'iilzįįhgo ninádahwiidlaahí , háálá díík'ǫsh t'áá shiidą́ą'diígíí éí áká naat'á áádóó doo yá'áshóonii yaa halne' , nidi díík'ǫsh t'áágééd bááh ályaii éí t'áádóo nídí áádóó t'áá aaníinii yaa halne' , áko éigi át'éego ninádahwiidlaah doo .
46:5:009:0	Na'ageh yee tsi'nidaakaii t'áadoo bił ałtaołdeehí , nihidishníigo nihich'į' naaltsoos íishłaa ni' .
46:5:010:0	Ákondi doo da'oodlání na'ageh yee tsi'naaldeehii , doodaii' adádanoolníinii , doodaii' t'áá ádzaagóó nidahagizii , doodaii' e'elyaii yich'į' nidahałáii doo bił ałtaołdeeh da dooleełígíí doo ááhdishníi da , háálá nihokáá'dóó hahidoohkahgo doo bohónéedzą́ą da .
46:5:011:0	Nidi k'ad nihich'į' bee ak'e'ná'áshchíigo ááhdishníinii éí t'áá háiida ak'is jílį́įgo oodlání bee ho'dééji'ii na'ageh bee tsi'njigháago hwééhoozinii éí t'áadoo hoł ałtaołdeehí doo , adázhnoolníinii , doodaii' e'elyaii bich'į' nahojiłáii , doodaii' ajódziihii , doodaii' ajidláanii , doodaii' t'áá ádzaagóó nahodzigizii ałdó' dooda . Ákódaat'ínígíí nidi t'áadoo bił da'ohsání .
46:5:012:0	Shíshą' ha'át'íí biniyé doo oodlání danilíinii beinísht'į́į dooleeł ? Nihíyee' oodlání danilíinii baa nídaaht'į́ .
46:5:013:0	Diyin God éí doo oodlání danilíinii yeinít'į́ . Áko nihitahdóó diné bąąhági ájít'ínígíí nahjį' háádahodoołt'eeł .
