46:8:001:1	Eda'alyaii bich'į' ch'iyáán nááhaaznii'ii
46:8:001:0	K'ad éí eda'alyaii bich'į' ch'iyáán náádahaaznii'ii beinísht'į́ . T'áá áníiltso ił ééhózinii nihee hólǫ́ǫgo béédahoniilzin : ił ééhózinii éí bee ádaa dahoji'niih , nidi ayóó'ó'ó'ní t'éí bee daznéeséeh doo .
46:8:002:0	Diné ła'da shił ééhózin lą́ą jinízinii hoł bééhodoozįįł yę́ę t'ah doo t'áá yíní át'éegi hoł bééhoozįįh dago át'é .
46:8:003:0	Nidi t'áá háiida Diyin God ayóó'áyó'níigo t'áá éí Diyin God bééhósin .
46:8:004:0	Áko eda'alyaii bich'į' ch'iyáán náádahaaznii'ii yidą́ą́jí baa náánéinísht'į́ . Eda'alyaii éí ts'ídá t'áadoo nilíní da , nidi Diyin God t'éiyá t'ááłá'í hólǫ́ǫgo nihił béédahózin .
46:8:005:0	Háálá diné ádeinízingo éí yá'ąąshdi , doodaii' nahasdzáán bikáa'gi diyin daolyéhígíí t'óó adahayóí áádóó bídahólníihii dabidi'nínígíí ałdó' t'óó adahayóí dahólǫ́ danízin .
46:8:006:0	Nidi nihí nihił béédahózingo Diyin God t'ááłá'í hólǫ́ , éí aTaa' , t'áá ałtsoní bits'ą́ą́dóó hólóonii áádóó t'áá éí bá dahinii'ná . Áádóó Bóhólníihii t'ááłá'í hólǫ́ , Jesus Christ wolyéii , éí bee t'áá ałtsoní dahólǫ́ índa t'áá éí bee dahinii'ná .
46:8:007:0	Nidi diné doo t'áá ałtso éí bił béédahózin da . Ła' díí jį́įdi eda'alyaii yídaneesdinígíí biniinaa e'elyaii bich'į' ch'iyáán nááhaaznii'ii át'é t'ahdii danízingo deiyą́ , áko t'áá íídą́ą́' doo ál'į́į da danízin nidi ádayoolíiłgo bąą t'ą́ą́' anídabii'nííł .
46:8:008:0	Nidi ch'iyáán deiidánígíí éí doo Diyin God hólǫ́ǫjį' áhánígo yich'į' kóhodoolíił da . Azhą́ ch'iyáán doo deiidą́ą da nidi , doo a'ohgo nihaa nitsíkees da , doodaii' deiidą́ą nidi éí doo t'ah aláhídi ániit'éego ánihidi'doolníił da .
46:8:009:0	Nidi bi'oodlą' doo dabidziilii doo dadínóołtł'ahígíí bąą nihá ashjada'ósin nidi bits'ąą ádaa ádahołyą́ .
46:8:010:0	Háálá ni , díí t'áá ałtso nił bééhózingo , e'elyaii bich'į' nahadlá bá haz'ą́ą́ góne' ííníyą́ą'go diné ła'da bi'oodlą' t'ah doo yiłdziłígíí niiłtsą́ągo éí eda'alyaii bich'į' ch'iyáán náádahaaznii'ii yidooyį́įłgi bił t'áá áko ádíílííł .
46:8:011:0	Áko shił ééhózin nínízinígíí bąągo nik'is bi'oodlą' doo bidziil daígíí Christ bá daaztsánígíí t'ą́ą́' anídootłish .
46:8:012:0	Áko Christ bee nihik'isóó danilíinii doo hózhǫ́ bił éédahózinígíí t'ą́ą́' anídínóodahgo ádadoohłííł , áko éí bee bich'į' nida'iyohsííh , áádóó Christ ałdó' bich'į' nida'iyohsííh .
46:8:013:0	Áko eda'alyaii bich'į' ch'iyáán náádahaaznii'ii yishánígíí biniinaa shik'is t'ą́ą́' anáátłizhgo ts'ídá yoołkááłgóó éí ch'iyánígíí doo náádeeshdį́įł da , áko shik'is doo shiniinaa t'ą́ą́' anídootłish da .
