46:14:001:1	Álílee k'ehgo yáti' bee yáti'ii áádóó Diyin God bá hane'ii
46:14:001:0	Diyin God be'ayóó'ó'ó'ni' nihíni' danilį́į le' . Níłch'i Diyinii aidii'aahii ałdó' hádaaht'į́įgo Diyin God bá dahołne' dooígíí éí agháago hádaaht'į́ .
46:14:002:0	Jó , álílee k'ehgo yáti' bee yájíłti'ígíí doo diné bich'į' yájíłti' da , háálá diné doo hak'i'diitįįh da , nidi Diyin God bich'į' yájíłti' . Na'nitin doo béédahózinii Níłch'i Diyinii bee baa yájíłti' .
46:14:003:0	Nidi t'áá háiida Diyin God bá hojilne'ígíí éí saad yee diné dadínóoséełii , áádóó yee chánah danilį́į dooleełii , índa yee hada'ólníi dooleełii bee bich'į' yájíłti' .
46:14:004:0	Álílee k'ehgo yáti' bee yájíłti'ígíí t'áá hó hwe'oodlą' bidziilgo bee ázhdílnééh , nidi Diyin God bá hojilne'ígíí éí da'oodlání danilíinii áłah nádleehígíí bi'oodlą' dabidziilgo ádajile' .
46:14:005:0	Áko t'áá ánółtso álílee k'ehgo yáti' bee yádaałti' dooleeł yę́ę nisin nidi , éí t'ah biláhídi át'éego Diyin God bá dahołne'jígo nihá nisin . Diyin God bá hojilne'ígíí éí álílee k'ehgo yáti' yee yáłti'ígíí biláahdi ájít'é , ákondi álílee k'ehgo yáti' yee yáłti'ígíí bá ata' hane'go da'oodlání áłah nádleehii yee dabidziilgo ádeiile' .
46:14:006:0	Shik'isóó , álílee k'ehgo yáti' bee yáshti'go nihaa níyáago , ha'át'íísh bee nihíká adeeshwoł ? Jó , Diyin God shił ííshją́ą́ áyiilaii t'éí bee nihił hodeeshnihgo bee nihíká adeeshwoł ni , doodaii' shił bééhózinígíí lá bee , doodaii' Diyin God bá hashne'go , náádoodaii' na'nitin bee nihaa níyáago lá bee nihíká adeeshwoł ni .
46:14:007:0	Jó , tsin bee í'dílzoołí , doodaii' tsin tł'óół bąąh daneelzhee'go bee nida'a'néii , azhą́ éí doo hináa da nidi diits'a' , áko doo ákwii diits'a'góó haa yit'éegoshą' diits'a'ígíí bééhózin doo ?
46:14:008:0	Siláo bidilnéhígíí doo bééhózingóó diits'a'go háishą' anaa' yiniyé hasht'e'ádidoolnííł ?
46:14:009:0	Nihí ałdó' t'áá ákódanoht'é ; álílee k'ehgo yáti' bee yádaałti'go , baa yádaałti'ígíishą' haa yit'éego bééhózin doo ? Háálá éí ákót'éego t'óó dzólníígóó yádaałti'go át'é .
46:14:010:0	Nihokáá' dine'é dabizaad daashį́į́ néelą́ą́' t'áá da'níł'ąą át'éego yee yádaałti' , áko éí t'áá ałtso t'áá bí bizaad yik'idadi'yiitįįh .
46:14:011:0	Nidi saad bee yáti'ii doo shił bééhózin dago , yáłti'ígíí bich'į' náánáła' dine'é nishłį́į doo , áádóó yáłti'ígíí shich'į' náánáła' dine'é nilį́į doo .
46:14:012:0	Áko nihí Níłch'i Diyinii aidii'aahii t'áá íiyisí bídin danohłį́įgo da'oodlání áłah nádleehii bidziilgo ádeidoolíłígíí yéego bidadoołkaal .
46:14:013:0	Éí bąą álílee k'ehgo yáti' yee yáłti'ígíí ata' hane'gi yíneel'ą́ą dooleełgo ádá sodilzin doo .
46:14:014:0	Háálá álílee k'ehgo yáti' bee sodiszingo shii' sizíinii t'éí bee sodiszin , shintsíkees éí doo bee sodiszin da .
46:14:015:0	Ákoshą' haa deeshnííł ? Jó , shii' sizíinii bee sodiszin doo , shintsíkees ałdó' bee sodiszin doo ; shii' sizíinii bee hashtaał doo , shintsíkees ałdó' bee hashtaał doo .
46:14:016:0	Nii' sizíinii t'éiyá bee Diyin God baa hóniihgo diné t'áá azlį́'ígíí ááhdiníinii doo bił bééhózingóó éí , T'áá ákót'ée le' , doo didooniił da .
46:14:017:0	Jó , baa ahééh nínízingo yá'át'éehgo sodílzin nidi éí dinéhígíí doo bee bidziilgo ábi'dilnéeh da .
46:14:018:0	T'áá ánółtso nihiláahdi álílee k'ehgo yáti' Níłch'i Diyinii yee yáshiiłti'go bąą Diyin God bich'į' baa ahééh nisin ,
46:14:019:0	ákondi da'oodlání áłah nádleehgi saad t'áá ashdla'í bee ak'idi'dootį́įłii bee yáshti'go , ła' diné nidínéeshtįįłjí shił aghá , álílee k'ehgo yáti' bee saad neeznáadi mííl bee yáshti'jí éí shił a'oh .
46:14:020:0	Shik'isóó , t'áadoo áłchínígi át'éego nitsídaahkeesí ; jó , awée'gi át'éego doo ákǫ́ǫ́ ádaat'éii doo baa ákodanohsin da , nidi hóyáanii k'ehgo nitsídaahkees .
46:14:021:0	Diyin God bibee haz'áanii bee ak'e'ashchį́įgo kóní : Bóhólníihii ání , Náánáła' dine'é dabizaad beedíí dine'é bich'į' hadeesdzih . Ákondi doo dashíists'ą́ą' da doo .
46:14:022:0	Áko álílee k'ehgo yáti' éí doo da'oodlánígíí bich'į' Diyin God bibee adziilii bee ééhózinii át'é , t'áá íídą́ą́' da'oosdląądígíí bich'į' éí dooda , nidi Diyin God bá hane'ii éí doo da'oodlání doo bá bee ééhózinii át'ée da , da'oodlánígíí éí bá át'é .
46:14:023:0	Éí bąą da'iinohdlánígíí t'áá ánółtso áłah soolį́į'gi t'áá ánółtso álílee k'ehgo yáti' bee yádaałti'go , nít'éé' diné doo ak'i'diitįįhii , doodaii' doo da'oodlánígíí yah ahikáahgo , T'óó dadiigis lá , daats'í danihididooniił .
46:14:024:0	Nidi t'áá ánółtso Diyin God bá dahołne'go , nít'éé' ła' doo oodlánígíí , doodaii' doo ak'i'diitįįhii yah ííyáago , éí Diyin God bá dahołne'ígíí t'áá ałtso binahjį' bí ádił ni'iilzíihgo ádaa ákodínóodzįįł , índa bí baa hwiinít'į́įgo yąąh tsídookosgo
46:14:002:1	Da'oodlání áłah nádleehgi t'áá ádzíłtso hasht'ezhdít'ée doo
46:14:025:0	bijéí yii' neinił'inii bééhodoozįįł , áko tsé'yaa dínóoljołgo Diyin God yich'į' sodidoolzįįł , áádóó ádidooniił , T'áá aaníí Diyin God nihitahgóó hólǫ́ǫ́ lá !
46:14:026:0	Ákoshą' hait'ée doo , shik'isóó ? Jó , áłah nídaahdleehgóó , nihí ła' sin bee dahohtaał doo , ła' nida'nohtin doo , ła' éí nihił ííshją́ą́ ályaii baa dahołne' doo , ła' álílee k'ehgo yáti' yee yádaałti' doo , náánáła' éí ata' dahołne' doo . Kót'éego nidahohłáhígíí bee nihidziilgo dahohkah doo .
46:14:027:0	Álílee k'ehgo yáti' yee yádaałti'go bíni'dii nidilt'éegoda , doodaii' tált'éegoda ákódaat'į́į doo , biláahgo éí dooda , t'ááłá'í nítínígo bik'eh hoolzhishgo yádaałti' doo , áádóó bíni'dii ła'da bá ata' halne' doo .
46:14:028:0	Nidi há ata' halne'ii ádingo éí da'oodlání áłah nádleehgi t'áadoo yájíłti'í doo , nidi t'áá hayi'ídi yájíłti'go Diyin God bich'į' yájíłti' doo .
46:14:029:0	Bíni'dii Diyin God yá dahalne'ii nidilt'éegoda , tált'éegoda hadahadziih doo , áko ła'ígíí bíni'dii t'óó yaa nitsídaakeesgo nideiłkaah doo .
46:14:030:0	Nidi náánáła' oodlání nihitah sidáago , nít'éé' t'áá aaníinii ła' bił ííshją́ą́ silį́į'go , bíni'dii áłtsé yájíłti'ii t'óó jididoołhiłgo , oodlání hatah sidáii bazhdi'doo'áałgo bíni'dii hadoodzih .
