46:6:001:1	Ánihwii'aahii doo oodlání danilíinii t'áadoo bidááhdę́ę́' nida'ahiyohdlósí
46:6:001:0	Nihí ła' oodlání danohłíinii , nihik'is ła' bił ałch'į' saad dahonoł'į́įgo ándahwii'aahii doo da'oodlání danilíinii baa dadidooh'áałgoósh doo hódzą' bee ádadoohnííł ? Nidi da'oodlání baa dahidoh'aah .
46:6:002:0	Diyin God bidiyį́į́' nihokáá' dine'é yaa nídadóot'įįłígíísh doo nihił béédahózin da ? Áko nihokáá' dine'é baa nídadóoht'įįłgo kóníshéhégo haz'ánígíí baa nídadóoht'įįłgi nidiísh bi'oh danooł'ą́ ?
46:6:003:0	Jó , diyingo nidaal'a'í nidi baa nídadíit'įįłígíísh doo nihił béédahózin da ? K'ad iiná bídadéét'i'ii baa nídaaht'į́įgo bídeínóhhah .
46:6:004:0	Áko díí iiná bídadéét'i'ii baa nídadóoht'įįłgo , ha'át'íí biniyé oodlání doo yada'óolíí' át'éii baa dahidoh'aah ?
46:6:005:0	Díí bee nihich'į' hahasdziihígíí binahjį' ádaa yádadínóohdzįįł . Da' diné hóyáanii Christ yee ak'is nilíinii yá k'ééhodoołdǫǫłiísh doo ła' nihitah naagháa da ?
46:6:006:0	Nidi oodlání nohłį́įgo éí doo oodlání ánihwii'aahii nilíinii náánáła' oodlání nilíinii nihá yaa nídóot'įįłgo biniyé bich'į' nidahoh'éésh .
46:6:007:0	K'ad nidi naaltsoos ahee nidahołtsóosgo ts'ídá doo ákǫ́ǫ́ ádaaht'į́į da . Ha'át'éegoshą' doo hanii háni'dii t'óó bąąhági ádanihi'dil'į́į da ? Ha'át'éegoshą' doo hanii háni'dii t'óó nihida'ídleeh da ?
46:6:008:0	Nidi t'áá nihí doo ákǫ́ǫ́ ádaaht'į́į da , nihik'isóó nidi binda'ohło' !
46:6:009:0	Doósh nihił béédahózin da ? Doo ákogi ádaat'éii Diyin God bee bóhólníihgo bił haz'áanii ts'ídá doo bíí' dadooleeł da . Éí bąą t'áadoo yóó'adanihinii'áhí : na'ageh bee tsi'dajíkáahii , e'elyaii bich'į' nidahojiłáii , dazhdiléii , hats'íís bee adádazhnoolníinii , diné t'óó baa yáhásingo t'áá hó ahaa ninájíldeehii ,
46:6:010:0	doodaii' dazhni'įįhii , adádazhnoolníinii , da'jidláanii , da'dzódziihii , aghada'jii'níiłii éí Diyin God bee bóhólníihgo bił haz'áanii łá'í nidi doo hóó' dadooleeł da .
46:6:002:1	Nihits'íís bee Diyin God ayóó át'éego bee baa ha'niih doo
46:6:011:0	Áko łah nihí ła' ákódanoht'éé nít'éé' . Nidi nihibąąhági át'éii nihąąh tánásgiz , Diyin God bich'į' nihi'doolzį́į́' , índa Bóhólníihii Jesus bízhi' bee áádóó nihiDiyin God biNíłch'i Diyinii bee ts'ídá t'áá ákogi ádanoht'éego nihá ha'oodzíí' .
46:6:012:0	T'áá ałtsoní bee shá haz'ą́ą nidi , doo t'áá ałtsoní shá yá'át'éeh da . T'áá ałtsoní bee shá haz'ą́ą nidi , doo ła' binaalte' deeshłeeł da .
46:6:013:0	Ch'iyáán éí abid bá át'é índa abid éí ch'iyáán bá át'é , jiníi nidi Diyin God éí t'áá áłah íidoołdįįł . Áko lą́ą hats'íís éí na'ageh bee tsi'adoodááł doo bá át'ée da , nidi Bóhólníihii bá át'é , áádóó Bóhólníihii éí hats'íís bee bóhólnííh .
46:6:014:0	Diyin God éí Bóhólníihii néidiisá , áko nihí ałdó' bibee adziilii yee náánihididoołjah .
46:6:015:0	Danihits'íís Christ yee hadít'éii danilínígíísh doo nihił béédahózin da ? Da' ákoósh shits'íís Christ yee ádíhólníhígíí nahjį' nidideesh'áałgo ałjiłniida yee ádíhólníihgo baa dideesh'ááł ? Ts'ídá dooda lą́ą !
46:6:016:0	Da' doósh díí nihił béédahózin da , ła' ałjiłnii bił jiináago éí bił ats'íís t'ááłá'íígíí jileeh ? Háálá Diyin God ání , T'ááłá'í ats'íís jidooleeł .
46:6:017:0	Nidi Bóhólníihii bizhdiiyáago baa ázhdeet'ánígíí éí bił łá'í dzizlį́į́' .
46:6:018:0	T'áadoo na'ageh bee tsi'naohkaií . Bąąhági ájooníłígíí ła' hats'íís doo bídadéét'i' da , nidi na'ageh bee tsi'joogáałgo hats'íís bihozhdidoołt'ih .
46:6:019:0	Diyin God éí Níłch'i Diyinii nihainíł'a' , áko nihits'íís éí Níłch'i Diyinii yii' hináago bikin bii' sohodizin át'éegoósh doo nihił béédahózin da ? Doo t'áá ádíí' danohłį́į da ,
46:6:020:0	háálá ayóó át'éego ílį́įgo nihik'é niná'ílyá . Éí bąą nihits'íís bee Diyin God yee ayóó át'éii yit'íní ádoohłííł . [ Nihii' sizíinii ałdó' bee Diyin God yee ayóó át'éii yit'íní ádoohłííł , jó , nihits'íís áádóó nihii' sizíinii Diyin God bí . ]
