12:17:001:1	Samériya bik'eh hodeesdlį́į́' áádóó Ízrel dine'é yisnááh ádahodiilyaa
12:17:001:0	Éíhaz éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo naakits'áadah náhááh góne' Íílah biye' Hoshíya éí Samériyagi Ízrel dine'é aláahgo yinanit'a'í silį́į́' áádóó nant'áago náhást'éí nááhai .
12:17:002:0	Áko Bóhólníihii binááł doo yá'ádaashóonii yaa naayá , nidi hátséedi Ízrel dine'é aláahgo bindanit'a'í nidahaazlį́į́' yę́ę bik'ehgo éí dooda .
12:17:003:0	Nít'éé' Hoshíya éí Asíriya dine'é aláahgo binanit'a'í Shalmaníízer hach'į' nídiidzáago bá naal'a'í dzizlį́į'go naalyéhé bich'į' nijiilé .
12:17:004:0	Áko Asíriya dine'é aláahgo binanit'a'í éí Hoshíya naha'áhígíí haiideel'į́į́' ; jó , Ííjip dine'é aláahgo binanit'a'í Só wolyéii yich'į' hane' yił i'ííł'a' , áko Asíriya dine'é aláahgo binanit'a'í t'áá nináháhááh bik'eh naalyéhé bich'į' ajíł'į́į́ nít'é'ígíí doo baa jíníił da ; éí biniinaa , Asíriya dine'é aláahgo binanit'a'í hoołtsoodgo awáalyaa góne' hadádi'níłkaal .
12:17:005:0	Nít'éé' Asíriya dine'é aláahgo binanit'a'í kéyah t'áá át'éé nít'éé' yii' hadiiyá , áádóó Samériyagóó haayáago táá' nááhaijį' yizénázná .
12:17:006:0	Hoshíya aláahgo naat'áanii nilį́įgo náhást'éí náhááh góne' Asíriya dine'é aláahgo binanit'a'í éí Samériya kin haal'áii yisnáago Ízrel dine'é Asíriya kéyahgóó ayíí'eezhgo Héílah kin haal'áagi áádóó Gózan kéyahgi Héíbar tooh nílíní bibąąhgóó índa Míídiya dine'é bikin hadaas'áágóó niyiizh'eezh .
12:17:007:0	Háálá Ízrel dine'é éí Ííjip kéyahdi aláahgo naat'áanii Féro biyaadę́ę́' Bóhólníihii haDiyin God ch'ééhoní'eezhígíí bich'į' ádił nida'jiisíi'go diyin dabidi'níinii dazhdósin nít'éé' .
12:17:008:0	Índa Bóhólníihii éí Ízrel dine'é bits'ąą ał'ąą dine'é ch'íiniiskaadígíí bi'é'él'į' áádóó Ízrel dine'é aláahgo bindanit'a'í bi'é'él'į' bik'ehgo dajíkááh nít'éé' .
12:17:009:0	Áko Ízrel dine'é éí t'áá nahont'ingo doo ákogi ádaat'éii haBóhólníihii Diyin God binááł baa nijikaigo t'áá kéédahojit'į́į́góó t'áá át'é éí ya'ii'áago bikáá'dóó ha'alzídídóó kin hadaas'áii ditą́ągo binaa ahééda'astł'inígóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaa .
12:17:010:0	Áádóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaaígíí t'áá át'é índa tsin dootł'izh naazkaadii t'áá át'é dabiyaagóó ákǫ́ǫ́ eda'alyaii bich'į' nahadlá bá nahaz'ą́ągo ádayiilaa .
