12:25:001:1	Jerúsalem bik'eh hodeesdlį́į́'
12:25:001:0	Áko índa Zedekáíyah aláahgo nant'áago náhást'éí náhááh góne' neeznáá nídízííd binih neeznáá jį́į́ góne' Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar níná ; bisiláo dah deínéehii t'áá ałtso yił Jerúsalem deidoołnééł yiniyé yinaagóó nidahaazná , áko yinaagóó ahéé'ítł'inígíí bíilk'idgo ádayiilaa .
12:25:002:0	Zedekáíyah aláahgo naat'áanii nilį́įgo ła'ts' áadah náháahjį' kin haal'áhígíí biná'áshzhiizh .
12:25:003:0	Dį́į́' nídízííd binih náhást'éí jį́į́ góne' kin haal'áagi ayóó át'éego hodííchįįd , áko kéyahgi diné ch'iyáán bits'ą́ą́' ádaasdįįd .
12:25:004:0	Nít'éé' kin haal'áii éí tsé ahénátł'inígíí tł'óó'dę́ę'go yigháda'aznil , áko aláahgo naat'áanii índa siláo t'áá ałtso éí aláahgo naat'áanii bidá'ák'ehgóó naakigo tsé yítł'inígíí bita' ch'íhonít'i' góne' tł'ée'go ch'ídahizhneezhchą́ą́' ; azhą́ Kaldíya dine'é bisiláo éí kin haal'áii yinaadę́ę́' hééshjée' nidi , aláahgo naat' áanii éí Árabah dzígai bich'į'go anííchą́ą́' .
12:25:005:0	Áko Kaldíya dine'é bisiláo éí aláahgo naat'áanii baa dadeeyáago Jériko dzígaidi yíníjéé' , áko hasiláo t'áá át'é hats'ąą taozhjéé' .
12:25:006:0	Kót'éego Zedekáíyah deisnáago Ríblah kin haal'áadi Bábilan dine'é aláahgo binanit'a'í yił yaa daaskai , áko há nihoot'ą́ .
12:25:002:1	Júdah dine'é dabidisná
12:25:007:0	Áádóó Zedekáíyah haye'ké t'áá hanááł nideistseedgo hó éí hanáá' hadeiznilgo béésh łitsoii da'ahólzha'í yee hoda'aztł'ǫ́ǫgo Bábilangóó hoł daaskai .
12:25:008:0	Nébukadnézzar éí Bábilan dine'é aláahgo yinanit'a'í nilį́įgo náhást'éíts'áadah náhááh góne' ashdla' nídízííd binih tsosts'id jį́į́ góne' aláahgo naat'áanii yá naal'a'í léi' éí siláo yinanit'a'í nilíinii Nébuzar'éídan Jerúsalemjį' níná .
12:25:009:0	Áko Bóhólníihii bikin bii' sohodizin áádóó aláahgo naat'áanii bighan índa Jerúsalemgi daakinígíí t'áá át'é , t'áá éí kin aláahdi ádaat'éhígíí t'áá át'é iidiyiisk'ą́ą́' .
12:25:010:0	Áádóó Kaldíya dine'é bisiláo t'áá át'é éí siláo yinanit'a'í yił naakaígíí Jerúsalem ditą́ągo binaagóó ahéé'ítł'inígíí naa'adeiniiskaad .
12:25:011:0	Áádóó kin haal'áagi diné daadziihígíí índa Bábilan dine'é aláahgo binanit'a'í yaa dahineezhchą́'ígíí t'áá bił ahóltą'go t'óó ahojíyóigo éí siláo binanit'a'í Nébuzar'éídan ahwiizh'eezh .
12:25:012:0	Nidi siláo binanit'a'í éí kéyahgi diné badahojoobá'ígíí ch'il na'atł'o'ii yaa ádahalyą́ą dooleeł áádóó dá'ák'eh yindaalnish doo biniyé éí t'áá ákǫ́ǫ́ kéédahojit'į́įgo áhoolaa .
12:25:013:0	Áádóó Bóhólníihii bikin bii' sohodizin bidáahgi naaki íí'áhígíí béésh łitsoii bee ályaii áádóó béésh łitsoii bii' tá'ádígisí bá si'ánígíí éí Bóhólníihii bikin bii' sohodizin dabiyi'ígíí Kaldíya dine'é nidayiizti'go éí béésh łitsoii Bábilangóó adayiizyį́ .
12:25:014:0	Índa ásaa' nitsaaígíí áádóó łeeshch'iih bee hahakaahí áádóó kǫ' bee daniłtsésí áádóó łeets'aa' nímazí índa t'áadoo le'é béésh łitsoii bee ádaalyaii chodajooł'į́į́ nít'éé' yę́ę Bábilangóó adayiizyį́ .
12:25:015:0	Áádóó tsííd bee nidaakáhí áádóó łeets'aa'da índa t'áadoo le'é óola áádóó béésh łigaii bee ádaalyaii éí siláo binanit'a'í ayiizyį́ .
12:25:016:0	Áádóó naakigo íí'áhígíí áádóó bii' tá'ádígisí nitsaaígíí índa bii' tá'ádígisí bá naaznilígíí éí Sálaman wolyéii Bóhólníihii bikin bii' sohodizin yá áyiilaa yę́ę áádóó ha'át'íhída béésh łitsoii bee ádaalyaii éí t'áá át'é doo dah hizhdoolehígi ánéelą́ą́' .
