12:3:001:1	Jiihóram éí Ízrel dine'é yinant'áá nít'éé'
12:3:001:0	K'ad Júdah dine'é yá Jiiháshafat aláahgo naat'áanii nilį́įgo tseebííts'áadah náhááh góne' Éíhab biye' Jiihóram Samériyagi Ízrel dine'é yinant'áago naakits'áadah nááhai .
12:3:002:0	Áko Bóhólníihii binááł doo yá'áshóonii yaa naayá , nidi doo bizhé'é índa bimá át'éé nít'é'ígi ádzaa da , háálá Béíyal be'elyaago hazhé'é áyiilaii nahjį' kójiilaa .
12:3:002:1	Iiláísha éí Mó'ab dine'é bik'eh hodidoodleeł yaa hoolne'
12:3:003:0	Ákót'ée nidi Nííbat biye' Jerobówam yee ni'iisíi'ii t'ahdii yótą' ; éí Ízrel dine'é ádił nida'iisíihgo áyiilaaígíí t'áadoo yits'áníyáa da .
12:3:004:0	Mó'ab dine'é yá aláahgo naat'áanii Míísha wolyéii éí dibé neiniłt'ą'ii nilį́įgo dibé yázhí t'ááłáhídi neeznádiindi míilgo índa deenásts'aa' t'ááłáhídi neeznádiindi míilgo bighaa' t'áá biłgo Ízrel dine'é yá aláahgo naat'áanii yich'į' niyiiléé nít'éé' .
12:3:005:0	Nidi íídą́ą́' Éíhab daaztsą́ą́dóó bik'ijį' Mó'ab dine'é yá aláahgo naat'áanii éí Ízrel dine'é yá aláahgo naat'áanii yich'į' nidaastee' .
12:3:006:0	Ts'ídá ákóne' nahalzhiishgo aláahgo naat'áanii Jiihóram éí Samériya kin haal'áádóó ch'íníyáago Ízrel dine'é t'áá ałtso áłah áyiilaa .
12:3:007:0	Áádóó dah diiyáago Júdah dine'é yá aláahgo naat'áanii Jiiháshafat yich'į' i'ííł'a'go ání , Mó'ab dine'é yá aláahgo naat'áanii shich'į' nídiiltee' ; Mó'ab dine'é bik'ijį' nidiibah biniyé ákǫ́ǫ́sh shił díí'ash ? Áko ání , Ákóde deeshááł ; shí t'áá nigi ánísht'é , shidine'é t'áá nidine'égi ádaat'é , shilį́į́' t'áá ni danilį́'ígi ádaat'é .
12:3:008:0	Áko ání , Háádóoshą' ákóde hadiikah ? T'ą́ą́' hanáádzíi'go ání , Íídam kéyah honoojítah góne'é lą́ą .
12:3:009:0	Nít'éé' Ízrel dine'é yá aláahgo naat'áanii áádóó Júdah dine'é yá aláahgo naat'áanii índa Íídam dine'é yá aláahgo naat'áanii dah diikai , áko tsosts'id jį́ oodááł ahééhonízhahgo ahénákai índa hakéé' oonéłígíí áádóó béégashii hakéé' yikahígíí tó bá ádin .
12:3:010:0	Áko Ízrel dine'é yá aláahgo naat'áanii ání , Héi' ! Bóhólníihii díí aláahgo naat'áanii tált'éego éí Mó'ab dine'é yaa nihididoo'ááł biniyé ahínihiinil lá !
12:3:011:0	Nidi Jiiháshafat ání , Kwe'ésh doo Bóhólníihii yá halne'ii ła' naagháa da ? Éí hwee Bóhólníihii nidabídídíilkił ? Nít'éé' Ízrel dine'é yá aláahgo naat'áanii bá naal'a'í ła' haadzíi'go ání , Shéífat biye' Iiláísha éí Iiláíjah bíla' tó yik'i yááyiidzi' nít'é'ígíí kwe'é naaghá .
12:3:012:0	Áko Jiiháshafat ání , Éí Bóhólníihii bizaad bił hólǫ́ . Kót'éego Ízrel dine'é yá aláahgo naat'áanii áádóó Jiiháshafat índa Íídam dine'é yá aláahgo naat'áanii ákóyaa Iiláísha yich'į' yíkai .
12:3:013:0	Nít'éé' Iiláísha éí Ízrel dine'é yá aláahgo naat'áanii ííłní , Haash nideeshłííł ? Nílááh , nizhé'é yę́ę áádóó nimá yę́ę yá dahalne'ii bich'į' dínááh . Áko Ízrel dine'é yá aláahgo naat'áanii áhodííniid , Dooda , háálá díí aláahgo naat'áanii tániilt'éego Mó'ab dine'é yaa nihidoonił biniyé ahínihiinilígíí éí Bóhólníihii át'į́ .
12:3:014:0	Áko Iiláísha ání , T'áá a łtsoní bee Bóhólníihii éí bidááhdóó sézínígíí ts'ídá t'áá aaníí hiná ; ákót'éego Júdah dine'é yá aláahgo naat'áanii Jiiháshafat kwe'é sizínígíí doo baa tsídíkéézgóogo ts'ídá t'áá aaníí doo nich'į'go didéesh'įįł da , doo nidi t'áá k'ad ninééł'į́į' da doo nít'éé' .
12:3:015:0	Nidi k'ad nílááhdę́ę́' tsin tł'óół bąąh daneelzhee'ígíí yee naanéhígíí shá shódaołt'eeh . Nít'éé' éí yee naanéego Bóhólníihii bibee adziil hak'i hoole' .
12:3:016:0	Áádóó ání , Bóhólníihii kóní , Díí honíts'aa' góyaa t'áá át'éé nít'éé' deíldzisgo ánílééh .
12:3:017:0	Háálá Bóhólníihii kóní , Níyol doo yidííłtséeł da , nahałtin nidi dooda ; ákondi eii honíts'aa' góyaa tó bii' hadidoobį́įłgo nihí da'doohdlį́į́ł , áádóó nihilį́į́' índa nihilį́į́' hééł nihá nideiyéii da'doodlį́į́ł .
12:3:018:0	Nidi díí éí t'óó Bóhólníihii binááł t'įįhdígo át'éii át'é ; bí éí Mó'ab dine'é ałdó' nihaididoo'ááł .
12:3:019:0	Áko kin hadaas'áágóó ditą́ągo binaa ahééda'astł'inii t'áá ałtso , áádóó kin haal'á alááh ádaat'éhígíí t'áá ałtso , áádóó tsin yá'ádaat'éehii t'áá ałtso naa'adahidoołkał , áádóó tó hadahadleeh t'áá át'é tsé bee hadahodidoołbį́į́ł , índa kéyah yá'ádahoot'éhígóó t'áá át'é tsé bee nidahidoołchǫǫł .
12:3:020:0	Nít'éé' abínígo atsį' nááhániihígíí baa hoolzhiizhgo , jó , Íídam kéyahdę́ę'go tó nína'go kéyah t'áá át'éé nít'éé' tó nihinéést'e' .
12:3:021:0	Áko Mó'ab dine'é t'áá ałtso éí aláahgo naat'áanii danilíinii hak'iidoojah yiniyé neheeskai , ha'níigo deidiizts'ą́ą́' , áko ániid nidaakaígíí áádóó náás daazlį́'ígíí béésh éé' yiih dadookah yídaneel'ánígíí t'áá ałtso éí áłah ádaalyaago kéyah bibąąhdóó dabi'diilzį' .
12:3:022:0	Áádóó t'ah abíínídą́ą́' nídahidiijéé' , áko jį́honaa'éí tó yik'i'diiłdíingo éí Mó'ab dine'é náwónanídę́ę́' tó diłgi át'éego łichíi'go dayiiłtsą́ .
12:3:023:0	Áko ádaaní , Díí dił át'é ; aláahgo naat'áanii danilíinii t'áá aaníí nabi'diztseed ; t'áá bí nida'ahistseed lá ; éí bąą k'ad , Mó'ab dine'é danohłíinii , bindaalye'é nídahidiidlah .
12:3:024:0	Nít'éé' Ízrel bisiláo dah deínéehgi jíkaigo Ízrel dine'é nídiijée'go Mó'ab dine'é yik'iijée'go halą́ąjį' danéechééh , áádóó Mó'ab dine'é t'áá níléí bikéyahjį' nidi nidajiłtseedgo bikéé' joojah .
12:3:025:0	Áko kin hadaas'á nidayiiskaad índa kéyah yá'ádahoot'éhígóó diné t'ááłá'í nítínígo tsé adayiiłtł'iidgo hadeidééłbįįd , áádóó tó hadahadleehgóó hadahodeesbįįd , índa tsin yá'ádaat'éehii nidayíítséél ; kin haal'á Ker-háraseth hoolyéhígi t'éiyá t'áadoo tadayooskaad da , nidi diné da'ditł'į́hígíí yináshzhiizhgo tsé yee dayíítł'in .
12:3:026:0	Nít'éé' Mó'ab dine'é yá aláahgo naat'áanii da'ahijigánígíí bá doo asohodéébéézhgóó yiyiiłtsą́ągo da'ahijigánígíí bita' góne' Íídam dine'é yá aláahgo naat'áanii baazhdookah biniyé tsosts'idi neeznádiin diné diltłish yee da'diłkahígíí yił dah diikai , nidi ch'ééh ádajíít'įįd .
12:3:027:0	Áko haye' alą́ąjį'ígíí hatsásk'eh góne' aláahgo naat'áanii náádoodleełígíí éí bił nízhdiit'áazhgo tsé ahéénátł'inígíí bikáá'dóó didlidgo náájiisnii' . Ízrel dine'é t'áá íiyisí bádahazhchįįdgo hats' ą́ą́' dah diikaigo t'áá bí dabikéyahgóó anáákai .
